U_B / V	U_A / V
0.15	-0.06
0.15	-0.07
0.15	-0.06
0.15	-0.07
0.15	-0.06
0.30	-0.07
0.45	-0.06
0.60	-0.07
0.75	-0.06
0.90	-0.06
1.05	-0.06
1.20	-0.06
1.35	-0.05
1.50	-0.06
1.65	-0.05
1.80	-0.06
2.10	-0.05
2.25	-0.06
2.25	-0.05
2.40	-0.06
2.40	-0.05
2.70	-0.06
2.85	-0.06
3.00	-0.06
3.00	-0.06
3.30	-0.06
3.45	-0.07
3.45	-0.06
3.60	-0.06
3.75	-0.06
3.90	-0.06
4.05	-0.06
4.35	-0.07
4.35	-0.06
4.50	-0.07
4.65	-0.06
4.80	-0.07
4.95	-0.06
5.10	-0.07
5.25	-0.06
5.40	-0.07
5.70	-0.06
5.55	-0.07
5.70	-0.06
6.15	-0.07
6.00	-0.06
6.30	-0.07
6.45	-0.06
6.45	-0.07
6.60	-0.05
6.75	-0.07
7.05	-0.05
7.05	-0.06
7.20	-0.05
7.20	-0.06
7.50	-0.05
7.65	-0.06
7.80	-0.05
7.95	-0.06
8.10	-0.05
8.25	-0.06
8.40	-0.05
8.55	-0.06
8.85	-0.05
8.85	-0.06
9.15	-0.05
9.15	-0.05
9.30	-0.06
9.45	-0.06
9.60	-0.06
9.75	-0.06
9.75	-0.06
9.90	-0.06
10.20	-0.06
10.20	-0.06
10.65	-0.06
10.50	-0.06
10.65	-0.06
10.80	-0.05
10.95	-0.06
11.40	-0.05
11.25	-0.06
11.40	-0.05
11.55	-0.06
11.70	-0.05
11.85	-0.05
12.00	-0.04
12.15	-0.06
12.30	-0.04
12.45	-0.05
12.60	-0.04
12.75	-0.05
12.90	-0.04
13.05	-0.05
13.05	-0.04
13.35	-0.05
13.35	-0.04
13.65	-0.05
13.80	-0.04
13.95	-0.05
13.95	-0.05
14.25	-0.05
14.25	-0.04
14.55	-0.05
14.70	-0.05
14.70	-0.05
14.85	-0.05
15.00	-0.05
15.15	-0.05
15.30	-0.05
15.45	-0.05
15.60	-0.05
15.75	-0.04
15.90	-0.04
16.05	-0.03
16.05	-0.02
16.35	-0.02
16.50	-0.01
16.65	-0.02
16.65	-0.01
16.80	-0.01
16.95	-0.01
17.10	-0.02
17.40	-0.01
17.55	-0.02
17.55	-0.02
17.70	-0.03
17.85	-0.02
18.15	-0.03
18.30	-0.03
18.45	-0.04
18.45	-0.03
18.60	-0.04
18.90	-0.04
18.90	-0.05
19.05	-0.04
19.20	-0.05
19.35	-0.04
19.50	-0.06
19.65	-0.05
19.80	-0.06
19.95	-0.05
20.10	-0.06
20.25	-0.05
20.40	-0.05
20.55	-0.03
20.70	-0.02
20.85	0.00
21.00	0.01
21.15	0.04
21.30	0.04
21.45	0.06
21.45	0.06
21.75	0.06
21.90	0.05
22.05	0.06
22.05	0.04
22.20	0.03
22.35	0.03
22.50	0.03
22.65	0.02
22.80	0.02
22.95	0.00
23.10	-0.01
23.25	-0.01
23.40	-0.02
23.70	-0.02
23.70	-0.03
23.70	-0.03
24.00	-0.04
24.15	-0.04
24.15	-0.05
24.45	-0.04
24.60	-0.06
24.75	-0.05
24.90	-0.06
24.90	-0.04
25.20	-0.05
25.20	-0.03
25.50	-0.02
25.50	0.02
25.65	0.04
25.80	0.08
25.95	0.11
26.25	0.14
26.40	0.15
26.40	0.16
26.55	0.16
26.70	0.17
26.85	0.15
27.00	0.15
27.15	0.13
27.30	0.13
27.45	0.10
27.60	0.09
27.75	0.08
27.90	0.06
28.05	0.05
28.20	0.03
28.20	0.02
28.50	0.01
28.50	0.00
28.65	-0.01
28.95	-0.01
28.95	-0.02
29.10	-0.03
29.70	-0.04
29.40	-0.03
29.55	-0.04
29.70	-0.04
29.85	-0.04
29.85	-0.03
30.00	-0.04
30.00	-0.03
30.00	-0.04
30.15	-0.03
29.85	-0.04
30.00	-0.03
29.85	-0.04
30.00	-0.03
30.00	-0.04
29.85	-0.03
29.85	-0.04
30.00	-0.03
29.85	-0.03
30.00	-0.03
30.00	-0.03
29.85	-0.02
29.85	-0.03
29.85	-0.02
30.00	-0.03
30.00	-0.02
29.85	-0.03
30.00	-0.02
30.00	-0.03
30.00	-0.02
30.00	-0.03
30.00	-0.02
30.00	-0.03
30.00	-0.03
29.85	-0.03
30.00	-0.03
30.00	-0.03
30.00	-0.03
30.00	-0.03
30.00	-0.03
