p	I1 / %
0	0.4
1	0.4
2	0.4
3	0.4
4	0.4
5	0.4
6	0.4
7	0.4
8	0.4
9	0.4
10	0.4
11	0.4
12	0.4
13	0.4
14	0.4
15	0.4
16	0.4
17	0.4
18	0.4
19	0.4
20	0.4
21	0.4
22	0.4
23	0.4
24	0.4
25	0.4
26	0.4
27	0.4
28	0.4
29	0.4
30	0.4
31	0.4
32	0.4
33	0.4
34	0.4
35	0.4
36	0.4
37	0.4
38	0.4
39	0.4
40	0.4
41	0.4
42	0.4
43	0.4
44	0.4
45	0.4
46	0.4
47	0.4
48	0.4
49	0.4
50	0.4
51	0.4
52	0.4
53	0.4
54	0.4
55	0.4
56	0.4
57	0.4
58	0.4
59	0.4
60	0.4
61	0.4
62	0.4
63	0.4
64	0.4
65	0.8
66	0.8
67	0.8
68	0.8
69	0.8
70	0.8
71	0.8
72	0.8
73	0.8
74	0.8
75	0.8
76	0.8
77	0.8
78	0.8
79	0.8
80	0.8
81	0.8
82	0.8
83	0.8
84	0.8
85	0.8
86	0.8
87	0.8
88	0.8
89	0.8
90	0.8
91	0.8
92	1.2
93	1.2
94	1.2
95	1.2
96	1.6
97	1.6
98	1.6
99	1.6
100	1.6
101	1.6
102	1.6
103	2.0
104	2.0
105	2.0
106	2.0
107	2.0
108	2.0
109	2.0
110	2.0
111	2.4
112	2.8
113	2.8
114	2.8
115	2.8
116	2.8
117	2.8
118	2.8
119	2.8
120	2.8
121	2.8
122	2.8
123	3.2
124	3.2
125	3.6
126	4.0
127	4.0
128	4.0
129	4.4
130	4.4
131	4.4
132	4.0
133	4.0
134	4.0
135	4.0
136	4.0
137	4.0
138	4.4
139	4.8
140	5.2
141	5.2
142	5.2
143	5.2
144	5.2
145	5.6
146	5.6
147	5.6
148	5.6
149	5.6
150	5.6
151	5.6
152	5.6
153	6.0
154	6.4
155	6.8
156	7.2
157	7.2
158	7.2
159	7.2
160	7.2
161	7.2
162	7.2
163	7.2
164	7.2
165	7.2
166	7.6
167	8.0
168	8.0
169	8.0
170	8.4
171	8.8
172	8.8
173	8.8
174	8.8
175	8.8
176	8.8
177	9.2
178	9.2
179	9.2
180	9.6
181	10.0
182	10.4
183	10.4
184	10.4
185	10.4
186	10.8
187	11.2
188	10.8
189	10.8
190	10.8
191	11.2
192	11.2
193	11.6
194	11.6
195	12.0
196	12.4
197	12.8
198	12.8
199	13.2
200	13.2
201	13.2
202	13.2
203	13.2
204	13.2
205	13.2
206	13.2
207	13.2
208	13.2
209	13.6
210	14.0
211	14.8
212	15.2
213	15.6
214	15.6
215	15.6
216	15.6
217	15.6
218	15.2
219	14.8
220	14.4
221	14.4
222	14.4
223	14.4
224	14.8
225	15.2
226	16.0
227	16.4
228	17.2
229	17.6
230	17.6
231	17.6
232	17.6
233	17.6
234	17.2
235	16.8
236	16.4
237	16.0
238	16.0
239	16.4
240	16.4
241	16.4
242	16.8
243	17.6
244	18.4
245	19.2
246	19.2
247	19.6
248	19.6
249	19.6
250	19.2
251	18.8
252	18.4
253	17.6
254	17.2
255	17.2
256	17.6
257	18.0
258	18.0
259	18.4
260	19.2
261	20.0
262	20.8
263	21.2
264	21.2
265	21.2
266	21.2
267	21.2
268	20.8
269	20.0
270	19.2
271	18.8
272	18.4
273	18.4
274	18.8
275	19.2
276	19.6
277	20.0
278	20.8
279	21.6
280	22.0
281	22.4
282	22.4
283	22.4
284	22.4
285	22.4
286	22.0
287	21.2
288	20.4
289	19.6
290	19.2
291	19.6
292	20.0
293	20.0
294	20.4
295	20.8
296	21.6
297	22.8
298	24.0
299	24.4
300	24.4
301	24.4
302	24.4
303	24.4
304	24.0
305	23.2
306	22.0
307	21.2
308	20.4
309	20.4
310	20.8
311	21.2
312	21.6
313	22.0
314	22.4
315	23.2
316	24.4
317	25.2
318	25.6
319	25.6
320	25.6
321	25.6
322	25.6
323	24.8
324	24.0
325	22.8
326	21.6
327	20.8
328	20.8
329	21.2
330	21.6
331	22.0
332	22.0
333	22.4
334	23.2
335	24.8
336	26.0
337	26.8
338	26.8
339	26.8
340	26.8
341	26.8
342	26.4
343	25.6
344	24.4
345	23.2
346	22.0
347	21.6
348	21.2
349	21.6
350	22.4
351	22.4
352	22.8
353	23.2
354	24.0
355	25.6
356	27.2
357	28.0
358	28.0
359	27.6
360	27.6
361	27.6
362	27.2
363	26.8
364	25.6
365	24.4
366	23.2
367	22.4
368	22.0
369	22.4
370	22.8
371	23.2
372	23.2
373	23.2
374	24.0
375	25.6
376	27.6
377	28.8
378	29.2
379	28.8
380	28.4
381	28.4
382	28.0
383	27.6
384	27.2
385	26.0
386	24.4
387	23.2
388	22.4
389	22.0
390	22.4
391	22.8
392	23.6
393	24.0
394	24.0
395	24.4
396	25.2
397	26.8
398	28.8
399	30.0
400	30.4
401	30.0
402	29.6
403	29.2
404	29.2
405	28.8
406	28.0
407	26.8
408	25.2
409	24.0
410	23.2
411	22.8
412	22.8
413	23.2
414	23.6
415	24.0
416	24.0
417	24.4
418	25.2
419	26.8
420	28.8
421	30.4
422	31.2
423	30.8
424	30.4
425	30.0
426	30.0
427	30.0
428	29.2
429	28.4
430	26.8
431	25.2
432	23.6
433	22.8
434	22.4
435	22.8
436	23.6
437	24.4
438	24.4
439	24.8
440	25.2
441	26.0
442	28.0
443	30.4
444	32.0
445	32.8
446	32.8
447	32.0
448	31.2
449	30.8
450	30.8
451	30.8
452	30.0
453	28.8
454	27.2
455	25.2
456	24.0
457	23.2
458	22.8
459	23.2
460	24.0
461	24.8
462	25.2
463	25.2
464	25.2
465	26.0
466	27.6
467	30.4
468	32.8
469	34.0
470	34.0
471	33.2
472	31.6
473	30.8
474	30.8
475	31.2
476	30.8
477	29.6
478	28.0
479	26.4
480	24.8
481	23.6
482	22.4
483	22.4
484	22.8
485	24.0
486	25.2
487	25.6
488	25.6
489	25.6
490	26.0
491	27.6
492	30.4
493	33.2
494	35.2
495	35.6
496	35.2
497	34.0
498	32.8
499	32.4
500	32.8
501	33.2
502	32.8
503	31.6
504	30.0
505	27.6
506	25.6
507	23.6
508	22.8
509	22.4
510	22.8
511	24.0
512	26.8
513	27.2
514	27.2
515	26.8
516	26.4
517	26.8
518	28.8
519	32.0
520	35.2
521	36.8
522	36.8
523	35.6
524	34.4
525	33.6
526	33.2
527	33.6
528	34.4
529	34.4
530	33.6
531	31.6
532	29.2
533	26.8
534	24.8
535	23.6
536	23.2
537	23.2
538	24.4
539	26.0
540	27.2
541	28.0
542	28.0
543	27.2
544	27.2
545	27.6
546	29.6
547	32.8
548	36.0
549	38.8
550	39.2
551	38.4
552	36.8
553	35.2
554	34.0
555	33.6
556	34.8
557	35.6
558	35.6
559	34.4
560	32.0
561	29.6
562	27.2
563	25.2
564	24.0
565	23.2
566	22.8
567	23.6
568	25.2
569	26.8
570	28.0
571	28.8
572	28.8
573	28.4
574	28.0
575	28.4
576	30.0
577	33.2
578	37.2
579	40.0
580	41.2
581	40.4
582	38.4
583	36.4
584	34.8
585	34.0
586	34.4
587	35.2
588	36.0
589	36.0
590	34.4
591	32.0
592	29.2
593	26.8
594	24.8
595	23.6
596	22.8
597	22.4
598	22.8
599	24.0
600	26.0
601	28.0
602	28.8
603	29.2
604	28.8
605	28.4
606	28.4
607	28.8
608	30.4
609	33.2
610	37.2
611	40.8
612	42.8
613	42.8
614	41.2
615	38.8
616	36.8
617	35.2
618	34.4
619	34.8
620	36.0
621	37.2
622	37.2
623	36.0
624	33.6
625	30.8
626	28.4
627	26.0
628	24.4
629	23.2
630	22.4
631	22.4
632	22.8
633	24.0
634	25.6
635	27.6
636	29.2
637	30.0
638	30.0
639	29.6
640	29.2
641	28.8
642	29.2
643	30.8
644	33.6
645	37.6
646	41.6
647	44.0
648	44.4
649	43.6
650	41.6
651	39.2
652	37.2
653	35.6
654	34.8
655	35.2
656	36.4
657	38.0
658	38.4
659	37.2
660	35.2
661	32.4
662	30.0
663	28.0
664	26.0
665	24.4
666	23.2
667	22.4
668	22.0
669	22.0
670	22.8
671	24.4
672	26.4
673	28.4
674	29.6
675	30.4
676	30.0
677	30.0
678	29.6
679	29.6
680	29.6
681	30.4
682	32.0
683	35.2
684	39.2
685	43.2
686	45.6
687	46.4
688	45.2
689	43.2
690	40.8
691	38.4
692	36.4
693	35.2
694	34.8
695	34.8
696	36.0
697	37.2
698	37.6
699	37.2
700	36.0
701	34.0
702	31.6
703	29.6
704	27.2
705	25.6
706	24.4
707	23.2
708	22.4
709	22.0
710	22.0
711	22.4
712	23.2
713	24.8
714	26.8
715	28.4
716	30.0
717	30.8
718	31.2
719	31.2
720	30.8
721	30.4
722	30.0
723	30.0
724	30.8
725	32.0
726	34.0
727	37.6
728	41.6
729	45.2
730	47.6
731	48.4
732	47.6
733	46.0
734	44.0
735	41.6
736	39.6
737	38.0
738	36.8
739	36.4
740	36.4
741	37.2
742	38.4
743	39.6
744	40.0
745	39.6
746	38.0
747	36.0
748	33.6
749	31.6
750	29.2
751	27.6
752	26.0
753	24.8
754	24.0
755	23.2
756	22.0
757	21.6
758	21.2
759	21.6
760	22.4
761	23.2
762	24.4
763	26.4
764	28.0
765	29.6
766	30.8
767	31.6
768	32.0
769	32.0
770	32.0
771	32.0
772	32.0
773	32.0
774	32.0
775	32.0
776	32.8
777	34.4
778	37.2
779	40.4
780	44.0
781	46.8
782	48.8
783	50.0
784	50.0
785	48.8
786	46.8
787	44.8
788	42.0
789	38.8
790	36.0
791	33.6
792	32.8
793	32.4
794	32.4
795	32.8
796	32.8
797	33.6
798	34.8
799	36.4
800	37.6
801	38.0
802	37.2
803	35.6
804	34.0
805	32.4
806	30.4
807	28.8
808	27.6
809	26.4
810	25.2
811	24.4
812	23.6
813	22.8
814	22.4
815	22.0
816	22.0
817	22.0
818	22.0
819	22.0
820	22.8
821	23.6
822	24.8
823	26.0
824	27.6
825	29.2
826	30.8
827	31.6
828	32.0
829	32.4
830	32.8
831	32.8
832	32.8
833	32.8
834	32.8
835	32.8
836	32.8
837	32.8
838	32.8
839	32.8
840	33.6
841	34.4
842	35.6
843	37.6
844	39.6
845	42.0
846	44.0
847	46.4
848	48.4
849	50.4
850	51.2
851	50.4
852	48.8
853	46.8
854	44.8
855	43.2
856	41.2
857	40.0
858	38.8
859	38.0
860	37.2
861	36.8
862	36.4
863	36.4
864	36.8
865	37.2
866	37.2
867	37.2
868	37.2
869	37.6
870	38.4
871	39.2
872	40.0
873	40.4
874	40.4
875	40.0
876	39.6
877	39.2
878	38.0
879	37.2
880	36.0
881	34.4
882	33.2
883	32.0
884	30.4
885	29.2
886	28.4
887	27.6
888	26.8
889	26.0
890	25.2
891	24.4
892	24.0
893	23.6
894	23.2
895	22.8
896	22.4
897	22.0
898	21.6
899	21.2
900	21.2
901	21.2
902	21.2
903	21.2
904	21.2
905	21.2
906	21.2
907	21.6
908	22.0
909	22.8
910	23.6
911	24.8
912	25.6
913	26.8
914	27.6
915	28.8
916	29.6
917	30.4
918	31.2
919	32.0
920	32.4
921	32.8
922	33.2
923	33.6
924	33.6
925	33.6
926	33.6
927	33.6
928	34.0
929	34.0
930	34.0
931	34.0
932	34.0
933	34.0
934	34.0
935	34.0
936	33.6
937	33.6
938	33.2
939	33.2
940	33.2
941	33.2
942	33.2
943	33.2
944	33.2
945	33.2
946	33.2
947	33.6
948	33.6
949	33.6
950	34.0
951	34.8
952	35.2
953	36.0
954	36.8
955	37.6
956	38.8
957	40.0
958	41.2
959	42.4
960	43.6
961	44.8
962	46.0
963	47.6
964	48.8
965	49.6
966	50.8
967	51.6
968	52.0
969	52.8
970	53.2
971	53.6
972	53.6
973	54.0
974	54.4
975	54.4
976	54.8
977	54.8
978	54.8
979	54.4
980	54.4
981	54.0
982	54.0
983	54.0
984	53.6
985	53.2
986	52.4
987	52.4
988	52.0
989	52.0
990	51.6
991	51.2
992	50.8
993	50.4
994	50.4
995	50.0
996	49.6
997	49.6
998	49.2
999	49.2
1000	48.8
1001	48.8
1002	48.8
1003	48.4
1004	48.0
1005	48.0
1006	47.6
1007	47.6
1008	47.2
1009	47.2
1010	46.8
1011	46.8
1012	46.8
1013	46.8
1014	46.8
1015	46.8
1016	46.4
1017	46.4
1018	46.4
1019	46.4
1020	46.4
1021	46.4
1022	46.4
1023	46.4
1024	46.4
1025	46.4
1026	46.4
1027	46.4
1028	46.4
1029	46.0
1030	46.0
1031	46.0
1032	46.0
1033	46.0
1034	46.0
1035	46.0
1036	46.4
1037	46.8
1038	46.8
1039	47.2
1040	47.6
1041	47.6
1042	47.6
1043	47.6
1044	47.6
1045	48.0
1046	48.4
1047	48.8
1048	48.8
1049	49.2
1050	49.6
1051	50.0
1052	50.8
1053	50.8
1054	50.8
1055	50.8
1056	50.8
1057	51.2
1058	51.6
1059	51.6
1060	52.0
1061	52.4
1062	53.2
1063	53.2
1064	53.2
1065	53.6
1066	54.0
1067	54.0
1068	54.0
1069	54.0
1070	53.6
1071	53.6
1072	53.2
1073	52.4
1074	51.6
1075	50.8
1076	51.2
1077	51.6
1078	51.6
1079	51.2
1080	50.8
1081	50.0
1082	49.2
1083	48.4
1084	47.6
1085	46.4
1086	45.2
1087	44.0
1088	42.8
1089	41.6
1090	40.4
1091	39.2
1092	38.0
1093	36.8
1094	36.0
1095	35.2
1096	34.4
1097	34.0
1098	33.2
1099	32.8
1100	32.4
1101	32.4
1102	32.4
1103	32.4
1104	32.4
1105	32.4
1106	32.8
1107	32.8
1108	32.8
1109	32.8
1110	33.2
1111	33.2
1112	33.2
1113	33.6
1114	33.6
1115	33.2
1116	33.2
1117	33.2
1118	33.2
1119	33.2
1120	33.2
1121	33.2
1122	32.8
1123	32.8
1124	32.8
1125	32.4
1126	32.0
1127	31.6
1128	31.2
1129	30.4
1130	29.6
1131	28.8
1132	28.0
1133	26.8
1134	25.6
1135	24.4
1136	23.6
1137	22.4
1138	21.2
1139	20.4
1140	19.6
1141	19.2
1142	18.8
1143	18.8
1144	18.4
1145	18.4
1146	18.4
1147	18.4
1148	18.8
1149	19.2
1150	19.6
1151	20.0
1152	20.4
1153	21.2
1154	21.6
1155	22.4
1156	22.8
1157	23.6
1158	24.4
1159	25.2
1160	26.0
1161	26.8
1162	27.6
1163	28.4
1164	29.6
1165	30.8
1166	31.6
1167	32.8
1168	34.0
1169	34.8
1170	35.6
1171	36.0
1172	36.4
1173	36.4
1174	36.0
1175	35.6
1176	34.8
1177	34.0
1178	33.2
1179	32.8
1180	32.4
1181	32.8
1182	33.2
1183	34.4
1184	35.2
1185	36.4
1186	37.6
1187	38.8
1188	40.0
1189	41.2
1190	42.8
1191	44.0
1192	45.6
1193	47.2
1194	48.4
1195	49.2
1196	49.6
1197	49.6
1198	48.8
1199	47.2
1200	45.2
1201	42.8
1202	40.4
1203	37.6
1204	35.2
1205	33.2
1206	32.0
1207	31.2
1208	30.8
1209	31.2
1210	31.2
1211	31.6
1212	31.6
1213	31.6
1214	31.6
1215	31.6
1216	31.6
1217	31.2
1218	30.4
1219	30.0
1220	29.2
1221	28.0
1222	26.8
1223	25.2
1224	23.6
1225	21.6
1226	20.0
1227	18.8
1228	18.0
1229	17.6
1230	17.6
1231	18.0
1232	18.4
1233	19.2
1234	19.6
1235	20.8
1236	21.6
1237	22.4
1238	23.6
1239	24.8
1240	26.0
1241	27.2
1242	28.4
1243	30.0
1244	31.6
1245	33.2
1246	34.0
1247	34.4
1248	34.0
1249	33.2
1250	32.4
1251	31.6
1252	31.2
1253	31.6
1254	32.8
1255	34.4
1256	36.4
1257	38.0
1258	40.0
1259	42.0
1260	43.6
1261	45.6
1262	46.8
1263	47.6
1264	47.6
1265	46.4
1266	44.4
1267	41.2
1268	37.6
1269	34.4
1270	32.0
1271	30.8
1272	30.0
1273	30.0
1274	30.4
1275	30.4
1276	30.4
1277	30.4
1278	30.0
1279	30.0
1280	29.2
1281	28.0
1282	26.4
1283	24.4
1284	22.4
1285	20.4
1286	18.8
1287	17.6
1288	16.8
1289	16.8
1290	17.2
1291	18.0
1292	19.2
1293	20.4
1294	21.6
1295	22.8
1296	24.4
1297	26.0
1298	27.6
1299	29.6
1300	31.2
1301	32.4
1302	32.8
1303	32.4
1304	31.6
1305	30.4
1306	30.0
1307	30.0
1308	31.2
1309	33.2
1310	35.2
1311	37.2
1312	39.6
1313	41.6
1314	43.6
1315	45.2
1316	45.6
1317	44.4
1318	41.6
1319	37.6
1320	33.6
1321	31.2
1322	29.2
1323	28.8
1324	28.8
1325	29.2
1326	29.2
1327	29.2
1328	29.2
1329	28.4
1330	27.6
1331	26.0
1332	23.6
1333	21.2
1334	18.8
1335	17.2
1336	16.4
1337	16.4
1338	16.8
1339	18.0
1340	19.2
1341	20.8
1342	22.4
1343	24.4
1344	26.4
1345	28.0
1346	29.6
1347	30.4
1348	30.8
1349	30.4
1350	29.2
1351	28.4
1352	28.4
1353	29.6
1354	31.6
1355	34.8
1356	37.2
1357	40.0
1358	42.0
1359	43.2
1360	43.2
1361	41.6
1362	38.4
1363	34.4
1364	30.8
1365	28.4
1366	27.6
1367	27.6
1368	28.4
1369	28.8
1370	29.2
1371	28.8
1372	27.6
1373	25.6
1374	23.2
1375	20.4
1376	18.0
1377	16.8
1378	16.0
1379	16.4
1380	17.2
1381	18.8
1382	20.4
1383	22.4
1384	24.4
1385	26.4
1386	28.4
1387	30.0
1388	30.8
1389	30.0
1390	28.8
1391	27.6
1392	28.0
1393	29.6
1394	32.0
1395	35.2
1396	38.4
1397	41.2
1398	42.8
1399	42.8
1400	40.4
1401	36.4
1402	32.0
1403	28.8
1404	27.2
1405	26.8
1406	27.2
1407	27.6
1408	28.0
1409	27.6
1410	26.4
1411	24.0
1412	20.8
1413	18.0
1414	16.4
1415	15.6
1416	15.6
1417	16.4
1418	18.0
1419	20.4
1420	22.8
1421	25.2
1422	27.2
1423	28.8
1424	29.6
1425	29.2
1426	28.0
1427	26.8
1428	27.2
1429	29.2
1430	32.4
1431	36.0
1432	39.2
1433	41.6
1434	42.0
1435	40.0
1436	35.2
1437	30.8
1438	27.6
1439	26.4
1440	26.0
1441	26.4
1442	26.4
1443	26.0
1444	24.8
1445	22.8
1446	20.4
1447	18.0
1448	16.0
1449	15.2
1450	15.2
1451	16.4
1452	18.0
1453	20.4
1454	22.8
1455	25.6
1456	27.6
1457	28.4
1458	28.0
1459	26.8
1460	26.0
1461	26.4
1462	28.4
1463	32.0
1464	35.6
1465	38.4
1466	39.6
1467	38.4
1468	34.4
1469	30.0
1470	26.8
1471	25.2
1472	25.2
1473	26.0
1474	26.4
1475	26.4
1476	24.8
1477	22.0
1478	18.8
1479	16.4
1480	15.2
1481	15.2
1482	16.0
1483	18.0
1484	20.4
1485	23.2
1486	25.6
1487	27.2
1488	27.6
1489	26.8
1490	25.6
1491	25.2
1492	26.4
1493	28.8
