p	I1 / %
0	0.8
1	0.8
2	0.8
3	0.8
4	0.8
5	0.8
6	0.8
7	0.8
8	0.8
9	0.8
10	0.8
11	0.8
12	0.8
13	0.8
14	0.8
15	0.8
16	0.8
17	0.8
18	0.8
19	0.8
20	0.8
21	0.8
22	0.8
23	0.8
24	0.8
25	0.8
26	0.8
27	0.8
28	0.8
29	0.8
30	0.8
31	0.8
32	0.8
33	0.8
34	0.8
35	0.8
36	0.8
37	0.8
38	0.8
39	0.8
40	0.8
41	0.8
42	0.8
43	0.8
44	0.8
45	0.8
46	0.8
47	0.8
48	0.8
49	0.8
50	0.8
51	0.8
52	0.8
53	0.8
54	0.8
55	0.8
56	0.8
57	0.8
58	0.8
59	0.8
60	0.8
61	0.8
62	0.8
63	0.8
64	0.8
65	0.8
66	0.8
67	0.8
68	0.8
69	0.8
70	0.8
71	0.8
72	0.8
73	0.9
74	0.9
75	0.9
76	0.9
77	1.0
78	1.0
79	1.1
80	1.1
81	1.2
82	1.2
83	1.2
84	1.2
85	1.3
86	1.3
87	1.3
88	1.4
89	1.4
90	1.5
91	1.6
92	1.6
93	1.6
94	1.6
95	1.6
96	1.7
97	1.9
98	2.2
99	2.4
100	2.4
101	2.4
102	2.4
103	2.4
104	2.4
105	2.4
106	2.4
107	2.4
108	2.6
109	2.8
110	2.8
111	3.0
112	3.3
113	3.6
114	3.7
115	3.7
116	3.7
117	3.7
118	3.7
119	3.7
120	3.7
121	3.7
122	3.7
123	4.0
124	4.0
125	4.4
126	4.7
127	5.0
128	5.3
129	5.5
130	5.5
131	5.4
132	5.2
133	5.2
134	5.2
135	5.2
136	5.2
137	5.3
138	5.7
139	6.0
140	6.3
141	6.4
142	6.4
143	6.4
144	6.6
145	6.8
146	6.9
147	6.9
148	6.9
149	6.9
150	7.0
151	7.0
152	7.2
153	7.4
154	7.8
155	8.3
156	8.7
157	9.1
158	9.1
159	9.2
160	9.3
161	9.4
162	9.4
163	9.4
164	9.3
165	9.4
166	9.8
167	10.1
168	10.2
169	10.4
170	10.6
171	11.0
172	11.2
173	11.2
174	11.1
175	11.2
176	11.6
177	11.9
178	11.9
179	11.9
180	12.0
181	12.4
182	12.8
183	13.2
184	13.4
185	13.7
186	13.8
187	14.0
188	14.0
189	14.0
190	14.0
191	14.0
192	14.3
193	14.7
194	15.0
195	15.3
196	15.4
197	15.7
198	15.9
199	16.3
200	16.6
201	16.8
202	16.8
203	16.8
204	16.7
205	16.7
206	16.7
207	16.7
208	16.8
209	17.2
210	17.8
211	18.5
212	18.9
213	19.0
214	19.1
215	19.4
216	19.6
217	19.6
