I_A1 / A	B_B1 / mT
0.00	-1
0.02	0
0.00	-1
0.00	-1
0.02	-1
0.00	-1
0.00	0
0.02	-1
0.00	-1
0.02	-1
0.00	-1
0.00	-1
0.00	-1
0.02	-1
0.02	-1
0.00	-1
0.00	-1
0.00	0
0.00	-1
0.00	-1
0.02	-1
0.00	0
0.02	-1
0.02	-1
0.00	0
0.00	-1
0.02	0
0.02	-1
0.02	-1
0.02	-1
0.02	-1
0.00	-1
0.00	0
0.02	-1
0.00	-1
0.02	-1
0.00	-1
0.00	-1
0.00	0
0.00	-1
0.02	-1
0.02	-1
0.02	-1
0.00	-1
0.00	-1
0.00	-1
0.02	-1
0.02	-1
0.02	0
0.00	-1
0.00	-1
0.15	13
0.15	12
0.42	36
0.33	27
0.69	59
0.51	43
0.77	64
0.60	52
0.83	70
0.69	61
0.84	71
1.02	88
0.90	79
1.23	107
1.07	95
1.29	114
1.37	120
1.50	134
1.71	153
1.58	143
1.65	148
1.62	146
1.64	148
1.64	147
1.64	147
1.86	167
1.82	163
1.86	167
1.82	164
1.86	167
1.82	165
1.83	166
1.88	169
1.85	167
2.01	181
2.09	188
2.01	184
2.27	205
2.63	238
2.51	229
2.63	239
2.66	240
2.63	240
2.72	248
2.93	266
2.88	264
2.97	270
3.03	276
3.05	278
3.36	306
3.21	295
3.39	309
3.29	303
3.51	322
3.62	330
3.66	336
3.83	351
3.92	359
3.96	363
4.04	369
4.13	378
4.22	386
4.26	390
4.34	396
4.40	401
4.53	413
4.64	425
4.61	422
4.65	426
4.88	446
4.91	449
5.00	455
4.98	454
5.12	464
5.16	469
5.24	475
5.27	476
5.31	480
5.36	483
5.36	483
5.33	481
5.31	482
5.37	484
5.37	485
5.39	485
5.51	494
5.55	500
5.60	503
5.61	504
5.69	508
5.67	507
5.87	522
5.82	519
5.94	525
6.03	531
6.11	536
6.12	536
6.12	537
6.15	538
6.21	541
6.35	549
6.32	549
6.35	551
6.42	554
6.47	557
6.62	564
6.72	570
6.72	570
6.83	575
6.95	580
7.04	585
7.08	586
7.19	590
7.22	592
7.32	595
7.37	598
7.46	602
7.50	603
7.52	603
7.49	603
7.47	602
7.38	599
7.41	600
7.38	599
7.38	599
7.38	599
7.38	599
7.38	599
7.38	599
7.38	599
7.35	598
7.44	601
7.52	603
7.65	608
7.70	611
7.79	613
7.80	614
7.85	615
7.98	621
7.98	621
8.01	622
8.06	623
8.04	623
8.09	624
8.12	625
8.09	624
8.12	625
8.18	626
8.16	627
8.33	632
8.30	632
8.36	633
8.33	633
8.37	633
8.42	636
8.48	637
8.52	638
8.58	640
8.63	642
8.64	642
8.66	642
8.72	645
8.73	645
8.84	648
9.03	654
9.03	653
9.05	654
9.12	655
9.17	658
9.26	660
9.32	662
9.39	664
9.47	666
9.62	670
9.74	673
9.86	676
9.90	677
9.89	677
9.89	677
9.92	677
9.89	677
9.90	677
9.89	677
9.89	677
9.89	677
9.90	677
9.90	676
9.89	677
9.90	676
9.90	676
9.87	676
9.89	676
9.87	676
9.84	676
9.89	677
9.90	677
9.90	677
9.90	677
9.89	677
9.86	676
9.90	677
9.87	677
9.84	676
9.83	676
9.81	675
9.81	675
9.81	675
9.81	675
9.80	675
9.83	676
9.84	675
9.81	675
9.80	675
9.84	676
9.84	676
9.86	676
9.84	676
9.86	676
9.86	676
9.86	676
9.84	676
9.86	676
9.84	676
9.83	676
9.80	675
9.86	676
9.81	676
9.84	675
9.83	675
9.81	675
9.83	675
9.83	675
9.86	676
9.86	676
9.86	676
9.86	676
9.87	676
9.86	676
9.86	676
9.87	676
9.90	676
9.89	677
9.87	676
9.86	676
9.87	676
9.89	676
9.89	676
9.89	676
9.89	676
9.87	676
9.89	676
9.89	677
9.87	676
9.89	676
9.90	676
9.89	677
9.89	676
9.89	676
9.87	676
9.89	676
9.87	676
9.90	676
9.83	676
9.87	676
9.87	676
9.90	676
9.83	676
9.86	676
9.86	676
9.89	675
9.89	676
9.86	676
9.86	676
9.84	675
9.86	675
9.83	676
9.84	676
9.84	676
9.84	676
9.83	675
9.83	675
9.83	675
9.81	675
9.77	674
9.80	675
9.81	675
9.86	675
9.86	676
9.83	676
9.84	676
9.86	676
9.89	676
9.86	676
9.84	675
9.86	676
9.89	675
9.83	675
9.86	676
9.86	676
9.89	676
9.86	676
9.86	676
9.84	676
9.86	676
9.84	676
9.86	675
9.87	675
9.86	676
9.83	675
9.84	675
9.84	676
9.84	675
9.84	675
9.83	675
9.84	675
9.81	675
9.83	675
9.83	675
9.83	675
9.80	675
9.81	675
9.90	676
9.98	678
9.98	679
9.99	679
9.98	679
9.98	679
9.99	678
9.99	679
9.98	679
9.98	678
9.98	679
9.99	679
9.99	679
10.01	678
9.99	678
9.98	679
9.98	679
9.99	679
9.96	679
9.98	678
9.96	679
9.98	678
9.96	679
9.98	679
9.93	679
9.96	678
9.98	678
9.99	679
9.98	678
9.98	678
9.95	678
9.96	679
9.96	679
9.93	679
9.98	678
9.96	679
9.98	678
9.96	679
9.95	678
9.96	678
9.98	678
9.96	678
9.96	679
9.95	679
9.98	679
9.95	679
9.95	678
9.93	678
9.95	678
9.99	678
9.96	678
9.96	678
9.96	678
9.98	678
9.96	678
9.96	678
9.98	678
9.98	678
9.98	678
9.96	678
9.96	678
9.99	678
9.96	678
9.95	678
9.98	678
9.98	678
9.93	679
9.96	679
9.96	678
