I_A1 / A	B_B1 / mT
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.27	0
0.29	0
0.29	0
0.27	0
0.29	0
0.29	1
0.29	0
0.29	0
0.29	0
0.29	0
0.27	0
0.29	-1
0.29	0
0.29	0
0.27	0
0.29	0
0.29	0
0.29	0
0.29	0
0.27	0
0.29	0
0.27	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.27	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.29	0
0.27	0
0.29	0
0.27	0
0.27	0
0.27	0
0.29	0
0.48	16
0.39	9
0.53	21
0.47	17
0.54	21
0.54	22
0.62	27
0.63	29
0.71	37
0.86	48
0.80	45
0.90	52
0.86	49
0.93	55
0.95	57
1.04	64
1.02	63
1.08	69
1.16	76
1.13	74
1.25	84
1.20	81
1.26	84
1.25	84
1.35	94
1.47	103
1.44	102
1.55	112
1.62	120
1.79	133
1.82	136
1.91	144
1.89	143
1.92	146
1.91	145
1.92	146
1.92	145
1.92	146
1.92	146
1.94	148
1.98	151
1.98	151
2.03	155
2.18	169
2.09	164
2.21	173
2.16	170
2.28	180
2.28	181
2.40	191
2.51	202
2.57	207
2.58	207
2.73	221
2.76	224
2.79	228
2.87	234
2.94	240
2.93	240
2.99	245
3.06	253
3.21	266
3.17	263
3.33	278
3.32	276
3.41	284
3.42	286
3.53	294
3.50	294
3.59	301
3.62	304
3.81	320
3.80	321
3.87	328
3.84	326
3.95	335
4.01	340
4.02	342
4.17	355
4.17	355
4.20	358
4.29	367
4.37	373
4.40	375
4.44	380
4.50	386
4.56	391
4.55	390
4.61	396
4.83	416
4.85	416
4.97	427
4.95	426
5.10	440
5.22	449
5.18	448
5.28	454
5.33	458
5.45	466
5.58	478
5.60	479
5.70	489
5.81	496
5.88	501
5.93	503
6.02	510
6.17	520
6.18	521
6.35	532
6.42	536
6.50	541
6.60	547
6.71	552
6.77	555
6.81	559
6.86	561
7.07	572
7.13	574
7.28	580
7.32	582
7.44	587
7.55	591
7.61	595
7.82	603
7.95	608
8.10	612
8.24	618
8.40	624
8.55	628
8.73	635
8.90	640
9.03	643
9.23	649
9.41	654
9.44	655
9.42	655
9.44	655
9.41	655
9.44	655
9.42	655
9.47	655
9.44	655
9.44	655
9.42	655
9.42	655
9.42	655
9.44	655
9.44	655
9.44	655
9.42	655
9.45	655
9.47	655
9.42	655
9.42	655
9.45	655
9.42	655
9.44	655
9.42	655
9.44	655
9.42	655
9.44	655
9.44	655
9.44	655
9.42	655
9.44	655
9.42	655
9.44	655
9.44	655
9.42	655
9.42	655
9.41	655
9.41	655
9.42	655
9.41	655
9.42	655
9.42	655
9.44	655
9.42	655
9.42	654
9.42	655
9.42	655
9.42	655
9.41	655
9.42	655
9.41	655
9.45	654
9.38	655
9.42	655
9.41	655
9.41	655
9.41	654
9.41	655
9.42	655
9.41	655
9.42	655
9.42	655
