I_A1 / A	B_B1 / mT
6.03	531
6.11	536
6.12	536
6.12	537
6.15	538
6.21	541
6.35	549
6.32	549
6.35	551
6.42	554
6.47	557
6.62	564
6.72	570
6.72	570
6.83	575
6.95	580
7.04	585
7.08	586
7.19	590
7.22	592
7.32	595
7.37	598
7.46	602
7.50	603
7.52	603
7.49	603
7.47	602
7.38	599
7.41	600
7.38	599
7.38	599
7.38	599
7.38	599
7.38	599
7.38	599
7.38	599
7.35	598
7.44	601
7.52	603
7.65	608
7.70	611
7.79	613
7.80	614
7.85	615
7.98	621
7.98	621
8.01	622
8.06	623
8.04	623
8.09	624
8.12	625
8.09	624
8.12	625
8.18	626
8.16	627
8.33	632
8.30	632
8.36	633
8.33	633
8.37	633
8.42	636
8.48	637
8.52	638
