&a / °	I1 / %
5.459	0.3
5.454	0.3
5.449	0.2
5.443	0.2
5.438	0.2
5.433	0.2
5.428	0.2
5.422	0.2
5.417	0.2
5.412	0.2
5.406	0.2
5.401	0.1
5.396	0.1
5.390	0.1
5.385	0.1
5.380	0.1
5.375	0.1
5.369	0.1
5.364	0.1
5.359	0.2
5.353	0.2
5.348	0.2
5.343	0.2
5.337	0.2
5.332	0.2
5.327	0.1
5.322	0.1
5.316	0.1
5.311	0.1
5.306	0.1
5.300	0.1
5.295	0.1
5.290	0.1
5.284	0.2
5.279	0.2
5.274	0.2
5.269	0.2
5.263	0.2
5.258	0.2
5.253	0.2
5.247	0.2
5.242	0.2
5.237	0.2
5.231	0.2
5.226	0.2
5.221	0.2
5.216	0.2
5.210	0.2
5.205	0.2
5.200	0.2
5.194	0.2
5.189	0.2
5.184	0.2
5.178	0.2
5.173	0.2
5.168	0.2
5.162	0.2
5.157	0.2
5.152	0.2
5.147	0.2
5.141	0.2
5.136	0.2
5.131	0.2
5.125	0.2
5.120	0.2
5.115	0.2
5.109	0.2
5.104	0.2
5.099	0.2
5.094	0.2
5.088	0.3
5.083	0.3
5.078	0.3
5.072	0.3
5.067	0.3
5.062	0.4
5.056	0.4
5.051	0.4
5.046	0.4
5.040	0.4
5.035	0.4
5.030	0.4
5.025	0.4
5.019	0.4
5.014	0.4
5.009	0.4
5.003	0.4
4.998	0.4
4.993	0.4
4.987	0.4
4.982	0.4
4.977	0.4
4.971	0.4
4.966	0.4
4.961	0.4
4.956	0.4
4.950	0.5
4.945	0.8
4.940	1.0
4.934	1.3
4.929	1.3
4.924	1.3
4.918	1.2
4.913	1.2
4.908	1.0
4.902	0.9
4.897	0.8
4.892	0.8
4.887	0.8
4.881	0.8
4.876	1.0
4.871	1.4
4.865	1.8
4.860	2.4
4.855	2.7
4.849	2.7
4.844	2.3
4.839	2.0
4.833	1.6
4.828	1.4
4.823	1.2
4.818	1.2
4.812	1.2
4.807	1.6
4.802	2.0
4.796	2.4
4.791	2.8
4.786	3.3
4.780	3.7
4.775	4.0
4.770	3.8
4.764	3.4
4.759	3.0
4.754	2.5
4.748	2.1
4.743	2.0
4.738	2.1
4.733	2.5
4.727	2.8
4.722	3.2
4.717	3.6
4.711	4.0
4.706	4.1
4.701	4.4
4.695	4.4
4.690	4.4
4.685	4.2
4.679	3.9
4.674	3.5
4.669	3.2
4.663	3.2
4.658	3.4
4.653	3.7
4.648	4.2
4.642	4.7
4.637	5.2
4.632	5.6
4.626	6.0
4.621	6.0
4.616	6.0
4.610	6.0
4.605	5.8
4.600	5.3
4.594	4.8
4.589	4.4
4.584	4.4
4.578	4.8
4.573	5.6
4.568	6.0
4.563	6.4
4.557	6.8
4.552	7.1
4.547	7.1
4.541	7.2
4.536	7.2
4.531	7.0
4.525	6.8
4.520	6.8
4.515	6.4
4.509	6.3
4.504	6.4
4.499	7.0
4.493	7.6
4.488	8.0
4.483	8.2
4.478	8.4
4.472	8.5
4.467	8.5
4.462	8.4
4.456	8.4
4.451	8.2
4.446	7.9
4.440	7.8
4.435	8.0
4.430	8.0
4.424	8.4
4.419	8.8
4.414	9.4
4.408	9.8
4.403	10.1
4.398	10.1
4.392	10.1
4.387	9.9
4.382	9.6
4.377	9.3
4.371	9.0
4.366	8.7
4.361	8.6
4.355	8.6
4.350	9.0
4.345	9.8
4.339	10.8
4.334	11.6
4.329	12.0
4.323	12.1
4.318	12.0
4.313	11.7
4.307	11.4
4.302	11.0
4.297	10.6
4.291	10.2
4.286	9.8
4.281	9.5
4.275	9.3
4.270	9.3
4.265	9.7
4.260	10.8
4.254	12.3
4.249	13.5
4.244	14.0
4.238	14.0
4.233	14.0
4.228	13.6
4.222	13.2
4.217	12.6
4.212	11.9
4.206	11.2
4.201	10.8
4.196	10.4
4.190	10.2
4.185	10.1
4.180	10.1
4.174	10.8
4.169	12.3
4.164	14.1
4.158	15.3
4.153	15.7
4.148	15.7
4.143	15.4
4.137	15.0
4.132	14.3
4.127	13.5
4.121	12.7
4.116	12.0
4.111	11.3
4.105	10.9
4.100	10.8
4.095	10.8
4.089	10.8
4.084	11.6
4.079	13.2
4.073	15.2
4.068	17.0
4.063	17.8
4.057	17.8
4.052	17.2
4.047	16.4
4.041	15.6
4.036	14.8
4.031	14.1
4.025	13.3
4.020	12.8
4.015	12.0
4.009	11.4
4.004	11.0
3.999	10.8
3.994	11.2
3.988	12.4
3.983	14.4
3.978	16.7
3.972	18.2
3.967	18.6
3.962	18.6
3.956	18.2
3.951	17.6
3.946	16.8
3.940	15.8
3.935	14.9
3.930	14.1
3.924	13.3
3.919	12.5
3.914	11.9
3.908	11.2
3.903	10.8
3.898	11.2
3.892	12.4
3.887	14.5
3.882	17.3
3.876	19.9
3.871	21.1
3.866	21.1
3.860	20.4
3.855	19.6
3.850	18.4
3.844	17.3
3.839	16.4
3.834	15.2
3.829	14.4
3.823	13.6
3.818	12.8
3.813	12.0
3.807	11.6
3.802	11.5
3.797	12.0
3.791	13.4
3.786	16.0
3.781	19.2
3.775	21.6
3.770	22.6
3.765	22.7
3.759	21.9
3.754	20.7
3.749	19.4
3.743	18.1
3.738	16.9
3.733	15.7
3.727	14.6
3.722	13.8
3.717	12.9
3.711	12.2
3.706	11.5
3.701	11.2
3.695	11.6
3.690	12.8
3.685	15.2
3.679	18.7
3.674	21.9
3.669	23.9
3.663	24.3
3.658	23.7
3.653	22.4
3.647	21.2
3.642	19.9
3.637	18.4
3.632	17.2
3.626	16.0
3.621	14.8
3.616	14.0
3.610	13.2
3.605	12.4
3.600	11.6
3.594	11.3
3.589	11.6
3.584	13.1
3.578	15.6
3.573	19.3
3.568	22.8
3.562	24.8
3.557	25.1
3.552	24.3
3.546	23.2
3.541	22.0
3.536	20.7
3.530	19.5
3.525	18.2
3.520	17.0
3.514	15.8
3.509	14.7
3.504	13.6
3.498	12.8
3.493	12.0
3.488	11.4
3.482	11.5
3.477	12.3
3.472	14.3
3.466	17.5
3.461	21.6
3.456	24.9
3.450	26.3
3.445	26.1
3.440	25.2
3.434	23.9
3.429	22.4
3.424	21.1
3.418	19.6
3.413	18.1
3.408	16.8
3.402	15.6
3.397	14.4
3.392	13.5
3.386	12.4
3.381	11.6
3.376	11.2
3.370	11.1
3.365	11.9
3.360	13.6
3.354	16.4
3.349	20.5
3.344	24.8
3.338	27.5
3.333	28.4
3.328	27.9
3.322	26.5
3.317	24.9
3.312	23.2
3.306	21.5
3.301	19.9
3.296	18.3
3.291	16.8
3.285	15.6
3.280	14.4
3.275	13.2
3.269	12.2
3.264	11.4
3.259	10.8
3.253	10.6
3.248	11.1
3.243	12.8
3.237	15.6
3.232	19.8
3.227	24.7
3.221	28.3
3.216	29.7
3.211	29.6
3.205	28.4
3.200	26.8
3.195	24.9
3.189	23.1
3.184	21.4
3.179	19.7
3.173	18.1
3.168	16.7
3.163	15.2
3.157	13.9
3.152	12.7
3.147	11.6
3.141	10.8
3.136	10.4
3.131	10.4
3.125	10.9
3.120	12.6
3.115	15.6
3.109	20.0
3.104	25.2
3.099	29.6
3.093	31.6
3.088	31.6
3.083	30.6
3.077	28.9
3.072	26.9
3.067	24.9
3.061	23.1
3.056	21.2
3.051	19.5
3.045	17.7
3.040	16.1
3.035	14.6
3.029	13.3
3.024	12.0
3.019	11.2
3.013	10.4
3.008	10.0
3.003	10.0
2.997	10.6
2.992	12.0
2.987	14.8
2.981	19.4
2.976	25.0
2.971	30.3
2.965	33.2
2.960	34.0
2.955	32.9
2.949	30.9
2.944	28.6
2.939	26.3
2.933	24.2
2.928	21.9
2.923	19.8
2.917	17.9
2.912	16.3
2.907	15.1
2.901	13.8
2.896	12.4
2.891	11.3
2.885	10.4
2.880	9.7
2.875	9.4
2.869	9.5
2.864	10.0
2.859	11.2
2.853	13.7
2.848	18.0
2.843	24.0
2.837	30.2
2.832	34.6
2.827	36.3
2.821	35.9
2.816	34.3
2.811	32.0
2.805	29.6
2.800	27.2
2.795	25.2
2.789	23.0
2.784	20.9
2.779	18.9
2.773	16.9
2.768	14.9
2.763	13.3
