n	a	da	b	db	c	dc	order	m	s	ds	I	alpha	dalpha	gang	dgang	gang0	dgang0	lambda0	gang-	dgang-	gang+	dgang+	deltagang-	ddeltagang-	deltagang+	ddeltagang+	deltalambda-	ddeltalambda-	deltalambda+	ddeltalambda+	deltaE-	ddeltaE-	deltaE+	ddeltaE+	a	b	c	B	dB	B2
1	28.5016	0.849783	829.358	0.492301	15.2528	0.829285	-2	-1	12.95453556	0.704329829	6	0.018166587	4.59481E-05	0.011655094	4.58358E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
2	21.1055	1.16465	849.878	0.187483	5.69205	0.291144	-2	0	4.834382153	0.247274946	6	0.016251387	1.74984E-05	0.011655275	1.56152E-09	0.011655275	1.56152E-09	6.4376E-07	0.011655094	4.58358E-09	0.011655441	3.91131E-09	-1.8098E-07	4.84227E-09	1.66121E-07	4.21149E-09	-9.99613E-12	-2.69236E-13	9.17542E-12	2.3434E-13	-4.79108E-24	-1.28189E-25	4.39772E-24	1.11491E-25	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
3	38.5883	0.293881	871.119	0.534864	22.762	0.829223	-2	1	19.33226282	0.704277171	6	0.014268893	4.99206E-05	0.011655441	3.91131E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
4	21.6083	0.782926	921.91	0.35641	15.3067	0.541119	-1	-1	13.000314	0.459584163	6	0.0095284	3.32649E-05	0.011655751	1.74039E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
5	51.5363	0.462747	979.654	0.684621	37.9963	1.08583	-1	0	32.27108592	0.92221909	6	0.00413896	6.3898E-05	0.011655953	1.45215E-09	0.011655953	1.45215E-09	6.43797E-07	0.011655751	1.74039E-09	#	#	-2.02225E-07	2.26665E-09	#WERT!	#WERT!	-1.11696E-11	-1.29874E-13	#WERT!	#WERT!	-5.35318E-24	-6.00014E-26	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
6	51.7062	0.356072	1065.99	0.729291	40.4181	1.1648	1	0	34.32797346	0.989290033	6	-0.003919067	6.80672E-05	0.011655958	1.46471E-09	0.011655958	1.46471E-09	6.43798E-07	#	#	0.011655756	1.56631E-09	#WERT!	#WERT!	-2.02182E-07	2.14446E-09	#WERT!	#WERT!	-1.11672E-11	-1.23379E-13	#WERT!	#WERT!	-5.35204E-24	-5.67669E-26	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
7	20.074	0.738264	1125.08	0.323965	14.224	0.506095	1	1	12.08075329	0.429837517	6	-0.009434133	3.02367E-05	0.011655756	1.56631E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
8	34.5089	0.302	1174.27	0.616481	21.309	0.824004	2	-1	18.09819824	0.699844561	6	-0.0140252	5.75382E-05	0.01165546	4.43115E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
9	27.9089	1.64872	1195.93	0.22516	7.24469	0.320278	2	0	6.153073153	0.272019088	6	-0.0160468	2.10149E-05	0.011655293	1.85171E-09	0.011655293	1.85171E-09	6.43761E-07	0.01165546	4.43115E-09	0.011655112	3.49101E-09	1.6691E-07	4.80249E-09	-1.81315E-07	3.95171E-09	9.21898E-12	2.66786E-13	-1.00147E-11	-2.20453E-13	4.41859E-24	1.27136E-25	-4.79995E-24	-1.04613E-25	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
10	28.7849	0.674773	1216.72	0.378693	13.0935	0.565558	2	1	11.12059499	0.480340739	6	-0.0179872	3.53447E-05	0.011655112	3.49101E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
11	31.387	0.903664	829.069	0.574861	16.6761	0.889069	-2	-1	14.16337527	0.755105684	6.3	0.01819356	5.36537E-05	0.011655091	5.36021E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
12	21.2711	1.1059	850.298	0.178191	5.69385	0.281251	-2	0	4.835910933	0.238872606	6.3	0.016212187	1.66312E-05	0.011655278	1.48054E-09	0.011655278	1.48054E-09	6.4376E-07	0.011655091	5.36021E-09	0.011655447	4.12827E-09	-1.87166E-07	5.56092E-09	1.69044E-07	4.38573E-09	-1.03378E-11	-3.08808E-13	9.33686E-12	2.43954E-13	-4.95486E-24	-1.47214E-25	4.4751E-24	1.16103E-25	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
13	41.3403	0.327233	871.999	0.567802	22.9145	0.911427	-2	1	19.46178439	0.77409482	6.3	0.01418676	5.29949E-05	0.011655447	4.12827E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
14	24.7343	0.851412	921.952	0.358973	15.7259	0.528533	-1	-1	13.3563497	0.448894599	6.3	0.00952448	3.35041E-05	0.011655751	1.75218E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
15	54.4236	0.611898	979.675	0.729286	37.3442	1.07823	-1	0	31.71724317	0.915764245	6.3	0.004137	6.80667E-05	0.011655953	1.54615E-09	0.011655953	1.54615E-09	6.43797E-07	0.011655751	1.75218E-09	#	#	-2.02064E-07	2.33682E-09	#WERT!	#WERT!	-1.11607E-11	-1.33607E-13	#WERT!	#WERT!	-5.34894E-24	-6.18591E-26	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
16	55.7872	0.389607	1064.36	0.779025	41.1737	1.22639	1	0	34.96972101	1.041599763	6.3	-0.003766933	0.000072709	0.011655961	1.50386E-09	0.011655961	1.50386E-09	6.43798E-07	#	#	0.011655754	1.64979E-09	#WERT!	#WERT!	-2.06554E-07	2.23236E-09	#WERT!	#WERT!	-1.14087E-11	-1.28251E-13	#WERT!	#WERT!	-5.46777E-24	-5.90937E-26	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
17	22.6951	0.813742	1125.32	0.340425	15.0318	0.531215	1	1	12.76683544	0.45117248	6.3	-0.009456533	0.000031773	0.011655754	1.64979E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
18	37.0904	0.308758	1172.36	0.518518	20.2261	0.809075	2	-1	17.17846766	0.687165036	6.3	-0.013846933	4.8395E-05	0.011655474	3.67963E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
19	32.5284	1.88681	1195.29	0.219756	7.7328	0.312832	2	0	6.567635617	0.265695037	6.3	-0.015987067	2.05106E-05	0.011655298	1.80054E-09	0.011655298	1.80054E-09	6.43761E-07	0.011655474	3.67963E-09	0.011655111	3.4474E-09	1.75297E-07	4.09654E-09	-1.8703E-07	3.88928E-09	9.68227E-12	2.28239E-13	-1.03303E-11	-2.17181E-13	4.64064E-24	1.08447E-25	-4.95123E-24	-1.02961E-25	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
20	32.4417	0.500637	1216.77	0.373865	13.6933	0.594604	2	1	11.63001821	0.50501014	6.3	-0.017991867	3.48941E-05	0.011655111	3.4474E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
21	32.9667	0.837135	828.568	0.523639	16.5754	0.887862	-2	-1	14.07784857	0.754080552	6.6	0.01824032	4.8873E-05	0.011655087	4.89515E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
22	22.9343	1.25389	850.404	0.187006	6.06	0.295564	-2	0	5.14689011	0.251028949	6.6	0.016202293	1.74539E-05	0.011655279	1.55284E-09	0.011655279	1.55284E-09	6.4376E-07	0.011655087	4.89515E-09	0.011655452	3.76961E-09	-1.92724E-07	5.13554E-09	1.72662E-07	4.07692E-09	-1.06448E-11	-2.85558E-13	9.5367E-12	2.27106E-13	-5.10199E-24	-1.35953E-25	4.57088E-24	1.07928E-25	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
23	41.9592	0.314762	872.619	0.520596	22.6217	0.942659	-2	1	19.21310297	0.800620839	6.6	0.014128893	4.8589E-05	0.011655452	3.76961E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
24	25.9236	0.8841	921.446	0.377889	-15.8313	0.541072	-1	-1	13.44586822	0.459544245	6.6	0.009571707	3.52696E-05	0.011655748	1.85366E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
