n	a	da	b	db	c	dc	order	m	s	ds	I	alpha	dalpha	mittelalpha	korrektur	gang	dgang	gang0	dgang0	lambda0	gang-	dgang-	gang+	dgang+	deltagang-	ddeltagang-	deltagang+	ddeltagang+	deltalambda-	ddeltalambda-	deltalambda+	ddeltalambda+	deltaE-	ddeltaE-	deltaE+	ddeltaE+	a	b	c	B	dB	B2
1	28.5016	0.849783	829.358	0.492301	15.2528	0.829285	-2	-1	12.95453556	0.704329829	6	0.018166587	4.59481E-05	9.41827E-05	0.018072404	0.011655103	4.55982E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
2	21.1055	1.16465	849.878	0.187483	5.69205	0.291144	-2	0	4.834382153	0.247274946	6	0.016251387	1.74984E-05	9.41827E-05	0.016157204	0.011655283	1.55247E-09	0.011655283	1.55247E-09	6.4376E-07	0.011655103	4.55982E-09	0.011655448	3.88549E-09	-1.79989E-07	4.81685E-09	1.65096E-07	4.18415E-09	-9.94141E-12	-2.67822E-13	9.11879E-12	2.3282E-13	-4.76485E-24	-1.27516E-25	4.37057E-24	1.10767E-25	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
3	38.5883	0.293881	871.119	0.534864	22.762	0.829223	-2	1	19.33226282	0.704277171	6	0.014268893	4.99206E-05	9.41827E-05	0.014174711	0.011655448	3.88549E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
4	21.6083	0.782926	921.91	0.35641	15.3067	0.541119	-1	-1	13.000314	0.459584163	6	0.0095284	3.32649E-05	9.41827E-05	0.009434217	0.011655756	1.72319E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
5	51.5363	0.462747	979.654	0.684621	37.9963	1.08583	-1	0	32.27108592	0.92221909	6	0.00413896	6.3898E-05	9.41827E-05	0.004044777	0.011655955	1.4191E-09	0.011655955	1.4191E-09	6.43798E-07	0.011655756	1.72319E-09	#	#	-1.99438E-07	2.23231E-09	#WERT!	#WERT!	-1.10156E-11	-1.27919E-13	#WERT!	#WERT!	-5.2794E-24	-5.90926E-26	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
6	51.7062	0.356072	1065.99	0.729291	40.4181	1.1648	1	0	34.32797346	0.989290033	6	-0.003919067	6.80672E-05	9.41827E-05	-0.004013249	0.011655956	1.49991E-09	0.011655956	1.49991E-09	6.43798E-07	#	#	0.011655751	1.58194E-09	#WERT!	#WERT!	-2.05034E-07	2.17997E-09	#WERT!	#WERT!	-1.13247E-11	-1.25399E-13	#WERT!	#WERT!	-5.42754E-24	-5.7707E-26	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
7	20.074	0.738264	1125.08	0.323965	14.224	0.506095	1	1	12.08075329	0.429837517	6	-0.009434133	3.02367E-05	9.41827E-05	-0.009528316	0.011655751	1.58194E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
8	34.5089	0.302	1174.27	0.616481	21.309	0.824004	2	-1	18.09819824	0.699844561	6	-0.0140252	5.75382E-05	9.41827E-05	-0.014119383	0.011655453	4.46091E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
9	27.9089	1.64872	1195.93	0.22516	7.24469	0.320278	2	0	6.153073153	0.272019088	6	-0.0160468	2.10149E-05	9.41827E-05	-0.016140983	0.011655285	1.86258E-09	0.011655285	1.86258E-09	6.43761E-07	0.011655453	4.46091E-09	0.011655102	3.50929E-09	1.67955E-07	4.83414E-09	-1.82319E-07	3.97295E-09	9.27673E-12	2.68543E-13	-1.00701E-11	-2.21639E-13	4.44627E-24	1.27974E-25	-4.82653E-24	-1.05176E-25	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
10	28.7849	0.674773	1216.72	0.378693	13.0935	0.565558	2	1	11.12059499	0.480340739	6	-0.0179872	3.53447E-05	9.41827E-05	-0.018081383	0.011655102	3.50929E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.19432	132.452	-41.5604	0.52022	0.080600469	0.53015608
11	31.387	0.903664	829.069	0.574861	16.6761	0.889069	-2	-1	14.16337527	0.755105684	6.3	0.01819356	5.36537E-05	0.000120465	0.018073095	0.011655103	5.32471E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
12	21.2711	1.1059	850.298	0.178191	5.69385	0.281251	-2	0	4.835910933	0.238872606	6.3	0.016212187	1.66312E-05	0.000120465	0.016091721	0.011655289	1.46954E-09	0.011655289	1.46954E-09	6.43761E-07	0.011655103	5.32471E-09	0.011655457	4.09321E-09	-1.85856E-07	5.52378E-09	1.67704E-07	4.34901E-09	-1.02654E-11	-3.06744E-13	9.26285E-12	2.41913E-13	-4.92015E-24	-1.46231E-25	4.43962E-24	1.15131E-25	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
13	41.3403	0.327233	871.999	0.567802	22.9145	0.911427	-2	1	19.46178439	0.77409482	6.3	0.01418676	5.29949E-05	0.000120465	0.014066295	0.011655457	4.09321E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
14	24.7343	0.851412	921.952	0.358973	15.7259	0.528533	-1	-1	13.3563497	0.448894599	6.3	0.00952448	3.35041E-05	0.000120465	0.009404015	0.011655757	1.73002E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
15	54.4236	0.611898	979.675	0.729286	37.3442	1.07823	-1	0	31.71724317	0.915764245	6.3	0.004137	6.80667E-05	0.000120465	0.004016535	0.011655956	1.50113E-09	0.011655956	1.50113E-09	6.43798E-07	0.011655757	1.73002E-09	#	#	-1.98501E-07	2.29049E-09	#WERT!	#WERT!	-1.09639E-11	-1.30978E-13	#WERT!	#WERT!	-5.2546E-24	-6.06327E-26	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
16	55.7872	0.389607	1064.36	0.779025	41.1737	1.22639	1	0	34.96972101	1.041599763	6.3	-0.003766933	0.000072709	0.000120465	-0.003887399	0.011655959	1.55196E-09	0.011655959	1.55196E-09	6.43798E-07	#	#	0.011655748	1.67081E-09	#WERT!	#WERT!	-2.10317E-07	2.28039E-09	#WERT!	#WERT!	-1.16165E-11	-1.30978E-13	#WERT!	#WERT!	-5.5674E-24	-6.03652E-26	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
17	22.6951	0.813742	1125.32	0.340425	15.0318	0.531215	1	1	12.76683544	0.45117248	6.3	-0.009456533	0.000031773	0.000120465	-0.009576999	0.011655748	1.67081E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
18	37.0904	0.308758	1172.36	0.518518	20.2261	0.809075	2	-1	17.17846766	0.687165036	6.3	-0.013846933	4.8395E-05	0.000120465	-0.013967399	0.011655464	3.71165E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
19	32.5284	1.88681	1195.29	0.219756	7.7328	0.312832	2	0	6.567635617	0.265695037	6.3	-0.015987067	2.05106E-05	0.000120465	-0.016107532	0.011655288	1.81411E-09	0.011655288	1.81411E-09	6.43761E-07	0.011655464	3.71165E-09	0.011655099	3.47048E-09	1.76713E-07	4.13126E-09	-1.88356E-07	3.91602E-09	9.76047E-12	2.30172E-13	-1.04035E-11	-2.18676E-13	4.67813E-24	1.09367E-25	-4.98635E-24	-1.03669E-25	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
20	32.4417	0.500637	1216.77	0.373865	13.6933	0.594604	2	1	11.63001821	0.50501014	6.3	-0.017991867	3.48941E-05	0.000120465	-0.018112332	0.011655099	3.47048E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.319026667	134.6741111	-52.65924444	0.5380475	0.083384788	0.544985487
21	32.9667	0.837135	828.568	0.523639	16.5754	0.887862	-2	-1	14.07784857	0.754080552	6.6	0.01824032	4.8873E-05	0.000119177	0.018121143	0.011655098	4.86316E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
22	22.9343	1.25389	850.404	0.187006	6.06	0.295564	-2	0	5.14689011	0.251028949	6.6	0.016202293	1.74539E-05	0.000119177	0.016083116	0.01165529	1.54141E-09	0.01165529	1.54141E-09	6.43761E-07	0.011655098	4.86316E-09	0.011655461	3.73781E-09	-1.91391E-07	5.10159E-09	1.71305E-07	4.04317E-09	-1.05711E-11	-2.83669E-13	9.46175E-12	2.25227E-13	-5.06668E-24	-1.35054E-25	4.53495E-24	1.07035E-25	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
23	41.9592	0.314762	872.619	0.520596	22.6217	0.942659	-2	1	19.21310297	0.800620839	6.6	0.014128893	4.8589E-05	0.000119177	0.014009716	0.011655461	3.73781E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
24	25.9236	0.8841	921.446	0.377889	-15.8313	0.541072	-1	-1	13.44586822	0.459544245	6.6	0.009571707	3.52696E-05	0.000119177	0.009452529	0.011655755	1.83058E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
25	55.8408	0.583553	980.444	0.747632	37.7145	1.09946	-1	0	32.03174704	0.933795347	6.6	0.004065227	6.9779E-05	0.000119177	0.003946049	0.011655957	1.51189E-09	0.011655957	1.51189E-09	6.43798E-07	0.011655755	1.83058E-09	#	#	-2.02553E-07	2.3742E-09	#WERT!	#WERT!	-1.11877E-11	-1.35624E-13	#WERT!	#WERT!	-5.36187E-24	-6.28485E-26	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
26	56.2759	0.439048	1064.42	0.787264	40.1311	1.19936	1	0	34.0842181	1.018642594	6.6	-0.003772533	7.3478E-05	0.000119177	-0.003891711	0.011655958	1.57011E-09	0.011655958	1.57011E-09	6.43798E-07	#	#	0.011655745	1.79043E-09	#WERT!	#WERT!	-2.12962E-07	2.38136E-09	#WERT!	#WERT!	-1.17626E-11	-1.3647E-13	#WERT!	#WERT!	-5.63742E-24	-6.30381E-26	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
27	24.7069	0.822702	1125.89	0.36283	15.4941	0.553362	1	1	13.15947691	0.46998241	6.6	-0.009509733	3.38641E-05	0.000119177	-0.009628911	0.011655745	1.79043E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
28	37.4038	0.308416	1171.1	0.456895	19.3187	0.826559	2	-1	16.40779306	0.702014578	6.6	-0.013729333	4.26435E-05	0.000119177	-0.013848511	0.011655473	3.2427E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
29	36.0039	1.99397	1195.1	0.222528	8.06409	0.312398	2	0	6.849007436	0.265326432	6.6	-0.015969333	2.07693E-05	0.000119177	-0.016088511	0.011655289	1.83482E-09	0.011655289	1.83482E-09	6.43761E-07	0.011655473	3.2427E-09	0.011655095	3.37691E-09	1.84111E-07	3.72581E-09	-1.94277E-07	3.84319E-09	1.01691E-11	2.08179E-13	-1.07306E-11	-2.14851E-13	4.87397E-24	9.86332E-26	-5.1431E-24	-1.01741E-25	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
30	33.6566	0.401879	1217.24	0.362931	13.6901	0.619314	2	1	11.62730038	0.525996881	6.6	-0.018035733	3.38736E-05	0.000119177	-0.018154911	0.011655095	3.37691E-09	#	#	#WERT!	#	#	#	#	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	#WERT!	-6.443733333	136.8962222	-63.75808889	0.55466	0.086261566	0.559067954
