beta	I
-1.454	6.4
-1.457	6.4
-1.46	6.4
-1.462	6.4
-1.465	6.4
-1.468	6.4
-1.47	6.4
-1.473	6.5
-1.476	6.5
-1.478	6.5
-1.481	6.6
-1.484	6.6
-1.486	6.7
-1.489	6.9
-1.492	7
-1.494	7
-1.497	7.1
-1.5	7.2
-1.502	7.4
-1.505	7.6
-1.508	7.7
-1.51	7.9
-1.513	8.1
-1.516	8.4
-1.518	8.7
-1.521	8.8
-1.524	9
-1.526	9.1
-1.529	9.2
-1.532	9.3
-1.534	9.3
-1.537	9.3
-1.54	9.3
-1.542	9.2
-1.545	9.1
-1.548	9.1
-1.55	8.9
-1.553	8.7
-1.556	8.4
-1.558	8.1
-1.561	7.9
-1.564	7.8
-1.566	7.5
-1.569	7.2
-1.572	7.1
-1.574	7
-1.577	6.8
-1.58	6.6
-1.582	6.6
-1.585	6.5
-1.588	6.4
-1.591	6.4
-1.593	6.4
-1.596	6.4
-1.599	6.4
