&a / °	I1 / %
2.736	16.1
2.733	16.1
2.731	16.0
2.728	16.0
2.725	16.0
2.723	16.0
2.720	16.0
2.717	16.0
2.715	16.0
2.712	16.0
2.709	16.0
2.707	15.9
2.704	15.9
2.701	15.9
2.699	15.9
2.696	15.9
2.693	15.9
2.691	15.9
2.688	15.9
2.685	15.8
2.683	15.8
2.680	15.8
2.677	15.8
2.675	15.8
2.672	15.7
2.669	15.7
2.667	15.7
2.664	15.7
2.661	15.7
2.659	15.7
2.656	15.7
2.653	15.7
2.651	15.7
2.648	15.7
2.645	15.7
2.643	15.7
2.640	15.7
2.637	15.7
2.635	15.7
2.632	15.6
2.629	15.6
2.627	15.6
2.624	15.6
2.621	15.6
2.619	15.6
2.616	15.6
2.613	15.6
2.610	15.6
2.608	15.6
2.605	15.6
2.602	15.6
2.600	15.6
2.597	15.6
2.594	15.6
2.592	15.5
2.589	15.5
2.586	15.5
2.584	15.5
2.581	15.5
2.578	15.5
2.576	15.5
2.573	15.5
2.570	15.5
2.568	15.5
2.565	15.5
2.562	15.5
2.560	15.5
2.557	15.5
2.554	15.5
2.552	15.5
2.549	15.5
2.546	15.4
2.544	15.4
2.541	15.5
2.538	15.5
2.536	15.5
2.533	15.5
2.530	15.4
2.528	15.4
2.525	15.4
2.522	15.4
2.520	15.4
2.517	15.4
2.514	15.4
2.512	15.4
2.509	15.4
2.506	15.4
2.504	15.4
2.501	15.4
2.498	15.4
2.496	15.4
2.493	15.4
2.490	15.4
2.488	15.4
2.485	15.4
2.482	15.4
2.480	15.3
2.477	15.3
2.474	15.3
2.472	15.3
2.469	15.3
2.466	15.3
2.464	15.3
2.461	15.3
2.458	15.3
2.456	15.3
2.453	15.3
2.450	15.3
2.448	15.3
2.445	15.3
2.442	15.3
2.440	15.2
2.437	15.2
2.434	15.2
2.432	15.2
2.429	15.2
2.426	15.2
2.424	15.2
2.421	15.2
2.418	15.2
2.416	15.2
2.413	15.2
2.410	15.2
2.408	15.2
2.405	15.2
2.402	15.2
2.400	15.2
2.397	15.2
2.394	15.1
2.392	15.1
2.389	15.1
2.386	15.1
2.384	15.1
2.381	15.1
2.378	15.1
2.376	15.1
2.373	15.1
2.370	15.1
2.368	15.1
2.365	15.1
2.362	15.0
2.360	15.0
2.357	15.0
2.354	15.0
2.352	15.0
2.349	15.0
2.346	15.0
2.344	15.0
2.341	15.0
2.338	15.0
2.336	15.0
