n	lambda	dlambda	wg	dwg	alpha	dalpha	beta	dbeta	sin(alpha)	dsin(alpha)	sin(beta)	dsin(beta)	x	dx	y	dy
1	404.656	0	45.5	0.5	0.79412481	0.008726646	0.270526034	0.012341341	0.713250449	0.006116587	0.267238376	0.011892492	0.980488825	0.013373258	404.656	0
2	407.783	0	46	0.5	0.802851456	0.008726646	0.27925268	0.012341341	0.7193398	0.006062038	0.275637356	0.011863259	0.994977156	0.013322358	407.783	0
3	433.922	0	48.2	0.5	0.841248699	0.008726646	0.317649924	0.012341341	0.745476	0.005816593	0.312334919	0.011723929	1.057810918	0.013087524	433.922	0
4	434.749	0	48.3	0.5	0.842994029	0.008726646	0.319395253	0.012341341	0.746638182	0.00580523	0.313992456	0.011717184	1.060630638	0.013076433	434.749	0
5	435.833	0	48.5	0.5	0.846484687	0.008726646	0.322885912	0.012341341	0.748955721	0.005782451	0.317304656	0.011703586	1.066260377	0.013054144	435.833	0
6	546.074	0	53.3	0.5	0.930260491	0.008726646	0.406661716	0.012341341	0.801775644	0.005215263	0.395545503	0.01133486	1.197321147	0.0124771	546.074	0
7	578.013	0	58.4	0.5	1.019272283	0.008726646	0.495673508	0.012341341	0.851726934	0.00457264	0.475624209	0.010856043	1.327351143	0.011779759	578.013	0
8	671.643	0	61.5	0.5	1.07337749	0.008726646	0.549778714	0.012341341	0.878817113	0.004163996	0.522498565	0.010522723	1.401315677	0.01131665	671.643	0
8	690.752	0	61.8	0.5	1.078613478	0.008726646	0.555014702	0.012341341	0.881303452	0.004123783	0.526955795	0.010488816	1.408259248	0.011270353	690.752	0
9	410.805	0	46.2	0.5	0.806342114	0.008726646	0.282743339	0.012341341	0.721760228	0.006040089	0.278991106	0.011851312	1.000751334	0.01330174	410.805	0
																
																
																
																
																
																
																
																
																
																
