&a / °	I1 / %
2,736	13,6
2,733	12,8
2,731	17,0
2,728	14,5
2,725	17,6
2,723	14,8
2,720	18,2
2,717	15,1
2,715	18,3
2,712	15,2
2,709	17,9
2,707	14,9
2,704	18,2
2,701	15,1
2,699	18,2
2,696	15,1
2,693	18,0
2,691	15,0
2,688	17,2
2,685	14,5
2,683	17,5
2,680	14,6
2,677	17,9
2,675	14,8
2,672	18,1
2,669	14,9
2,667	17,8
2,664	14,7
2,661	17,5
2,659	14,6
2,656	17,4
2,653	14,6
2,651	17,7
2,648	14,7
2,645	17,8
2,643	14,7
2,640	17,5
2,637	14,7
2,635	17,8
2,632	14,7
2,629	17,7
2,627	14,7
2,624	16,1
2,621	13,8
2,619	16,8
2,616	14,2
2,613	17,5
2,610	14,6
2,608	17,0
2,605	14,2
2,602	17,7
2,600	14,7
2,597	17,8
2,594	14,7
2,592	17,9
2,589	14,8
2,586	18,0
2,584	14,8
2,581	17,7
2,578	14,7
2,576	17,9
2,573	14,7
2,570	17,8
2,568	14,7
2,565	17,4
2,562	14,4
2,560	17,7
2,557	14,7
2,554	17,7
2,552	14,6
2,549	17,8
2,546	14,7
2,544	17,8
2,541	14,7
2,538	17,4
2,536	14,5
2,533	17,7
2,530	14,6
2,528	17,0
2,525	14,2
2,522	17,6
2,520	14,6
2,517	17,5
2,514	14,4
2,512	17,3
2,509	14,3
2,506	17,7
2,504	14,6
2,501	17,8
2,498	14,6
2,496	17,7
2,493	14,6
2,490	17,3
2,488	14,3
2,485	17,4
2,482	14,4
2,480	17,1
2,477	14,2
2,474	17,5
2,472	14,4
2,469	17,2
2,466	14,3
2,464	17,6
2,461	14,5
2,458	17,6
2,456	14,5
2,453	17,4
2,450	14,3
2,448	17,1
2,445	14,2
2,442	17,5
2,440	14,4
2,437	17,4
2,434	14,3
2,432	17,5
2,429	14,4
2,426	17,4
2,424	14,3
2,421	17,6
2,418	14,4
2,416	17,6
2,413	14,4
2,410	17,6
2,408	14,4
2,405	17,4
2,402	14,3
2,400	16,8
2,397	14,0
2,394	16,7
2,392	13,9
2,389	17,1
2,386	14,2
2,384	17,2
2,381	14,2
2,378	17,2
2,376	14,2
2,373	17,5
2,370	14,3
2,368	17,1
2,365	14,1
2,362	17,0
2,360	14,1
2,357	17,1
2,354	14,2
2,352	17,2
2,349	14,1
2,346	16,9
2,344	13,9
2,341	17,0
2,338	14,0
2,336	17,1
2,333	14,1
2,330	17,1
2,328	14,1
2,325	17,1
2,322	14,1
2,320	17,1
2,317	14,1
2,314	17,1
2,312	14,1
2,309	17,3
2,306	14,2
2,304	17,1
2,301	14,0
2,298	17,0
2,296	14,0
2,293	16,8
2,290	13,8
2,288	16,6
2,285	13,8
2,282	16,2
2,280	13,6
2,277	17,0
2,274	14,0
2,272	16,8
2,269	13,9
2,266	16,7
2,264	13,8
2,261	16,6
2,258	13,8
2,256	16,4
2,253	13,6
2,250	16,1
2,248	13,4
2,245	16,2
2,242	13,5
2,240	16,5
2,237	13,6
2,234	16,8
2,231	13,8
2,229	16,8
2,226	13,8
2,223	16,8
2,221	13,8
2,218	16,8
2,215	13,8
2,213	16,8
2,210	13,8
2,207	17,0
2,205	13,8
2,202	16,4
2,199	13,5
2,197	16,7
2,194	13,7
2,191	16,9
2,189	13,8
2,186	15,6
2,183	13,2
2,181	15,5
2,178	13,2
2,175	16,2
2,173	13,4
2,170	16,5
2,167	13,5
2,165	16,3
2,162	13,5
2,159	16,4
2,157	13,5
2,154	16,8
2,151	13,8
2,149	16,5
2,146	13,6
2,143	17,0
2,141	13,9
2,138	17,0
2,135	13,8
2,133	16,8
2,130	13,7
2,127	16,7
2,125	13,8
2,122	16,5
2,119	13,6
2,117	16,8
2,114	13,7
2,111	16,5
2,109	13,5
2,106	16,6
2,103	13,6
2,101	16,8
2,098	13,7
2,095	16,9
2,093	13,7
2,090	16,9
2,087	13,8
2,085	16,7
2,082	13,7
2,079	16,6
2,077	13,6
2,074	16,7
2,071	13,6
2,069	16,4
2,066	13,5
2,063	16,6
2,061	13,6
2,058	16,6
2,055	13,6
2,053	15,9
2,050	13,2
2,047	16,4
2,045	13,5
2,042	16,5
2,039	13,4
2,037	16,5
2,034	13,5
2,031	16,5
2,029	13,5
2,026	16,7
2,023	13,6
2,021	16,8
2,018	13,7
2,015	16,3
2,013	13,4
2,010	16,5
2,007	13,5
2,005	16,2
2,002	13,4
1,999	16,7
1,997	13,6
1,994	16,6
1,991	13,5
1,989	16,7
1,986	13,6
1,983	16,8
1,980	13,6
1,978	16,5
1,975	13,4
1,972	16,5
1,970	13,4
1,967	16,7
1,964	13,5
1,962	16,3
1,959	13,3
1,956	16,2
1,954	13,4
1,951	16,4
1,948	13,4
1,946	16,6
1,943	13,5
1,940	16,5
1,938	13,4
1,935	16,4
1,932	13,4
1,930	16,4
1,927	13,4
1,924	16,4
1,922	13,4
1,919	16,4
1,916	13,4
1,914	16,6
1,911	13,5
1,908	16,2
1,906	13,3
1,903	16,5
1,900	13,4
1,898	15,5
1,895	12,9
1,892	15,6
1,890	13,0
1,887	15,2
1,884	12,7
1,882	15,8
1,879	13,0
1,876	16,4
1,874	13,3
1,871	16,5
1,868	13,3
1,866	15,8
1,863	13,0
1,860	16,1
1,858	13,2
1,855	15,8
1,852	13,0
1,850	15,7
1,847	12,9
1,844	16,0
1,842	13,1
1,839	16,4
1,836	13,3
1,834	16,2
1,831	13,2
1,828	15,7
1,826	12,9
1,823	16,3
1,820	13,3
1,818	16,5
1,815	13,3
1,812	16,5
1,810	13,3
1,807	15,6
1,804	12,8
1,802	16,0
1,799	13,2
1,796	16,2
1,794	13,2
1,791	16,2
1,788	13,2
1,786	15,0
1,783	12,6
1,780	15,2
1,778	12,7
1,775	15,5
1,772	12,8
1,769	15,5
1,767	12,9
1,764	16,3
1,761	13,3
1,759	15,8
1,756	13,0
1,753	15,8
1,751	13,0
1,748	15,9
1,745	13,0
1,743	16,3
1,740	13,3
1,737	16,5
1,735	13,3
1,732	15,8
1,729	13,0
1,727	16,0
1,724	13,1
1,721	15,7
1,719	12,9
1,716	16,1
1,713	13,2
1,711	16,4
1,708	13,3
1,705	16,5
1,703	13,3
1,700	16,5
1,697	13,4
1,695	16,6
1,692	13,4
1,689	16,3
1,687	13,2
1,684	15,8
1,681	13,0
1,679	16,2
1,676	13,2
1,673	15,9
1,671	13,0
1,668	15,9
1,665	13,0
1,663	15,9
1,660	13,0
1,657	16,1
1,655	13,1
1,652	16,4
1,649	13,3
1,647	16,3
1,644	13,2
1,641	16,0
1,639	13,1
1,636	16,3
1,633	13,2
1,631	16,0
1,628	13,0
1,625	15,7
1,623	12,9
1,620	16,2
1,617	13,2
1,615	15,8
1,612	12,9
1,609	15,6
1,607	12,9
1,604	15,9
1,601	13,0
1,599	15,1
1,596	12,6
1,593	15,2
1,591	12,7
1,588	15,5
1,585	12,8
1,582	15,8
1,580	13,0
1,577	15,8
1,574	13,0
1,572	15,4
1,569	12,8
1,566	16,0
1,564	13,1
1,561	15,7
1,558	12,9
1,556	15,8
1,553	13,0
1,550	15,7
1,548	12,9
1,545	15,9
1,542	13,0
1,540	15,7
1,537	13,0
1,534	15,8
1,532	13,0
1,529	15,4
1,526	12,8
1,524	15,8
1,521	13,0
1,518	15,6
1,516	12,9
1,513	15,9
1,510	13,0
1,508	16,2
1,505	13,2
1,502	16,0
1,500	13,1
1,497	16,2
1,494	13,3
1,492	16,2
1,489	13,2
1,486	16,5
1,484	13,3
1,481	15,1
1,478	12,7
1,476	16,0
1,473	13,1
1,470	15,9
1,468	13,1
1,465	15,9
1,462	13,0
1,460	15,7
1,457	13,0
1,454	15,9
1,452	13,1
1,449	16,0
1,446	13,1
1,444	15,3
1,441	12,8
1,438	15,6
1,436	12,9
1,433	15,0
1,430	12,6
1,428	15,8
1,425	13,0
1,422	15,1
1,419	12,7
1,417	14,9
1,414	12,6
1,411	15,0
1,409	12,6
1,406	15,0
1,403	12,6
1,401	16,0
1,398	13,1
1,395	15,7
1,393	12,9
1,390	15,4
1,387	12,7
1,385	15,5
1,382	12,9
1,379	16,0
1,377	13,0
1,374	16,3
1,371	13,2
1,369	11,2
1,366	10,7
1,363	14,7
1,361	12,4
1,358	15,6
1,355	12,9
1,353	16,2
1,350	13,2
1,347	16,3
1,345	13,1
1,342	15,6
1,339	12,8
1,337	15,9
1,334	13,0
1,331	15,8
1,329	13,0
1,326	16,0
1,323	13,0
1,321	16,3
1,318	13,2
1,315	16,1
1,313	13,1
1,310	16,0
1,307	13,0
1,305	15,7
1,302	12,9
1,299	16,2
1,297	13,2
1,294	16,0
1,291	13,0
1,289	16,0
1,286	13,0
1,283	15,3
1,281	12,7
1,278	15,2
1,275	12,7
1,273	15,8
1,270	13,0
1,267	15,2
1,265	12,6
1,262	15,1
1,259	12,6
1,256	15,5
1,254	12,8
1,251	15,6
1,248	12,9
1,246	15,4
1,243	12,8
1,240	16,0
1,238	13,0
1,235	16,1
1,232	13,1
1,230	15,5
1,227	12,6
1,224	15,5
1,222	12,8
1,219	15,3
1,216	12,6
1,214	15,7
1,211	12,7
1,208	15,7
1,206	12,9
1,203	16,1
1,200	13,0
1,198	16,1
1,195	13,0
1,192	16,1
1,190	13,0
1,187	15,8
1,184	12,9
1,182	16,1
1,179	13,0
1,176	15,1
1,174	12,5
1,171	15,8
1,168	12,8
1,166	16,0
1,163	12,9
1,160	16,0
1,158	12,9
1,155	16,0
1,152	12,9
1,150	15,5
1,147	12,6
1,144	15,4
1,142	12,6
1,139	15,6
1,136	12,6
1,134	15,6
1,131	12,6
1,128	15,7
1,126	12,8
1,123	15,7
1,120	12,7
1,118	15,9
1,115	12,8
1,112	15,6
1,109	12,7
1,107	15,0
1,104	12,4
1,101	15,5
1,099	12,7
1,096	15,6
1,093	12,7
1,091	15,7
1,088	12,8
1,085	15,7
1,083	12,7
1,080	15,0
1,077	12,4
1,075	15,4
1,072	12,6
1,069	15,9
1,067	12,7
1,064	15,8
1,061	12,7
1,059	15,6
1,056	12,6
1,053	15,8
1,051	12,8
1,048	15,9
1,045	12,8
1,043	15,7
1,040	12,6
1,037	14,6
1,035	12,2
1,032	15,2
1,029	12,4
1,027	15,4
1,024	12,5
1,021	15,3
1,019	12,4
1,016	15,0
1,013	12,3
1,011	15,4
1,008	12,5
1,005	15,4
1,003	12,5
1,000	15,2
0,997	12,3
0,995	15,4
0,992	12,4
0,989	15,2
0,987	12,3
0,984	15,4
0,981	12,3
0,979	15,2
0,976	12,3
0,973	15,1
0,970	12,3
0,968	15,3
0,965	12,3
0,962	15,6
0,960	12,5
0,957	15,7
0,954	12,5
0,952	15,1
0,949	12,2
0,946	15,1
0,944	12,2
0,941	15,3
0,938	12,3
0,936	15,1
0,933	12,2
0,930	15,1
0,928	12,2
0,925	14,1
0,922	11,7
0,920	14,6
0,917	12,0
0,914	14,9
0,912	12,1
0,909	14,7
0,906	12,0
0,904	14,6
0,901	12,0
0,898	14,9
0,896	12,1
0,893	14,8
0,890	12,0
0,888	14,2
0,885	11,7
0,882	15,0
0,880	12,1
0,877	15,1
0,874	12,2
0,872	15,2
0,869	12,2
0,866	14,8
0,864	12,1
0,861	14,9
0,858	12,1
0,856	14,7
0,853	12,0
0,850	15,1
0,848	12,2
0,845	15,0
0,842	12,1
0,840	14,9
0,837	12,0
0,834	14,9
0,831	12,1
0,829	15,0
0,826	12,0
0,823	14,8
0,821	12,0
0,818	15,1
0,815	12,1
0,813	14,6
0,810	11,8
0,807	14,7
0,805	11,9
0,802	14,3
0,799	11,7
0,797	14,7
0,794	11,9
0,791	14,3
0,789	11,6
0,786	14,9
0,783	11,9
0,781	14,7
0,778	11,8
0,775	14,5
0,773	11,7
0,770	14,4
0,767	11,7
0,765	14,8
0,762	11,8
0,759	14,6
0,757	11,8
0,754	13,0
0,751	11,0
0,749	13,3
0,746	11,2
0,743	13,9
0,741	11,4
0,738	14,0
0,735	11,4
0,733	13,8
0,730	11,3
0,727	13,7
0,725	11,3
0,722	13,9
0,719	11,4
0,717	13,5
0,714	11,2
0,711	13,9
0,709	11,4
0,706	14,0
0,703	11,4
0,701	13,3
0,698	11,0
0,695	12,4
0,692	10,6
0,690	14,1
0,687	11,4
0,684	14,6
0,682	11,8
0,679	14,8
0,676	11,8
0,674	13,7
0,671	11,3
0,668	14,1
0,666	11,4
