&a / °	I1 / %
2.736	14.7
2.733	14.5
2.731	14.9
2.728	14.6
2.725	15.0
2.723	14.7
2.720	15.1
2.717	14.6
2.715	14.6
2.712	14.4
2.709	14.9
2.707	14.6
2.704	14.5
2.701	14.4
2.699	14.7
2.696	14.4
2.693	14.7
2.691	14.4
2.688	14.7
2.685	14.3
2.683	14.6
2.680	14.3
2.677	14.3
2.675	14.2
2.672	14.4
2.669	14.2
2.667	14.1
2.664	14.1
2.661	15.1
2.659	14.5
2.656	15.4
2.653	14.7
2.651	15.5
2.648	14.7
2.645	15.5
2.643	14.7
2.640	14.7
2.637	14.3
2.635	14.7
2.632	14.3
2.629	14.7
2.627	14.4
2.624	14.3
2.621	14.1
2.619	14.2
2.616	14.1
2.613	14.3
2.610	14.1
2.608	14.1
2.605	14.0
2.602	14.3
2.600	14.1
2.597	14.3
2.594	14.1
2.592	14.4
2.589	14.2
2.586	14.3
2.584	14.1
2.581	14.4
2.578	14.2
2.576	14.6
2.573	14.3
2.570	14.6
2.568	14.3
2.565	14.3
2.562	14.1
2.560	14.0
2.557	13.9
2.554	14.0
2.552	13.9
2.549	14.2
2.546	14.0
2.544	15.2
2.541	14.4
2.538	15.4
2.536	14.6
2.533	15.3
2.530	14.6
2.528	14.6
2.525	14.1
2.522	14.4
2.520	14.1
2.517	14.7
2.514	14.2
2.512	14.6
2.509	14.1
2.506	14.1
2.504	13.9
2.501	14.0
2.498	13.9
2.496	14.3
2.493	14.0
2.490	14.1
2.488	13.9
2.485	14.1
2.482	13.9
2.480	14.1
2.477	13.9
2.474	14.2
2.472	13.9
2.469	14.2
2.466	13.9
2.464	14.2
2.461	14.0
2.458	14.3
2.456	14.0
2.453	13.9
2.450	13.8
2.448	13.9
2.445	13.8
2.442	13.9
2.440	13.8
2.437	13.9
2.434	13.7
2.432	13.8
2.429	13.7
2.426	13.8
2.424	13.7
2.421	13.8
2.418	13.7
2.416	13.8
2.413	13.7
2.410	14.2
2.408	13.9
2.405	14.3
2.402	13.9
2.400	14.4
2.397	14.0
2.394	14.1
2.392	13.8
2.389	14.3
2.386	13.9
2.384	14.1
2.381	13.8
2.378	14.1
2.376	13.8
2.373	13.9
2.370	13.7
2.368	13.8
2.365	13.7
2.362	13.8
2.360	13.6
2.357	13.9
2.354	13.6
2.352	14.0
2.349	13.7
2.346	13.9
2.344	13.6
2.341	14.0
2.338	13.6
2.336	13.8
2.333	13.6
2.330	13.6
2.328	13.5
2.325	13.5
2.322	13.5
2.320	13.7
2.317	13.5
2.314	13.6
2.312	13.5
2.309	13.5
2.306	13.4
2.304	13.5
2.301	13.3
2.298	13.7
2.296	13.5
2.293	14.0
2.290	13.6
2.288	14.0
2.285	13.6
2.282	13.8
2.280	13.5
2.277	13.8
2.274	13.6
2.272	13.8
2.269	13.5
2.266	13.8
2.264	13.5
2.261	13.8
2.258	13.5
2.256	13.9
2.253	13.5
2.250	14.1
2.248	13.6
2.245	13.8
2.242	13.4
2.240	13.4
2.237	13.3
2.234	13.3
2.231	13.1
2.229	13.2
2.226	13.1
2.223	13.3
2.221	13.1
2.218	13.5
2.215	13.3
2.213	13.4
2.210	13.1
2.207	13.6
2.205	13.3
2.202	13.1
2.199	13.0
2.197	13.0
2.194	13.0
2.191	12.9
2.189	13.0
2.186	13.5
2.183	13.2
2.181	13.7
2.178	13.3
2.175	13.7
2.173	13.3
2.170	13.9
2.167	13.4
2.165	13.6
2.162	13.2
2.159	13.7
2.157	13.3
2.154	13.7
2.151	13.3
2.149	13.5
2.146	13.2
2.143	13.5
2.141	13.3
2.138	13.5
2.135	13.2
2.133	13.5
2.130	13.2
2.127	13.2
2.125	13.1
2.122	13.1
2.119	13.0
2.117	13.2
2.114	13.1
2.111	13.3
2.109	13.0
