beta	I
-0.241	11.1
-0.243	10.2
-0.246	11.2
-0.249	10.3
-0.251	11.3
-0.254	10.3
-0.257	11.5
-0.259	10.6
-0.262	11.5
-0.265	10.6
-0.267	11.5
-0.27	11
-0.273	12.2
-0.275	12
-0.278	13.6
-0.281	13.7
-0.283	16.1
-0.286	17.9
-0.289	22.9
-0.291	29.8
-0.294	40.1
-0.297	53.2
-0.299	62.5
-0.302	71.6
-0.305	69.7
-0.307	68.5
-0.31	63.2
-0.313	60.8
-0.316	62
-0.318	71.1
-0.321	74.8
-0.324	85.2
-0.326	82.9
-0.329	89.9
-0.332	86.3
-0.334	92.1
-0.337	87.1
-0.34	92.4
-0.342	88.9
-0.345	91.3
-0.348	84.4
-0.35	77.8
-0.353	69.5
-0.356	50.6
-0.358	38.8
-0.361	29.3
-0.364	24.2
-0.366	20.7
-0.369	19.3
-0.372	18
-0.374	17.5
-0.377	16.9
-0.38	17
-0.382	16.3
-0.385	16.7
-0.388	15.1
-0.39	15.3
-0.393	13.8
-0.396	13.7
-0.398	12.5
-0.401	12.5
-0.404	11.7
-0.406	12.4
-0.409	11.6
-0.412	12.1
-0.414	11.3
-0.417	11.9
-0.42	11.2
-0.422	11.7
-0.425	10.8
-0.428	11.2
