&a / °	I1 / %
2.736	12.5
2.733	12.2
2.731	13.6
2.728	12.7
2.725	13.6
2.723	12.8
2.720	13.9
2.717	12.8
2.715	13.8
2.712	12.9
2.709	14.1
2.707	12.9
2.704	14.1
2.701	13.0
2.699	13.5
2.696	12.6
2.693	13.9
2.691	12.9
2.688	13.8
2.685	12.8
2.683	13.6
2.680	12.7
2.677	13.7
2.675	12.7
2.672	13.9
2.669	12.8
2.667	13.8
2.664	12.8
2.661	13.1
2.659	12.4
2.656	13.2
2.653	12.5
2.651	13.5
2.648	12.6
2.645	13.6
2.643	12.6
2.640	13.4
2.637	12.5
2.635	13.6
2.632	12.6
2.629	13.4
2.627	12.5
2.624	12.7
2.621	12.1
2.619	13.2
2.616	12.4
2.613	13.3
2.610	12.4
2.608	13.5
2.605	12.5
2.602	13.5
2.600	12.5
2.597	13.5
2.594	12.5
2.592	13.5
2.589	12.5
2.586	13.4
2.584	12.4
2.581	13.4
2.578	12.5
2.576	13.5
2.573	12.4
2.570	13.4
2.568	12.4
2.565	13.2
2.562	12.3
2.560	13.3
2.557	12.4
2.554	13.2
2.552	12.3
2.549	13.1
2.546	12.2
2.544	13.3
2.541	12.4
2.538	13.4
2.536	12.4
2.533	13.3
2.530	12.3
2.528	12.9
2.525	12.1
2.522	13.2
2.520	12.3
2.517	13.3
2.514	12.3
2.512	13.2
2.509	12.2
2.506	13.3
2.504	12.3
2.501	13.2
2.498	12.2
2.496	13.1
2.493	12.2
2.490	12.8
2.488	12.0
2.485	13.2
2.482	12.2
2.480	13.2
2.477	12.2
2.474	13.2
2.472	12.2
2.469	13.0
2.466	12.1
2.464	13.2
2.461	12.2
2.458	13.2
2.456	12.2
2.453	12.8
2.450	11.9
2.448	13.0
2.445	12.1
2.442	13.1
2.440	12.1
2.437	13.1
2.434	12.1
2.432	13.1
2.429	12.1
2.426	13.1
2.424	12.1
2.421	13.2
2.418	12.2
2.416	13.0
2.413	12.0
2.410	12.9
2.408	12.0
2.405	12.8
2.402	11.9
2.400	13.0
2.397	12.0
2.394	12.7
2.392	11.8
2.389	13.0
2.386	12.0
2.384	12.9
2.381	12.0
2.378	13.1
2.376	12.1
2.373	13.0
2.370	12.0
2.368	13.0
2.365	12.0
2.362	13.0
2.360	12.0
2.357	12.7
2.354	11.8
2.352	12.9
2.349	12.0
2.346	13.2
2.344	12.1
2.341	13.2
2.338	12.1
2.336	12.9
2.333	12.0
2.330	13.0
2.328	12.0
2.325	13.0
2.322	12.0
2.320	12.6
2.317	11.8
2.314	12.7
2.312	11.8
2.309	12.8
2.306	11.8
2.304	12.9
2.301	11.8
2.298	12.3
2.296	11.6
2.293	12.5
2.290	11.6
2.288	12.5
2.285	11.7
2.282	12.0
2.280	11.4
2.277	12.3
2.274	11.5
2.272	12.6
2.269	11.7
2.266	12.6
2.264	11.6
2.261	12.4
2.258	11.6
2.256	12.2
2.253	11.5
2.250	12.4
2.248	11.6
2.245	12.2
2.242	11.4
2.240	12.3
2.237	11.5
2.234	12.6
2.231	11.6
2.229	12.4
2.226	11.5
2.223	12.2
2.221	11.4
2.218	12.5
2.215	11.6
2.213	12.4
2.210	11.5
2.207	12.4
2.205	11.5
2.202	12.4
2.199	11.5
2.197	12.5
2.194	11.6
2.191	12.6
2.189	11.6
2.186	11.9
2.183	11.2
2.181	12.1
2.178	11.4
2.175	12.3
2.173	11.4
2.170	12.3
2.167	11.4
2.165	12.3
