n	lambda	dlambda	wg	dwg	beta	dbeta	sin(beta)	dsin(beta)	x	dx	y	dy
1	404.656	0	45.5	0.5	0.270526034	0.012341341	0.267238376	0.481815227	0.980488825	0.48185405	404.656	0
2	407.783	0	46	0.5	0.27925268	0.012341341	0.275637356	0.480630848	0.994977156	0.480669076	407.783	0
3	433.922	0	48.2	0.5	0.317649924	0.012341341	0.312334919	0.474986026	1.057810918	0.475021639	433.922	0
4	434.749	0	48.3	0.5	0.319395253	0.012341341	0.313992456	0.474712739	1.060630638	0.474748233	434.749	0
5	435.833	0	48.5	0.5	0.322885912	0.012341341	0.317304656	0.474161828	1.066260377	0.474197085	435.833	0
6	546.074	0	53.3	0.5	0.406661716	0.012341341	0.395545503	0.459223191	1.197321147	0.459252804	546.074	0
7	578.013	0	58.4	0.5	0.495673508	0.012341341	0.475624209	0.439824286	1.327351143	0.439848056	578.013	0
8	671.643	0	61.5	0.5	0.549778714	0.012341341	0.522498565	0.426320082	1.401315677	0.426340417	671.643	0
8	690.752	0	61.8	0.5	0.555014702	0.012341341	0.526955795	0.424946346	1.408259248	0.424966355	690.752	0
9	410.805	0	46.2	0.5	0.282743339	0.012341341	0.278991106	0.480146843	1.000751334	0.480184832	410.805	0
												
												
												
												
												
												
												
												
												
												
