"lambda" "a/sqrt(nA)*V" "delta a" "b/Sqrt(nA)" "delta b" "U_grenz/V" "delta U_grenz"
365 2.08075 0.03006 3.46855 0.01125 1.6669710441 0.024681722
365 2.22281 0.02805 3.5238 0.03018 1.5852906906 0.0241774207
365 1.32063 0.01445 2.07709 0.01195 1.5728023746 0.0194431471
405 1.71485 0.01477 2.38813 0.01047 1.3926174301 0.0134591127
405 1.86473 0.01052 2.39785 0.008688 1.2858966177 0.0086217612
436 2.15349 0.07916 2.7172 0.07355 1.2617657848 0.05759947
436 2.62226 0.008856 2.80022 0.004129 1.067865124 0.0039351919
546 3.06124 0.06134 1.78869 0.006828 0.5843024395 0.0119186041
546 2.46816 0.1244 1.3443 0.02644 0.5446567483 0.0294678562
578 2.08456 0.06932 0.99168 0.008123 0.4757262924 0.0162926691
578 1.80998 0.06491 0.951876 0.01389 0.5259041536 0.0203616351
