U_0=(-0.02 +- 0.005)V
U_geg/V    DU_geg/V  U/V      DU/V
0.108      0.001     13.5     0.5
0.216      0.001     13       0.5
0.297      0.001     12       0.5
0.401      0.001     11.5     0.5
0.484      0.001     10       0.5
0.592      0.001     8        0.5
0.696      0.001     6        0.5
0.795      0.001     4.5      0.5
0.907      0.001     2.9      0.2
0.997      0.001     1.9      0.1
1.104      0.001     1.2      0.1
1.192      0.001     1        0.1
1.297      0.001     0.4      0.1
1.415      0.001     -0.02    0.005
1.528      0.001     -0.02    0.005
