
# Surface 0 of 1 surfaces

# Curve title: ""2nm_small.xyz" u 1:2:3"

# IsoCurve 0, 200 points
# x y z type
 7.5781e-010  7.8125e-012  9.5846e-011 i
 7.5781e-010  1.2916e-011  6.59004e-011 i
 7.5781e-010  1.80194e-011  6.04243e-011 i
 7.5781e-010  2.31229e-011  8.53285e-011 i
 7.5781e-010  2.82263e-011  5.92967e-011 i
 7.5781e-010  3.33298e-011  5.06327e-011 i
 7.5781e-010  3.84332e-011  7.2251e-011 i
 7.5781e-010  4.35367e-011  5.04674e-011 i
 7.5781e-010  4.86401e-011  3.98783e-011 i
 7.5781e-010  5.37436e-011  5.77723e-011 i
 7.5781e-010  5.8847e-011  4.06394e-011 i
 7.5781e-010  6.39505e-011  2.90659e-011 i
 7.5781e-010  6.9054e-011  4.30508e-011 i
 7.5781e-010  7.41574e-011  3.04971e-011 i
 7.5781e-010  7.92609e-011  1.87426e-011 i
 7.5781e-010  8.43643e-011  2.9075e-011 i
 7.5781e-010  8.94678e-011  2.05987e-011 i
 7.5781e-010  9.45712e-011  9.29555e-012 i
 7.5781e-010  9.96747e-011  1.65786e-011 i
 7.5781e-010  1.04778e-010  1.14118e-011 i
 7.5781e-010  1.09882e-010  9.83462e-013 i
 7.5781e-010  1.14985e-010  5.96916e-012 i
 7.5781e-010  1.20089e-010  3.3672e-012 i
 7.5781e-010  1.25192e-010 -5.99704e-012 i
 7.5781e-010  1.30295e-010 -2.51432e-012 i
 7.5781e-010  1.35399e-010 -3.27984e-012 i
 7.5781e-010  1.40502e-010 -1.15621e-011 i
 7.5781e-010  1.45606e-010 -8.90495e-012 i
 7.5781e-010  1.50709e-010 -8.24793e-012 i
 7.5781e-010  1.55813e-010 -1.56363e-011 i
 7.5781e-010  1.60916e-010 -1.32536e-011 i
 7.5781e-010  1.6602e-010 -1.14221e-011 i
 7.5781e-010  1.71123e-010 -1.82156e-011 i
 7.5781e-010  1.76227e-010 -1.57351e-011 i
 7.5781e-010  1.8133e-010 -1.26568e-011 i
 7.5781e-010  1.86433e-010 -1.92833e-011 i
 7.5781e-010  1.91537e-010 -1.64692e-011 i
 7.5781e-010  1.9664e-010 -1.1928e-011 i
 7.5781e-010  2.01744e-010 -1.88705e-011 i
 7.5781e-010  2.06847e-010 -1.56463e-011 i
 7.5781e-010  2.11951e-010 -9.19415e-012 i
 7.5781e-010  2.17054e-010 -1.69889e-011 i
 7.5781e-010  2.22158e-010 -1.33981e-011 i
 7.5781e-010  2.27261e-010 -4.55068e-012 i
 7.5781e-010  2.32365e-010 -1.37104e-011 i
 7.5781e-010  2.37468e-010 -9.95266e-012 i
 7.5781e-010  2.42571e-010  1.8525e-012 i
 7.5781e-010  2.47675e-010 -9.09504e-012 i
 7.5781e-010  2.52778e-010 -5.49965e-012 i
 7.5781e-010  2.57882e-010  9.66427e-012 i
 7.5781e-010  2.62985e-010 -3.30933e-012 i
 7.5781e-010  2.68089e-010 -3.65727e-013 i
 7.5781e-010  2.73192e-010  1.83846e-011 i
 7.5781e-010  2.78296e-010  3.48385e-012 i
 7.5781e-010  2.83399e-010  5.16635e-012 i
 7.5781e-010  2.88503e-010  2.7344e-011 i
 7.5781e-010  2.93606e-010  1.09475e-011 i
 7.5781e-010  2.98709e-010  1.06644e-011 i
 7.5781e-010  3.03813e-010  3.5712e-011 i
 7.5781e-010  3.08916e-010  1.87639e-011 i
 7.5781e-010  3.1402e-010  1.57837e-011 i
 7.5781e-010  3.19123e-010  4.27226e-011 i
 7.5781e-010  3.24227e-010  2.63708e-011 i
 7.5781e-010  3.2933e-010  2.00568e-011 i
 7.5781e-010  3.34434e-010  4.75369e-011 i
 7.5781e-010  3.39537e-010  3.32935e-011 i
 7.5781e-010  3.44641e-010  2.31708e-011 i
 7.5781e-010  3.49744e-010  4.97038e-011 i
 7.5781e-010  3.54847e-010  3.87728e-011 i
 7.5781e-010  3.59951e-010  2.47382e-011 i
 7.5781e-010  3.65054e-010  4.87613e-011 i
 7.5781e-010  3.70158e-010  4.2268e-011 i
 7.5781e-010  3.75261e-010  2.45867e-011 i
 7.5781e-010  3.80365e-010  4.48227e-011 i
 7.5781e-010  3.85468e-010  4.29906e-011 i
 7.5781e-010  3.90572e-010  2.25167e-011 i
 7.5781e-010  3.95675e-010  3.79649e-011 i
 7.5781e-010  4.00779e-010  4.05523e-011 i
 7.5781e-010  4.05882e-010  1.85718e-011 i
 7.5781e-010  4.10985e-010  2.87918e-011 i
 7.5781e-010  4.16089e-010  3.44641e-011 i
 7.5781e-010  4.21192e-010  1.27957e-011 i
 7.5781e-010  4.26296e-010  1.7803e-011 i
 7.5781e-010  4.31399e-010  2.48001e-011 i
 7.5781e-010  4.36503e-010  5.45539e-012 i
 7.5781e-010  4.41606e-010  5.81357e-012 i
 7.5781e-010  4.4671e-010  1.17571e-011 i
 7.5781e-010  4.51813e-010 -3.17535e-012 i
 7.5781e-010  4.56917e-010 -6.50486e-012 i
 7.5781e-010  4.6202e-010 -3.88768e-012 i
 7.5781e-010  4.67123e-010 -1.26678e-011 i
 7.5781e-010  4.72227e-010 -1.84177e-011 i
 7.5781e-010  4.7733e-010 -2.11042e-011 i
 7.5781e-010  4.82434e-010 -2.2589e-011 i
 7.5781e-010  4.87537e-010 -2.9323e-011 i
 7.5781e-010  4.92641e-010 -3.8536e-011 i
 7.5781e-010  4.97744e-010 -3.24577e-011 i
 7.5781e-010  5.02848e-010 -3.87522e-011 i
 7.5781e-010  5.07951e-010 -5.47326e-011 i
 7.5781e-010  5.13055e-010 -4.17805e-011 i
 7.5781e-010  5.18158e-010 -4.63208e-011 i
 7.5781e-010  5.23261e-010 -6.83667e-011 i
 7.5781e-010  5.28365e-010 -5.0144e-011 i
 7.5781e-010  5.33468e-010 -5.1883e-011 i
 7.5781e-010  5.38572e-010 -7.84154e-011 i
 7.5781e-010  5.43675e-010 -5.7093e-011 i
 7.5781e-010  5.48779e-010 -5.531e-011 i
 7.5781e-010  5.53882e-010 -8.42648e-011 i
 7.5781e-010  5.58986e-010 -6.23787e-011 i
 7.5781e-010  5.64089e-010 -5.67317e-011 i
 7.5781e-010  5.69193e-010 -8.58948e-011 i
 7.5781e-010  5.74296e-010 -6.56645e-011 i
 7.5781e-010  5.79399e-010 -5.6234e-011 i
 7.5781e-010  5.84503e-010 -8.35713e-011 i
 7.5781e-010  5.89606e-010 -6.69269e-011 i
 7.5781e-010  5.9471e-010 -5.41256e-011 i
 7.5781e-010  5.99813e-010 -7.81097e-011 i
 7.5781e-010  6.04917e-010 -6.60096e-011 i
 7.5781e-010  6.1002e-010 -5.06283e-011 i
 7.5781e-010  6.15124e-010 -7.02588e-011 i
 7.5781e-010  6.20227e-010 -6.31393e-011 i
 7.5781e-010  6.25331e-010 -4.61298e-011 i
 7.5781e-010  6.30434e-010 -6.10841e-011 i
 7.5781e-010  6.35537e-010 -5.83957e-011 i
 7.5781e-010  6.40641e-010 -4.09108e-011 i
