 	Area	Mean	Min	Max	Angle	Length
1	0.004	123.684	38.875	214.778	161.565	0.246
2	0.006	162.074	115.400	211.738	99.090	0.390
3	0.005	120.777	33.292	222.852	60.945	0.313
4	0.004	142.033	47.990	252.362	-21.801	0.252
5	0.006	162.336	95.004	250.741	-83.157	0.388
6	0.005	130.639	58.318	205.259	-124.509	0.297
7	0.004	128.349	45.639	215.250	154.983	0.254
8	0.006	154.358	111.486	208.390	99.866	0.363
9	0.005	112.421	38.333	211.333	57.095	0.309
10	0.004	137.756	59.044	234.222	-23.199	0.231
11	0.006	166.079	90.491	233.222	-82.875	0.376
12	0.004	123.343	59.061	190.651	158.199	0.262
13	0.006	154.316	109.462	218.852	98.746	0.399
14	0.005	112.266	30.151	219.556	59.534	0.310
15	0.004	130.609	57.974	213.978	-20.556	0.261
16	0.007	152.618	106.066	209.726	-83.660	0.410
17	0.005	105.810	39.865	201.481	-124.509	0.298
18	0.006	157.845	96.538	212.824	-82.569	0.367
19	0.004	127.172	53.163	206.066	-20.556	0.250
20	0.005	112.114	49.069	206.667	63.435	0.336
21	0.004	130.526	53.986	224.333	153.435	0.251
22	0.005	156.180	90.146	226.305	99.866	0.345
23	0.005	114.354	22.248	252.000	62.241	0.345
24	0.004	144.074	57.028	249.574	-25.017	0.244
25	0.005	113.019	30.932	219.444	-125.218	0.324
26	0.006	158.928	108.356	215.529	-78.690	0.391
27	0.004	132.915	56.010	222.642	-21.801	0.252
28	0.005	110.690	19.213	217.000	62.241	0.332
29	0.005	123.756	23.874	233.789	59.931	0.329
30	0.006	157.342	90.007	213.890	102.804	0.357
31	0.003	122.526	73.020	204.333	162.897	0.206
32	0.004	93.842	28.171	198.333	-127.569	0.256
