winkel	zaehlrate
28.50	1.167
28.51	1.175
28.52	1.050
28.53	1.033
28.54	0.900
28.55	0.842
28.56	0.825
28.57	0.875
28.58	1.025
28.59	0.992
28.60	0.925
28.61	0.942
28.62	0.917
28.63	0.917
28.64	0.950
28.65	1.000
28.66	0.950
28.67	1.025
28.68	0.942
28.69	0.800
28.70	0.967
28.71	0.767
28.72	0.767
28.73	0.975
28.74	0.933
28.75	0.883
28.76	0.942
28.77	0.850
28.78	1.083
28.79	1.025
28.80	0.875
28.81	0.833
28.82	0.875
28.83	0.942
28.84	0.842
28.85	0.833
28.86	0.858
28.87	0.867
28.88	1.000
28.89	0.883
28.90	0.958
28.91	0.883
28.92	0.850
28.93	0.800
28.94	0.950
28.95	0.917
28.96	0.892
28.97	0.975
28.98	0.883
28.99	0.925
29.00	0.800
29.01	0.767
29.02	0.975
29.03	1.033
29.04	0.967
29.05	0.983
29.06	0.975
29.07	0.967
29.08	0.925
29.09	0.875
29.10	1.017
29.11	0.908
29.12	0.767
29.13	0.833
29.14	0.817
29.15	0.950
29.16	0.858
29.17	0.833
29.18	1.017
29.19	0.767
29.20	0.867
29.21	0.925
29.22	0.983
29.23	0.908
29.24	0.933
29.25	0.883
29.26	0.850
29.27	0.892
29.28	0.908
29.29	0.742
29.30	0.933
29.31	0.892
29.32	0.833
29.33	0.867
29.34	0.867
29.35	0.883
29.36	0.992
29.37	0.792
29.38	0.875
29.39	0.883
29.40	0.975
29.41	0.842
29.42	0.833
29.43	0.942
29.44	0.833
29.45	0.717
29.46	1.008
29.47	0.883
29.48	0.958
29.49	0.950
29.50	0.908
29.51	0.917
29.52	0.792
29.53	0.775
29.54	0.833
29.55	0.925
29.56	0.975
29.57	0.867
29.58	0.883
29.59	0.983
29.60	0.825
29.61	0.792
29.62	0.900
29.63	0.817
29.64	0.900
29.65	1.008
29.66	0.842
29.67	0.925
29.68	0.925
29.69	0.950
29.70	0.800
29.71	1.000
29.72	0.908
29.73	1.008
29.74	1.183
29.75	1.092
29.76	0.858
29.77	1.017
29.78	0.992
29.79	1.033
29.80	0.975
29.81	1.025
29.82	1.017
29.83	0.883
29.84	0.833
29.85	0.892
29.86	0.908
29.87	1.025
29.88	1.033
29.89	0.850
29.90	1.067
29.91	0.808
29.92	1.083
29.93	0.883
29.94	1.175
29.95	1.033
29.96	0.942
29.97	0.925
29.98	1.058
29.99	1.117
30.00	1.325
30.01	1.458
30.02	1.383
30.03	1.475
30.04	1.500
30.05	2.008
30.06	2.358
30.07	2.825
30.08	2.933
30.09	3.558
30.10	3.625
30.11	3.625
30.12	3.567
30.13	4.325
30.14	3.917
30.15	3.650
30.16	3.250
30.17	3.192
30.18	2.458
30.19	2.475
30.20	2.017
30.21	1.650
30.22	1.475
30.23	1.325
30.24	1.542
30.25	1.658
30.26	1.708
30.27	1.750
30.28	2.192
30.29	1.917
30.30	2.458
30.31	2.408
30.32	2.342
30.33	2.475
30.34	2.600
30.35	2.342
30.36	2.383
30.37	1.883
30.38	1.692
30.39	1.517
30.40	1.425
30.41	1.008
30.42	0.900
30.43	0.992
30.44	1.025
30.45	0.983
30.46	0.992
30.47	1.100
30.48	0.892
30.49	1.058
30.50	0.992
30.51	0.933
30.52	1.100
30.53	0.892
30.54	0.975
30.55	0.875
30.56	0.892
30.57	0.858
30.58	0.850
30.59	0.900
30.60	0.833
30.61	0.858
30.62	0.775
30.63	0.833
30.64	0.833
30.65	0.850
30.66	0.917
30.67	1.008
30.68	0.808
30.69	0.892
30.70	0.783
30.71	0.925
30.72	0.733
30.73	0.842
30.74	0.908
30.75	0.708
30.76	0.808
30.77	0.975
30.78	0.883
30.79	0.708
30.80	0.908
30.81	0.792
30.82	0.933
30.83	0.817
30.84	0.942
30.85	0.750
30.86	0.908
30.87	0.733
30.88	0.825
30.89	0.958
30.90	0.825
30.91	0.708
30.92	0.942
30.93	0.842
30.94	0.858
30.95	0.767
30.96	0.892
30.97	0.842
30.98	0.883
30.99	0.850
31.00	0.850
31.01	0.800
31.02	0.725
31.03	0.867
31.04	1.000
31.05	0.733
31.06	0.800
31.07	0.767
31.08	0.858
31.09	0.842
31.10	0.708
31.11	0.867
31.12	0.883
31.13	0.750
31.14	0.900
31.15	0.817
31.16	0.892
31.17	0.842
31.18	0.842
31.19	0.642
31.20	0.808
31.21	0.842
31.22	0.858
31.23	0.758
31.24	0.933
31.25	0.817
31.26	0.800
31.27	0.808
31.28	0.817
31.29	0.683
31.30	0.725
31.31	0.833
31.32	0.733
31.33	0.808
31.34	0.867
31.35	0.725
31.36	0.800
31.37	0.792
31.38	0.642
31.39	0.900
31.40	0.708
31.41	0.825
31.42	0.742
31.43	0.758
31.44	0.842
31.45	0.900
31.46	0.742
31.47	0.858
31.48	0.808
31.49	0.800
31.50	0.733
31.51	0.667
31.52	0.758
31.53	0.825
31.54	0.792
31.55	0.842
31.56	0.792
31.57	0.783
31.58	0.650
31.59	0.875
31.60	0.842
31.61	0.850
31.62	0.850
31.63	0.825
31.64	0.867
31.65	0.792
31.66	0.717
31.67	0.808
31.68	0.858
31.69	0.800
31.70	0.725
31.71	0.817
31.72	0.775
31.73	0.825
31.74	0.767
31.75	0.625
31.76	0.650
31.77	0.892
31.78	0.717
31.79	0.758
31.80	0.842
31.81	0.683
31.82	0.825
31.83	0.783
31.84	0.767
31.85	0.808
31.86	0.600
31.87	0.858
31.88	0.883
31.89	0.758
31.90	0.842
31.91	0.808
31.92	0.800
31.93	0.675
31.94	0.700
31.95	0.733
31.96	0.800
31.97	0.817
31.98	0.675
31.99	0.658
32.00	0.842
