n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	1
28	1
29	0
30	1
31	0
32	1
33	1
34	2
35	3
36	1
37	0
38	1
39	7
40	3
41	4
42	8
43	9
44	11
45	23
46	38
47	36
48	51
49	47
50	59
51	59
52	69
53	53
54	71
55	44
56	47
57	39
58	24
59	22
60	20
61	18
62	14
63	10
64	7
65	7
66	6
67	2
68	3
69	2
70	5
71	4
72	4
73	1
74	5
75	3
76	1
77	4
78	4
79	1
80	2
81	1
82	2
83	4
84	1
85	3
86	2
87	0
88	1
89	4
90	2
91	4
92	5
93	7
94	3
95	3
96	5
97	5
98	2
99	3
100	5
101	3
102	8
103	7
104	12
105	9
106	6
107	6
108	13
109	12
110	10
111	9
112	12
113	12
114	11
115	16
116	10
117	12
118	8
119	8
120	9
121	16
122	14
123	16
124	24
125	29
126	30
127	43
128	58
129	41
130	41
131	36
132	27
133	23
134	16
135	16
136	30
137	22
138	21
139	31
140	42
141	47
142	29
143	33
144	32
145	28
146	27
147	17
148	19
149	12
150	9
151	8
152	11
153	5
154	6
155	6
156	3
157	10
158	7
159	5
160	9
161	3
162	3
163	3
164	5
165	6
166	4
167	7
168	4
169	7
170	4
171	3
172	3
173	5
174	6
175	9
176	7
177	7
178	7
179	8
180	2
181	9
182	4
183	7
184	9
185	11
186	8
187	6
188	8
189	8
190	5
191	4
192	4
193	3
194	5
195	5
196	5
197	4
198	4
199	2
200	2
201	5
202	5
203	2
204	4
205	1
206	8
207	2
208	3
209	1
210	4
211	1
212	3
213	5
214	8
215	1
216	2
217	2
218	1
219	4
220	2
221	2
222	3
223	0
224	3
225	7
226	5
227	4
228	4
229	5
230	4
231	4
232	1
233	6
234	5
235	1
236	1
237	1
238	1
239	3
240	3
241	3
242	1
243	1
244	3
245	2
246	5
247	3
248	2
249	1
250	4
251	5
252	3
253	2
254	0
255	5
256	6
257	3
258	2
259	5
260	2
261	3
262	7
263	4
264	2
265	2
266	1
267	3
268	2
269	2
270	5
271	7
272	2
273	3
274	4
275	1
276	3
277	2
278	9
279	1
280	2
281	2
282	2
283	0
284	0
285	0
286	1
287	0
288	3
289	1
290	3
291	2
292	3
293	3
294	3
295	4
296	2
297	1
298	2
299	5
300	3
301	2
302	4
303	2
304	4
305	2
306	4
307	4
308	2
309	0
310	1
311	2
312	2
313	3
314	7
315	4
316	4
317	3
318	5
319	4
320	6
321	11
322	19
323	26
324	68
325	74
326	92
327	103
328	119
329	130
330	115
331	104
332	78
333	53
334	46
335	41
336	27
337	14
338	10
339	4
340	0
341	1
342	0
343	2
344	1
345	2
346	0
347	2
348	2
349	2
350	1
351	0
352	1
353	0
354	0
355	1
356	1
357	4
358	1
359	1
360	0
361	3
362	4
363	4
364	9
365	16
366	20
367	23
368	17
369	11
370	10
371	12
372	12
373	5
374	6
375	3
376	3
377	4
378	3
379	1
380	2
381	0
382	1
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	1
416	1
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	1
426	0
427	0
428	1
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	1
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
