n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	2
33	0
34	1
35	2
36	2
37	5
38	1
39	4
40	3
41	1
42	5
43	5
44	2
45	1
46	3
47	2
48	8
49	5
50	6
51	7
52	1
53	1
54	7
55	5
56	5
57	4
58	2
59	4
60	3
61	3
62	7
63	6
64	5
65	6
66	2
67	3
68	4
69	4
70	7
71	4
72	7
73	4
74	4
75	5
76	4
77	8
78	3
79	10
80	5
81	7
82	3
83	11
84	4
85	10
86	9
87	7
88	6
89	6
90	7
91	4
92	5
93	6
94	7
95	9
96	7
97	9
98	11
99	5
100	11
101	12
102	14
103	9
104	11
105	19
106	15
107	7
108	25
109	10
110	14
111	18
112	27
113	19
114	18
115	18
116	20
117	20
118	25
119	30
120	20
121	45
122	65
123	100
124	107
125	129
126	181
127	214
128	226
129	239
130	230
131	197
132	177
133	190
134	158
135	122
136	123
137	117
138	104
139	90
140	75
141	67
142	60
143	54
144	51
145	55
146	73
147	96
148	133
149	211
150	280
151	391
152	423
153	409
154	403
155	350
156	263
157	237
158	169
159	123
160	84
161	68
162	48
163	27
164	19
165	26
166	22
167	17
168	24
169	22
170	23
171	45
172	53
173	70
174	104
175	147
176	186
177	233
178	219
179	211
180	231
181	169
182	155
183	152
184	113
185	85
186	70
187	50
188	32
189	32
190	18
191	16
192	15
193	8
194	12
195	11
196	13
197	9
198	13
199	8
200	16
201	8
202	20
203	25
204	23
205	30
206	23
207	27
208	30
209	32
210	21
211	23
212	10
213	15
214	8
215	6
216	7
217	6
218	8
219	4
220	4
221	5
222	5
223	6
224	5
225	8
226	3
227	4
228	2
229	3
230	5
231	3
232	4
233	6
234	4
235	6
236	3
237	0
238	2
239	8
240	5
241	0
242	4
243	4
244	6
245	2
246	5
247	4
248	3
249	3
250	1
251	3
252	9
253	4
254	4
255	3
256	4
257	4
258	8
259	5
260	3
261	3
262	4
263	6
264	8
265	6
266	5
267	2
268	3
269	3
270	4
271	4
272	2
273	5
274	1
275	1
276	0
277	4
278	2
279	5
280	2
281	5
282	4
283	4
284	4
285	2
286	2
287	3
288	1
289	1
290	3
291	2
292	1
293	3
294	0
295	5
296	1
297	2
298	6
299	2
300	3
301	1
302	2
303	2
304	4
305	2
306	2
307	0
308	1
309	2
310	4
311	2
312	3
313	3
314	0
315	1
316	4
317	8
318	1
319	2
320	1
321	2
322	1
323	1
324	3
325	1
326	0
327	4
328	0
329	5
330	3
331	3
332	4
333	2
334	3
335	4
336	4
337	1
338	2
339	1
340	4
341	1
342	0
343	1
344	4
345	2
346	1
347	0
348	1
349	1
350	2
351	1
352	1
353	0
354	0
355	0
356	1
357	1
358	2
359	1
360	1
361	2
362	0
363	1
364	1
365	2
366	4
367	1
368	2
369	2
370	3
371	1
372	0
373	3
374	2
375	2
376	2
377	1
378	2
379	0
380	1
381	1
382	3
383	0
384	0
385	0
386	1
387	1
388	0
389	0
390	1
391	0
392	0
393	0
394	2
395	0
396	0
397	1
398	2
399	4
400	1
401	0
402	0
403	0
404	0
405	1
406	0
407	0
408	0
409	0
410	0
411	0
412	2
413	1
414	1
415	0
416	0
417	0
418	1
419	0
420	0
421	1
422	0
423	2
424	3
425	2
426	0
427	0
428	1
429	0
430	1
431	0
432	1
433	1
434	1
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	2
457	2
458	0
459	0
460	1
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	1
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
