n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	3
28	1
29	2
30	2
31	0
32	3
33	2
34	6
35	2
36	4
37	5
38	7
39	11
40	10
41	11
42	12
43	11
44	12
45	13
46	16
47	12
48	20
49	18
50	18
51	12
52	10
53	12
54	17
55	10
56	23
57	10
58	20
59	12
60	14
61	19
62	16
63	20
64	14
65	17
66	15
67	16
68	17
69	19
70	17
71	17
72	17
73	19
74	19
75	13
76	20
77	20
78	16
79	21
80	21
81	29
82	22
83	16
84	21
85	20
86	19
87	24
88	18
89	26
90	24
91	27
92	20
93	29
94	30
95	31
96	31
97	30
98	37
99	44
100	35
101	47
102	52
103	61
104	53
105	46
106	43
107	53
108	45
109	53
110	54
111	70
112	44
113	36
114	61
115	51
116	57
117	61
118	81
119	118
120	190
121	323
122	497
123	938
124	1518
125	2165
126	2864
127	3447
128	3633
129	3366
130	3059
131	2517
132	2025
133	1584
134	1213
135	909
136	688
137	586
138	548
139	536
140	533
141	478
142	455
143	397
144	334
145	264
146	180
147	134
148	95
149	63
150	31
151	17
152	11
153	5
154	7
155	5
156	5
157	2
158	3
159	3
160	6
161	3
162	1
163	2
164	4
165	2
166	3
167	2
168	3
169	1
170	6
171	0
172	2
173	5
174	1
175	1
176	1
177	3
178	4
179	5
180	5
181	1
182	9
183	6
184	11
185	14
186	8
187	13
188	5
189	5
190	20
191	13
192	13
193	11
194	9
195	13
196	12
197	2
198	7
199	4
200	4
201	5
202	5
203	7
204	4
205	3
206	5
207	2
208	2
209	5
210	0
211	3
212	6
213	2
214	2
215	4
216	3
217	7
218	2
219	3
220	1
221	3
222	1
223	4
224	2
225	4
226	2
227	3
228	0
229	3
230	4
231	2
232	6
233	3
234	8
235	2
236	1
237	1
238	4
239	7
240	4
241	3
242	4
243	0
244	4
245	2
246	1
247	3
248	3
249	0
250	3
251	3
252	2
253	2
254	1
255	1
256	1
257	2
258	0
259	3
260	0
261	2
262	3
263	0
264	0
265	0
266	2
267	0
268	0
269	0
270	1
271	2
272	0
273	0
274	0
275	4
276	1
277	0
278	0
279	1
280	0
281	1
282	1
283	1
284	2
285	1
286	1
287	2
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	1
296	0
297	1
298	0
299	1
300	1
301	1
302	0
303	0
304	0
305	0
306	1
307	2
308	0
309	0
310	1
311	1
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	2
320	3
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	2
330	0
331	1
332	0
333	1
334	0
335	0
336	1
337	0
338	0
339	0
340	0
341	1
342	0
343	0
344	0
345	0
346	0
347	2
348	2
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	2
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	1
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	1
417	0
418	0
419	1
420	0
421	0
422	0
423	0
424	1
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	1
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	1
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	1
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
