n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	0
19	0
20	0
21	0
22	0
23	0
24	2
25	1
26	1
27	1
28	1
29	4
30	3
31	5
32	7
33	14
34	12
35	14
36	24
37	26
38	26
39	38
40	40
41	35
42	36
43	45
44	31
45	31
46	51
47	33
48	38
49	46
50	51
51	56
52	44
53	48
54	43
55	47
56	48
57	63
58	48
59	49
60	52
61	56
62	43
63	52
64	62
65	60
66	47
67	53
68	59
69	72
70	64
71	77
72	76
73	90
74	97
75	102
76	97
77	102
78	99
79	95
80	118
81	105
82	82
83	93
84	117
85	110
86	99
87	112
88	110
89	114
90	128
91	148
92	143
93	207
94	293
95	517
96	893
97	1579
98	2478
99	3877
100	5395
101	6777
102	8120
103	8794
104	8509
105	7620
106	6701
107	5523
108	4669
109	3820
110	3314
111	2691
112	2353
113	1891
114	1536
115	1305
116	1054
117	818
118	674
119	480
120	337
121	225
122	152
123	109
124	77
125	78
126	62
127	65
128	44
129	44
130	42
131	36
132	32
133	39
134	22
135	32
136	31
137	26
138	22
139	25
140	23
141	25
142	25
143	33
144	35
145	40
146	42
147	40
148	60
149	55
150	75
151	79
152	78
153	98
154	117
155	102
156	89
157	79
158	97
159	76
160	61
161	59
162	46
163	55
164	43
165	68
166	37
167	50
168	34
169	27
170	25
171	26
172	19
173	23
174	20
175	22
176	10
177	17
178	18
179	16
180	18
181	23
182	16
183	20
184	21
185	20
186	21
187	24
188	12
189	24
190	30
191	30
192	24
193	33
194	25
195	25
196	16
197	20
198	15
199	22
200	28
201	11
202	6
203	4
204	14
205	8
206	4
207	7
208	6
209	7
210	7
211	1
212	3
213	4
214	2
215	5
216	4
217	2
218	0
219	1
220	1
221	3
222	0
223	1
224	1
225	5
226	3
227	2
228	3
229	1
230	4
231	1
232	1
233	2
234	1
235	5
236	1
237	2
238	2
239	0
240	0
241	3
242	0
243	1
244	2
245	2
246	5
247	1
248	0
249	1
250	0
251	2
252	3
253	2
254	4
255	2
256	2
257	1
258	1
259	1
260	0
261	1
262	0
263	0
264	0
265	1
266	0
267	2
268	1
269	3
270	0
271	1
272	1
273	0
274	0
275	2
276	0
277	1
278	1
279	0
280	1
281	0
282	0
283	1
284	0
285	1
286	1
287	0
288	0
289	0
290	2
291	1
292	0
293	0
294	1
295	0
296	3
297	1
298	0
299	0
300	1
301	0
302	2
303	0
304	0
305	0
306	1
307	0
308	2
309	1
310	0
311	0
312	3
313	0
314	0
315	1
316	0
317	0
318	0
319	1
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	1
330	0
331	0
332	0
333	2
334	1
335	1
336	0
337	0
338	0
339	0
340	1
341	1
342	0
343	0
344	0
345	0
346	0
347	0
348	2
349	0
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	1
364	0
365	0
366	0
367	0
368	0
369	1
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	2
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	1
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	1
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	1
418	0
419	1
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	1
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	1
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	1
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	1
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	1
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
