n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	1
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	2
26	0
27	6
28	3
29	7
30	6
31	5
32	5
33	9
34	13
35	12
36	19
37	17
38	23
39	24
40	32
41	36
42	32
43	24
44	32
45	36
46	42
47	46
48	38
49	45
50	33
51	34
52	43
53	41
54	36
55	44
56	40
57	43
58	51
59	45
60	51
61	37
62	43
63	47
64	56
65	51
66	60
67	52
68	57
69	58
70	53
71	61
72	69
73	64
74	81
75	70
76	75
77	74
78	91
79	85
80	83
81	84
82	71
83	96
84	83
85	87
86	85
87	102
88	99
89	107
90	101
91	97
92	121
93	151
94	223
95	329
96	572
97	1007
98	1595
99	2631
100	3784
101	4853
102	5842
103	6456
104	6452
105	5944
106	5059
107	4378
108	3396
109	2856
110	2501
111	2033
112	1779
113	1532
114	1260
115	1065
116	893
117	681
118	560
119	438
120	327
121	257
122	167
123	130
124	111
125	92
126	86
127	102
128	103
129	171
130	159
131	263
132	391
133	519
134	643
135	747
136	757
137	780
138	672
139	567
140	458
141	364
142	250
143	210
144	183
145	124
146	114
147	112
148	119
149	135
150	140
151	155
152	120
153	115
154	111
155	101
156	92
157	61
158	79
159	52
160	41
161	46
162	37
163	41
164	19
165	23
166	13
167	22
168	21
169	17
170	19
171	25
172	30
173	15
174	19
175	13
176	16
177	14
178	15
179	23
180	28
181	18
182	31
183	22
184	21
185	32
186	18
187	28
188	19
189	20
190	19
191	27
192	23
193	20
194	16
195	23
196	22
197	13
198	15
199	22
200	14
201	11
202	8
203	7
204	7
205	11
206	5
207	9
208	8
209	7
210	5
211	4
212	4
213	5
214	3
215	4
216	2
217	2
218	4
219	0
220	5
221	3
222	5
223	10
224	4
225	5
226	2
227	2
228	3
229	1
230	3
231	5
232	0
233	2
234	1
235	1
236	5
237	5
238	2
239	2
240	2
241	2
242	1
243	0
244	3
245	1
246	1
247	0
248	1
249	2
250	2
251	1
252	3
253	0
254	1
255	0
256	1
257	1
258	1
259	1
260	2
261	1
262	2
263	0
264	2
265	2
266	0
267	2
268	1
269	1
270	0
271	1
272	0
273	0
274	1
275	1
276	1
277	1
278	0
279	1
280	1
281	0
282	1
283	1
284	0
285	2
286	2
287	0
288	1
289	3
290	1
291	0
292	0
293	0
294	0
295	1
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	1
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	2
312	0
313	0
314	0
315	0
316	1
317	0
318	1
319	1
320	1
321	0
322	0
323	1
324	0
325	0
326	1
327	0
328	1
329	1
330	0
331	0
332	0
333	0
334	0
335	0
336	1
337	0
338	0
339	0
340	1
341	0
342	2
343	0
344	0
345	0
346	1
347	1
348	0
349	1
350	0
351	0
352	1
353	0
354	1
355	0
356	1
357	1
358	0
359	1
360	0
361	1
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	1
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	1
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	1
405	0
406	0
407	0
408	1
409	1
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	1
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	1
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	1
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	1
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
