n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	1
26	1
27	0
28	1
29	0
30	0
31	0
32	1
33	2
34	7
35	1
36	5
37	0
38	3
39	3
40	2
41	5
42	6
43	8
44	6
45	14
46	12
47	10
48	19
49	23
50	39
51	31
52	74
53	85
54	114
55	111
56	129
57	140
58	121
59	146
60	126
61	109
62	98
63	83
64	79
65	72
66	46
67	28
68	35
69	23
70	18
71	9
72	10
73	10
74	7
75	4
76	5
77	5
78	4
79	6
80	4
81	4
82	4
83	3
84	3
85	6
86	3
87	6
88	4
89	3
90	5
91	2
92	2
93	6
94	7
95	6
96	7
97	7
98	7
99	4
100	8
101	14
102	17
103	11
104	6
105	11
106	8
107	10
108	13
109	12
110	6
111	9
112	10
113	17
114	15
115	8
116	18
117	15
118	16
119	15
120	22
121	41
122	81
123	112
124	193
125	337
126	464
127	508
128	566
129	619
130	553
131	462
132	348
133	284
134	224
135	132
136	126
137	76
138	48
139	32
140	39
141	24
142	24
143	16
144	15
145	11
146	9
147	8
148	6
149	4
150	8
151	9
152	6
153	8
154	8
155	6
156	3
157	7
158	10
159	1
160	7
161	8
162	4
163	6
164	8
165	6
166	3
167	7
168	10
169	5
170	7
171	5
172	5
173	4
174	5
175	7
176	5
177	9
178	2
179	3
180	6
181	8
182	4
183	2
184	1
185	0
186	4
187	2
188	5
189	2
190	4
191	2
192	3
193	3
194	4
195	4
196	2
197	5
198	3
199	5
200	0
201	8
202	1
203	5
204	1
205	2
206	5
207	2
208	4
209	0
210	3
211	2
212	4
213	2
214	4
215	2
216	1
217	6
218	1
219	3
220	5
221	4
222	6
223	0
224	5
225	2
226	4
227	1
228	5
229	2
230	2
231	3
232	1
233	1
234	2
235	5
236	2
237	4
238	3
239	0
240	4
241	1
242	3
243	1
244	2
245	5
246	0
247	2
248	4
249	0
250	2
251	1
252	4
253	2
254	4
255	1
256	7
257	2
258	1
259	2
260	1
261	2
262	1
263	0
264	3
265	3
266	1
267	3
268	1
269	3
270	2
271	3
272	4
273	0
274	2
275	0
276	2
277	3
278	1
279	1
280	1
281	1
282	4
283	0
284	1
285	2
286	4
287	1
288	3
289	0
290	3
291	2
292	2
293	3
294	1
295	2
296	0
297	1
298	3
299	3
300	0
301	1
302	0
303	1
304	3
305	2
306	1
307	2
308	1
309	1
310	2
311	2
312	0
313	0
314	1
315	0
316	1
317	2
318	1
319	3
320	1
321	1
322	0
323	2
324	3
325	1
326	1
327	2
328	3
329	0
330	1
331	2
332	2
333	2
334	2
335	0
336	1
337	2
338	0
339	1
340	0
341	1
342	1
343	1
344	1
345	0
346	2
347	5
348	3
349	10
350	9
351	14
352	26
353	36
354	57
355	62
356	53
357	54
358	55
359	54
360	52
361	22
362	29
363	17
364	11
365	5
366	2
367	2
368	2
369	0
370	2
371	0
372	1
373	0
374	1
375	1
376	0
377	1
378	0
379	1
380	0
381	0
382	0
383	0
384	0
385	1
386	1
387	0
388	1
389	1
390	0
391	2
392	1
393	1
394	5
395	2
396	2
397	8
398	5
399	11
400	13
401	9
402	4
403	3
404	9
405	5
406	2
407	0
408	3
409	4
410	2
411	2
412	0
413	0
414	0
415	0
416	1
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	2
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
