n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	0
28	0
29	0
30	3
31	3
32	2
33	8
34	3
35	13
36	3
37	9
38	11
39	22
40	14
41	14
42	12
43	16
44	12
45	12
46	15
47	20
48	20
49	23
50	26
51	21
52	19
53	20
54	20
55	16
56	24
57	20
58	19
59	32
60	18
61	20
62	20
63	32
64	16
65	24
66	24
67	18
68	28
69	28
70	28
71	25
72	27
73	26
74	28
75	33
76	36
77	37
78	30
79	24
80	40
81	27
82	58
83	41
84	30
85	29
86	42
87	42
88	43
89	49
90	49
91	44
92	61
93	63
94	92
95	105
96	84
97	71
98	82
99	89
100	78
101	79
102	70
103	76
104	92
105	97
106	93
107	101
108	98
109	103
110	141
111	167
112	314
113	544
114	981
115	1577
116	2379
117	3307
118	4155
119	4534
120	4785
121	4378
122	3584
123	3085
124	2477
125	1929
126	1621
127	1254
128	976
129	882
130	850
131	785
132	688
133	630
134	509
135	420
136	286
137	228
138	161
139	105
140	60
141	42
142	29
143	13
144	15
145	8
146	7
147	6
148	7
149	5
150	3
151	4
152	4
153	6
154	2
155	8
156	3
157	6
158	4
159	7
160	5
161	7
162	3
163	9
164	13
165	2
166	7
167	2
168	13
169	7
170	12
171	6
172	12
173	13
174	23
175	18
176	15
177	16
178	29
179	33
180	23
181	20
182	22
183	14
184	24
185	18
186	19
187	9
188	9
189	17
190	10
191	8
192	9
193	10
194	6
195	7
196	7
197	3
198	7
199	4
200	8
201	3
202	6
203	5
204	1
205	9
206	7
207	3
208	4
209	2
210	6
211	1
212	4
213	5
214	4
215	2
216	3
217	9
218	3
219	1
220	1
221	5
222	2
223	5
224	4
225	9
226	9
227	4
228	3
229	5
230	0
231	5
232	2
233	5
234	3
235	4
236	0
237	1
238	3
239	4
240	1
241	1
242	3
243	1
244	0
245	1
246	0
247	1
248	0
249	1
250	0
251	0
252	0
253	2
254	0
255	0
256	0
257	0
258	2
259	1
260	2
261	0
262	2
263	0
264	0
265	0
266	0
267	0
268	0
269	1
270	3
271	3
272	0
273	2
274	1
275	0
276	1
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	2
285	0
286	0
287	2
288	1
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	1
297	0
298	0
299	0
300	1
301	0
302	0
303	0
304	0
305	0
306	1
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	1
315	0
316	1
317	0
318	0
319	1
320	0
321	0
322	1
323	0
324	0
325	1
326	1
327	0
328	1
329	0
330	0
331	0
332	1
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	1
344	0
345	0
346	1
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	0
355	0
356	0
357	2
358	0
359	1
360	0
361	1
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	1
370	0
371	2
372	0
373	0
374	0
375	0
376	1
377	0
378	1
379	1
380	0
381	0
382	1
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	1
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	1
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	1
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
