FeZn & $125,331267 \pm 10,141917$ & $-0,566269 \pm 0,066615$ & $5002,431904 \pm 77,594497$ & $103,122760 \pm 0,015517$ & $3,012267 \pm 0,026723$ & $2063,939666 \pm 48,886314$ & $108,230908 \pm 0,183916$ & $5,716283 \pm 0,076591$ & $722,628244 \pm 13,085361$ & $136,243300 \pm 0,093352$ & $3,462510 \pm 0,089902$ & $94,421086 \pm 10,847715$ & $149,951619 \pm 0,879519$ & $5,270137 \pm 0,978213$ & $0,000000 \pm 0,000000$ & $0,000000 \pm 0,000000$ & $0,200000 \pm 0,000000$ \\
Ag & $4,531755 \pm 0,316239$ & $-0,124196 \pm 0,015440$ & $59,440753 \pm 1,391777$ & $2,904702 \pm 0,008465$ & $0,316190 \pm 0,008720$ & $42,245551 \pm 1,628627$ & $8,106494 \pm 0,012051$ & $0,230408 \pm 0,012341$ & $33,800661 \pm 1,450669$ & $9,037712 \pm 0,017090$ & $0,306826 \pm 0,018871$ & $120,356609 \pm 1,552243$ & $21,833709 \pm 0,003734$ & $0,251242 \pm 0,003764$ & $17,320348 \pm 1,709970$ & $24,477334 \pm 0,023615$ & $0,207496 \pm 0,023789$ \\
Au & $6,035586 \pm 0,702638$ & $-0,167485 \pm 0,033239$ & $210,557027 \pm 2,795424$ & $8,257189 \pm 0,006052$ & $0,398341 \pm 0,006224$ & $409,573519 \pm 3,514569$ & $9,815003 \pm 0,002466$ & $0,249260 \pm 0,002502$ & $217,248127 \pm 3,224523$ & $11,584125 \pm 0,005035$ & $0,294963 \pm 0,005095$ & $23,820422 \pm 2,963162$ & $13,462300 \pm 0,049973$ & $0,349356 \pm 0,050593$ & $0,000000 \pm 1,709970$ & $24,477334 \pm 0,023615$ & $0,207496 \pm 0,023789$ \\
Cu & $13,980439 \pm 1,504576$ & $-0,512025 \pm 0,074097$ & $3221,231647 \pm 32,713558$ & $8,103463 \pm 0,000837$ & $0,211473 \pm 0,001545$ & $628,354542 \pm 14,551769$ & $8,605401 \pm 0,022457$ & $0,464888 \pm 0,011986$ & $0,000000 \pm 3,224523$ & $11,584125 \pm 0,005035$ & $0,294963 \pm 0,005095$ & $0,000000 \pm 2,963162$ & $13,462300 \pm 0,049973$ & $0,349356 \pm 0,050593$ & $0,000000 \pm 1,709970$ & $24,477334 \pm 0,023615$ & $0,207496 \pm 0,023789$ \\
Fe & $62,549548 \pm 13,504898$ & $-2,279699 \pm 0,663349$ & $8128,856573 \pm 65,466694$ & $6,459125 \pm 0,002702$ & $0,292149 \pm 0,002749$ & $61,974638 \pm 68,395254$ & $9,942912 \pm 0,338626$ & $0,266648 \pm 0,342464$ & $0,000000 \pm 3,224523$ & $11,584125 \pm 0,005035$ & $0,294963 \pm 0,005095$ & $0,000000 \pm 2,963162$ & $13,462300 \pm 0,049973$ & $0,349356 \pm 0,050593$ & $0,000000 \pm 1,709970$ & $24,477334 \pm 0,023615$ & $0,207496 \pm 0,023789$ \\
In & $5,898424 \pm 0,627617$ & $-0,181030 \pm 0,031311$ & $131,440843 \pm 2,696502$ & $3,327967 \pm 0,008104$ & $0,345467 \pm 0,008349$ & $583,061021 \pm 3,225190$ & $8,157927 \pm 0,001519$ & $0,238817 \pm 0,001539$ & $59,550603 \pm 3,135542$ & $23,748281 \pm 0,015337$ & $0,252899 \pm 0,015482$ & $8,482910 \pm 3,473368$ & $26,710269 \pm 0,097541$ & $0,206762 \pm 0,098456$ & $0,000000 \pm 1,709970$ & $24,477334 \pm 0,023615$ & $0,207496 \pm 0,023789$ \\
Ni & $42,661875 \pm 7,715901$ & $-1,514549 \pm 0,385044$ & $4438,711978 \pm 40,622330$ & $7,566396 \pm 0,002779$ & $0,264068 \pm 0,002816$ & $4,288092 \pm 83,884613$ & $11,622413 \pm 1,417115$ & $0,063426 \pm 1,451882$ & $0,000000 \pm 3,135542$ & $23,748281 \pm 0,015337$ & $0,252899 \pm 0,015482$ & $0,000000 \pm 3,473368$ & $26,710269 \pm 0,097541$ & $0,206762 \pm 0,098456$ & $0,000000 \pm 1,709970$ & $24,477334 \pm 0,023615$ & $0,207496 \pm 0,023789$ \\
Pb & $6,926225 \pm 0,738824$ & $-0,229991 \pm 0,035090$ & $152,733289 \pm 3,856554$ & $8,106853 \pm 0,009012$ & $0,245963 \pm 0,008764$ & $75,022275 \pm 3,117283$ & $9,124084 \pm 0,023140$ & $0,393841 \pm 0,026119$ & $507,715302 \pm 3,710937$ & $10,646190 \pm 0,002136$ & $0,252434 \pm 0,002178$ & $328,050833 \pm 3,741113$ & $12,678098 \pm 0,003240$ & $0,246677 \pm 0,003270$ & $22,863919 \pm 3,525606$ & $14,883130 \pm 0,049324$ & $0,277739 \pm 0,049768$ \\
Sn & $4,579190 \pm 0,373658$ & $-0,135213 \pm 0,018751$ & $225,255197 \pm 1,638125$ & $3,525625 \pm 0,002733$ & $0,328436 \pm 0,002810$ & $57,387628 \pm 1,721748$ & $8,151778 \pm 0,010166$ & $0,294952 \pm 0,010331$ & $43,437067 \pm 1,856096$ & $24,779030 \pm 0,012487$ & $0,253832 \pm 0,012622$ & $5,538121 \pm 1,917816$ & $27,823980 \pm 0,095052$ & $0,238596 \pm 0,096334$ & $0,000000 \pm 3,525606$ & $14,883130 \pm 0,049324$ & $0,277739 \pm 0,049768$ \\
Ti & $15,474374 \pm 3,341778$ & $-0,584001 \pm 0,166554$ & $2941,401149 \pm 16,235873$ & $4,553744 \pm 0,001902$ & $0,300363 \pm 0,001941$ & $0,000000 \pm 1,721748$ & $8,151778 \pm 0,010166$ & $0,294952 \pm 0,010331$ & $0,000000 \pm 1,856096$ & $24,779030 \pm 0,012487$ & $0,253832 \pm 0,012622$ & $0,000000 \pm 1,917816$ & $27,823980 \pm 0,095052$ & $0,238596 \pm 0,096334$ & $0,000000 \pm 3,525606$ & $14,883130 \pm 0,049324$ & $0,277739 \pm 0,049768$ \\
W & $6,964353 \pm 1,012599$ & $-0,239769 \pm 0,048016$ & $25,280363 \pm 5,101241$ & $5,513797 \pm 0,055125$ & $0,237952 \pm 0,056124$ & $656,254033 \pm 4,965911$ & $8,504255 \pm 0,002189$ & $0,251634 \pm 0,002229$ & $452,212023 \pm 4,661796$ & $9,835716 \pm 0,003565$ & $0,287922 \pm 0,003688$ & $36,294861 \pm 3,771658$ & $11,309898 \pm 0,054955$ & $0,453864 \pm 0,059148$ & $0,000000 \pm 3,525606$ & $14,883130 \pm 0,049324$ & $0,277739 \pm 0,049768$ \\
