n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	2
35	2
36	1
37	6
38	3
39	5
40	1
41	5
42	10
43	3
44	9
45	8
46	5
47	4
48	4
49	6
50	5
51	6
52	5
53	9
54	2
55	5
56	2
57	5
58	8
59	2
60	8
61	1
62	6
63	4
64	11
65	5
66	4
67	5
68	9
69	8
70	4
71	10
72	4
73	2
74	2
75	3
76	7
77	6
78	2
79	8
80	8
81	3
82	11
83	6
84	5
85	8
86	9
87	8
88	6
89	7
90	7
91	4
92	5
93	9
94	4
95	6
96	7
97	8
98	8
99	9
100	14
101	10
102	19
103	21
104	20
105	16
106	20
107	18
108	20
109	21
110	17
111	20
112	8
113	29
114	15
115	20
116	22
117	31
118	14
119	28
120	39
121	36
122	42
123	55
124	80
125	104
126	123
127	155
128	174
129	165
130	139
131	132
132	84
133	80
134	67
135	68
136	51
137	48
138	63
139	67
140	67
141	82
142	90
143	85
144	75
145	65
146	58
147	63
148	55
149	49
150	46
151	38
152	36
153	33
154	24
155	24
156	39
157	38
158	56
159	95
160	182
161	253
162	373
163	449
164	531
165	508
166	474
167	427
168	383
169	298
170	227
171	163
172	112
173	91
174	60
175	49
176	22
177	18
178	17
179	12
180	16
181	10
182	18
183	19
184	18
185	18
186	24
187	43
188	54
189	75
190	115
191	166
192	220
193	333
194	343
195	350
196	314
197	247
198	194
199	173
200	148
201	108
202	71
203	55
204	28
205	16
206	9
207	8
208	4
209	5
210	5
211	2
212	2
213	5
214	4
215	4
216	3
217	5
218	5
219	2
220	10
221	7
222	19
223	13
224	21
225	28
226	24
227	25
228	32
229	17
230	20
231	16
232	19
233	12
234	12
235	4
236	7
237	5
238	6
239	4
240	2
241	2
242	1
243	0
244	1
245	3
246	1
247	3
248	0
249	2
250	1
251	0
252	2
253	0
254	1
255	0
256	1
257	0
258	0
259	0
260	1
261	0
262	2
263	0
264	0
265	1
266	1
267	2
268	1
269	1
270	0
271	0
272	0
273	1
274	1
275	0
276	1
277	0
278	2
279	1
280	1
281	2
282	1
283	1
284	2
285	0
286	2
287	0
288	1
289	2
290	1
291	0
292	0
293	1
294	1
295	0
296	0
297	2
298	0
299	1
300	1
301	0
302	0
303	1
304	0
305	0
306	0
307	0
308	1
309	1
310	0
311	0
312	0
313	0
314	0
315	1
316	0
317	0
318	0
319	1
320	0
321	1
322	0
323	0
324	0
325	0
326	0
327	1
328	2
329	1
330	0
331	0
332	0
333	0
334	0
335	0
336	1
337	0
338	0
339	0
340	1
341	1
342	0
343	1
344	0
345	0
346	0
347	1
348	0
349	1
350	0
351	0
352	0
353	1
354	0
355	1
356	0
357	0
358	0
359	1
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	1
386	0
387	0
388	2
389	1
390	0
391	1
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	1
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	1
437	0
438	0
439	0
440	0
441	0
442	0
443	1
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	1
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
