n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	0
27	0
28	0
29	1
30	1
31	2
32	0
33	1
34	1
35	2
36	3
37	1
38	5
39	3
40	6
41	4
42	6
43	8
44	4
45	3
46	6
47	5
48	5
49	6
50	5
51	3
52	10
53	2
54	5
55	8
56	11
57	7
58	8
59	9
60	4
61	7
62	8
63	10
64	12
65	10
66	13
67	8
68	15
69	11
70	9
71	24
72	21
73	16
74	22
75	32
76	43
77	48
78	76
79	110
80	136
81	140
82	191
83	189
84	200
85	213
86	237
87	253
88	306
89	326
90	409
91	446
92	445
93	433
94	376
95	368
96	352
97	306
98	311
99	310
100	278
101	300
102	295
103	326
104	323
105	460
106	738
107	916
108	1406
109	1863
110	2332
111	2558
112	2601
113	2426
114	1942
115	1674
116	1434
117	1152
118	955
119	758
120	676
121	589
122	523
123	516
124	400
125	409
126	355
127	273
128	282
129	230
130	173
131	129
132	113
133	83
134	99
135	66
136	49
137	38
138	28
139	47
140	29
141	43
142	31
143	27
144	30
145	25
146	12
147	18
148	14
149	12
150	5
151	12
152	7
153	12
154	15
155	14
156	10
157	10
158	8
159	14
160	15
161	10
162	15
163	12
164	13
165	10
166	15
167	20
168	10
169	9
170	11
171	13
172	10
173	7
174	12
175	8
176	7
177	10
178	6
179	9
180	9
181	6
182	10
183	12
184	6
185	3
186	5
187	5
188	9
189	6
190	8
191	8
192	7
193	6
194	7
195	5
196	3
197	3
198	10
199	4
200	5
201	7
202	4
203	3
204	2
205	3
206	3
207	7
208	5
209	9
210	6
211	6
212	7
213	7
214	4
215	6
216	1
217	3
218	5
219	3
220	4
221	4
222	2
223	3
224	4
225	8
226	4
227	2
228	3
229	2
230	5
231	1
232	5
233	3
234	2
235	3
236	0
237	3
238	4
239	1
240	4
241	2
242	4
243	2
244	1
245	0
246	2
247	2
248	4
249	4
250	2
251	0
252	1
253	2
254	1
255	5
256	0
257	2
258	2
259	2
260	3
261	0
262	4
263	4
264	4
265	0
266	0
267	1
268	2
269	3
270	5
271	2
272	0
273	3
274	1
275	1
276	0
277	2
278	1
279	0
280	5
281	2
282	2
283	1
284	2
285	4
286	1
287	0
288	2
289	2
290	0
291	1
292	1
293	2
294	1
295	0
296	4
297	1
298	1
299	3
300	1
301	2
302	1
303	1
304	1
305	1
306	3
307	1
308	3
309	2
310	2
311	0
312	0
313	0
314	1
315	0
316	0
317	3
318	2
319	2
320	0
321	0
322	0
323	1
324	0
325	0
326	1
327	1
328	2
329	1
330	1
331	0
332	0
333	1
334	2
335	0
336	0
337	0
338	3
339	1
340	1
341	0
342	1
343	1
344	1
345	1
346	1
347	2
348	0
349	0
350	0
351	1
352	1
353	1
354	1
355	1
356	1
357	2
358	0
359	1
360	0
361	1
362	0
363	1
364	0
365	1
366	1
367	1
368	1
369	1
370	2
371	1
372	0
373	0
374	0
375	3
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	0
386	1
387	0
388	1
389	0
390	0
391	0
392	1
393	0
394	0
395	3
396	0
397	0
398	0
399	1
400	0
401	0
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	2
410	0
411	1
412	0
413	1
414	0
415	0
416	0
417	1
418	1
419	0
420	0
421	1
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	1
430	0
431	0
432	1
433	0
434	1
435	1
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	1
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	1
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
