n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	1
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	1
27	1
28	1
29	2
30	1
31	5
32	6
33	6
34	11
35	9
36	10
37	14
38	14
39	33
40	40
41	36
42	44
43	47
44	55
45	46
46	46
47	49
48	49
49	45
50	53
51	49
52	48
53	34
54	44
55	36
56	43
57	46
58	49
59	41
60	43
61	50
62	56
63	43
64	51
65	69
66	81
67	187
68	325
69	569
70	948
71	1457
72	2016
73	2481
74	2919
75	3029
76	2901
77	2815
78	2413
79	2193
80	1923
81	1623
82	1350
83	1032
84	762
85	568
86	390
87	294
88	198
89	150
90	77
91	46
92	27
93	21
94	14
95	8
96	3
97	4
98	2
99	10
100	3
101	5
102	13
103	15
104	13
105	10
106	18
107	17
108	15
109	22
110	16
111	23
112	22
113	15
114	22
115	16
116	10
117	14
118	10
119	12
120	19
121	24
122	16
123	17
124	14
125	13
126	26
127	20
128	32
129	33
130	17
131	28
132	15
133	16
134	15
135	13
136	15
137	19
138	21
139	20
140	23
141	25
142	13
143	26
144	16
145	10
146	10
147	7
148	7
149	5
150	10
151	2
152	4
153	5
154	3
155	1
156	3
157	3
158	2
159	2
160	5
161	1
162	5
163	3
164	2
165	3
166	3
167	3
168	4
169	0
170	2
171	2
172	3
173	2
174	1
175	0
176	1
177	0
178	2
179	4
180	2
181	1
182	0
183	3
184	0
185	5
186	2
187	4
188	3
189	2
190	1
191	0
192	0
193	1
194	1
195	1
196	4
197	1
198	2
199	1
200	4
201	4
202	0
203	0
204	0
205	2
206	0
207	2
208	0
209	4
210	4
211	0
212	0
213	1
214	0
215	2
216	3
217	1
218	1
219	1
220	3
221	1
222	2
223	2
224	0
225	0
226	3
227	3
228	0
229	0
230	3
231	0
232	2
233	1
234	0
235	2
236	1
237	2
238	2
239	0
240	1
241	1
242	3
243	0
244	1
245	2
246	1
247	0
248	2
249	1
250	4
251	2
252	4
253	1
254	0
255	1
256	1
257	0
258	1
259	0
260	2
261	0
262	2
263	1
264	2
265	0
266	1
267	0
268	0
269	0
270	1
271	0
272	1
273	1
274	1
275	2
276	0
277	1
278	1
279	1
280	0
281	1
282	1
283	1
284	0
285	0
286	2
287	1
288	0
289	1
290	0
291	1
292	1
293	1
294	0
295	0
296	1
297	1
298	0
299	0
300	0
301	0
302	1
303	0
304	0
305	0
306	0
307	0
308	0
309	2
310	0
311	0
312	1
313	1
314	1
315	0
316	0
317	0
318	1
319	0
320	0
321	1
322	0
323	1
324	0
325	0
326	1
327	0
328	1
329	0
330	3
331	0
332	0
333	0
334	0
335	2
336	0
337	0
338	1
339	2
340	2
341	0
342	0
343	0
344	0
345	1
346	0
347	2
348	1
349	2
350	0
351	0
352	0
353	0
354	1
355	0
356	1
357	0
358	0
359	0
360	0
361	0
362	0
363	2
364	0
365	0
366	1
367	1
368	0
369	1
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	1
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	1
390	1
391	0
392	0
393	0
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	1
407	1
408	2
409	1
410	0
411	0
412	0
413	0
414	0
415	1
416	1
417	0
418	0
419	0
420	1
421	0
422	1
423	0
424	1
425	0
426	0
427	0
428	0
429	1
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	1
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	1
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	1
507	0
508	0
509	0
510	0
511	0
