n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	1
33	0
34	0
35	0
36	1
37	1
38	3
39	3
40	1
41	8
42	2
43	2
44	7
45	5
46	3
47	4
48	6
49	5
50	3
51	3
52	4
53	5
54	3
55	5
56	5
57	5
58	2
59	6
60	0
61	7
62	4
63	6
64	7
65	8
66	5
67	3
68	5
69	3
70	11
71	3
72	3
73	8
74	5
75	4
76	6
77	5
78	9
79	3
80	8
81	8
82	9
83	6
84	15
85	9
86	17
87	24
88	26
89	27
90	35
91	34
92	26
93	20
94	19
95	12
96	11
97	11
98	16
99	9
100	11
101	12
102	12
103	19
104	13
105	11
106	14
107	17
108	17
109	15
110	21
111	14
112	14
113	19
114	30
115	28
116	26
117	44
118	54
119	50
120	53
121	45
122	68
123	36
124	55
125	78
126	69
127	108
128	166
129	272
130	343
131	462
132	597
133	664
134	746
135	629
136	486
137	417
138	346
139	295
140	205
141	147
142	102
143	67
144	48
145	69
146	74
147	138
148	194
149	265
150	329
151	433
152	445
153	457
154	454
155	397
156	371
157	290
158	261
159	216
160	145
161	90
162	90
163	53
164	40
165	21
166	30
167	17
168	31
169	25
170	22
171	28
172	30
173	39
174	37
175	39
176	51
177	51
178	45
179	29
180	26
181	29
182	27
183	21
184	21
185	16
186	11
187	3
188	4
189	4
190	2
191	1
192	1
193	1
194	0
195	3
196	2
197	2
198	1
199	1
200	2
201	3
202	0
203	2
204	0
205	4
206	0
207	1
208	2
209	1
210	3
211	2
212	2
213	1
214	4
215	0
216	4
217	1
218	1
219	1
220	2
221	2
222	0
223	1
224	4
225	1
226	1
227	1
228	1
229	0
230	0
231	1
232	0
233	2
234	1
235	1
236	0
237	0
238	1
239	0
240	1
241	1
242	2
243	2
244	4
245	7
246	3
247	6
248	2
249	3
250	3
251	4
252	9
253	3
254	3
255	3
256	1
257	1
258	4
259	2
260	0
261	1
262	0
263	0
264	2
265	1
266	1
267	1
268	2
269	0
270	0
271	1
272	2
273	0
274	0
275	1
276	0
277	0
278	0
279	1
280	0
281	0
282	1
283	0
284	1
285	0
286	0
287	0
288	0
289	1
290	0
291	0
292	0
293	0
294	0
295	3
296	1
297	2
298	0
299	0
300	0
301	1
302	0
303	1
304	1
305	0
306	1
307	0
308	0
309	1
310	0
311	0
312	0
313	1
314	0
315	0
316	0
317	0
318	0
319	1
320	1
321	1
322	1
323	0
324	0
325	0
326	2
327	1
328	1
329	1
330	1
331	0
332	0
333	1
334	1
335	0
336	1
337	0
338	1
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	1
347	0
348	1
349	1
350	0
351	0
352	0
353	0
354	1
355	0
356	0
357	0
358	1
359	0
360	0
361	0
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	0
370	1
371	0
372	1
373	0
374	1
375	0
376	1
377	0
378	0
379	0
380	0
381	1
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	1
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	1
398	0
399	0
400	1
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	0
419	0
420	0
421	1
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	1
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	1
490	0
491	0
492	0
493	1
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
