n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	1
27	1
28	1
29	2
30	1
31	2
32	3
33	1
34	8
35	5
36	5
37	9
38	9
39	9
40	12
41	20
42	12
43	13
44	5
45	21
46	14
47	15
48	10
49	15
50	9
51	13
52	14
53	19
54	16
55	14
56	14
57	14
58	17
59	16
60	16
61	17
62	15
63	11
64	23
65	9
66	22
67	14
68	14
69	12
70	15
71	21
72	15
73	28
74	17
75	21
76	22
77	17
78	18
79	17
80	18
81	21
82	19
83	28
84	20
85	15
86	21
87	23
88	24
89	29
90	21
91	15
92	22
93	29
94	22
95	32
96	27
97	28
98	32
99	31
100	45
101	33
102	39
103	44
104	38
105	45
106	52
107	45
108	57
109	71
110	59
111	78
112	77
113	74
114	76
115	67
116	69
117	65
118	72
119	72
120	86
121	84
122	90
123	111
124	134
125	159
126	178
127	228
128	228
129	322
130	442
131	780
132	1129
133	1749
134	2490
135	3011
136	3570
137	3458
138	3237
139	2797
140	2313
141	1857
142	1395
143	1058
144	801
145	569
146	472
147	425
148	405
149	459
150	481
151	515
152	412
153	318
154	307
155	238
156	157
157	127
158	74
159	51
160	21
161	24
162	7
163	4
164	6
165	6
166	6
167	3
168	7
169	4
170	4
171	2
172	2
173	2
174	3
175	3
176	2
177	6
178	2
179	1
180	4
181	2
182	4
183	5
184	3
185	1
186	2
187	2
188	2
189	3
190	2
191	1
192	3
193	1
194	4
195	6
196	7
197	12
198	8
199	10
200	8
201	13
202	8
203	15
204	12
205	17
206	9
207	6
208	7
209	6
210	5
211	10
212	7
213	4
214	3
215	7
216	8
217	5
218	5
219	2
220	4
221	4
222	4
223	4
224	2
225	4
226	1
227	4
228	4
229	1
230	3
231	1
232	7
233	1
234	2
235	0
236	2
237	3
238	2
239	1
240	5
241	0
242	1
243	2
244	6
245	5
246	4
247	3
248	1
249	2
250	5
251	3
252	5
253	1
254	3
255	0
256	3
257	5
258	2
259	9
260	0
261	4
262	2
263	4
264	2
265	1
266	0
267	1
268	3
269	2
270	6
271	0
272	2
273	1
274	0
275	2
276	1
277	0
278	0
279	0
280	0
281	0
282	1
283	0
284	0
285	2
286	2
287	0
288	1
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	3
297	0
298	1
299	0
300	1
301	1
302	1
303	0
304	0
305	0
306	0
307	2
308	0
309	1
310	1
311	0
312	0
313	0
314	0
315	0
316	2
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	1
326	0
327	0
328	0
329	0
330	0
331	0
332	1
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	1
362	1
363	0
364	0
365	1
366	0
367	0
368	1
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	1
377	0
378	0
379	0
380	0
381	0
382	1
383	1
384	1
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	1
396	0
397	0
398	0
399	1
400	0
401	0
402	1
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	0
413	1
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	1
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	1
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
