n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	1
27	1
28	0
29	0
30	0
31	1
32	1
33	1
34	4
35	2
36	3
37	3
38	3
39	5
40	3
41	6
42	8
43	5
44	2
45	7
46	5
47	6
48	5
49	7
50	6
51	5
52	8
53	4
54	4
55	4
56	8
57	4
58	2
59	2
60	5
61	8
62	9
63	5
64	5
65	5
66	9
67	3
68	2
69	6
70	4
71	3
72	3
73	10
74	4
75	5
76	6
77	3
78	6
79	5
80	14
81	7
82	4
83	2
84	6
85	7
86	9
87	6
88	12
89	7
90	7
91	9
92	7
93	8
94	11
95	9
96	8
97	12
98	13
99	16
100	25
101	18
102	19
103	30
104	39
105	29
106	26
107	26
108	21
109	20
110	28
111	14
112	22
113	22
114	21
115	19
116	22
117	28
118	30
119	25
120	38
121	34
122	37
123	39
124	45
125	55
126	71
127	72
128	61
129	87
130	83
131	74
132	69
133	54
134	55
135	54
136	43
137	53
138	47
139	74
140	63
141	48
142	60
143	49
144	47
145	33
146	29
147	18
148	23
149	30
150	22
151	35
152	31
153	25
154	29
155	18
156	23
157	23
158	25
159	17
160	10
161	13
162	13
163	8
164	11
165	8
166	5
167	6
168	10
169	16
170	8
171	7
172	15
173	18
174	19
175	21
176	35
177	28
178	41
179	23
180	11
181	21
182	28
183	14
184	28
185	17
186	14
187	7
188	10
189	10
190	4
191	7
192	12
193	12
194	6
195	11
196	9
197	12
198	12
199	5
200	7
201	9
202	10
203	12
204	10
205	7
206	27
207	14
208	13
209	17
210	14
211	15
212	10
213	13
214	11
215	14
216	17
217	14
218	13
219	12
220	17
221	19
222	18
223	11
224	10
225	9
226	6
227	14
228	20
229	15
230	24
231	29
232	58
233	99
234	162
235	273
236	415
237	545
238	714
239	788
240	770
241	717
242	583
243	518
244	398
245	295
246	204
247	125
248	86
249	43
250	24
251	17
252	9
253	11
254	3
255	3
256	5
257	5
258	7
259	7
260	13
261	14
262	44
263	49
264	85
265	101
266	115
267	109
268	114
269	100
270	79
271	70
272	52
273	28
274	33
275	16
276	12
277	7
278	1
279	2
280	0
281	3
282	2
283	0
284	2
285	0
286	0
287	0
288	0
289	2
290	0
291	1
292	0
293	0
294	0
295	1
296	1
297	0
298	0
299	0
300	1
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	2
309	0
310	2
311	0
312	0
313	0
314	0
315	1
316	0
317	0
318	1
319	0
320	1
321	0
322	0
323	0
324	1
325	1
326	1
327	0
328	1
329	3
330	0
331	0
332	0
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	1
344	0
345	0
346	0
347	0
348	0
349	1
350	0
351	0
352	0
353	0
354	0
355	1
356	0
357	0
358	0
359	1
360	0
361	0
362	0
363	1
364	0
365	0
366	0
367	0
368	0
369	1
370	0
371	0
372	1
373	0
374	0
375	1
376	0
377	0
378	0
379	0
380	1
381	0
382	0
383	0
384	0
385	1
386	0
387	0
388	0
389	2
390	0
391	1
392	2
393	0
394	0
395	1
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	1
405	0
406	0
407	1
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	1
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	1
447	0
448	0
449	0
450	0
451	0
452	2
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	1
506	0
507	0
508	0
509	0
510	0
511	0
