x	y	z
-3.694	-2.921	1.053410198
-3.522	-4.467	1.504719597
-4.982	-2.577	1.465655367
3.351	-5.241	1.776981022
3.866	-3.608	1.312100601
4.983	-3.522	1.714724623
5.67	3.694	2.074540819
3.952	3.608	1.341779755
3.78	5.068	1.831019567
-2.921	5.326	1.700363969
-3.006	3.694	1.076175874
-4.553	3.78	1.619733603
-6.013	2.749	1.988042793
-7.216	0.773	2.35589677
-6.185	-1.375	1.838279013
-2.233	-6.185	1.968312914
-0.172	-7.216	2.332892605
2.062	-6.529	2.11939293
7.13	-2.148	2.467991177
7.904	0.086	2.746788301
7.13	2.577	2.549017053
2.577	6.786	2.356808852
0.602	7.474	2.498923154
-1.632	6.958	2.291346061
-4.982	6.099	2.728634059
-5.755	-5.069	2.60217386
5.67	-5.842	2.894877433
6.185	5.841	3.129032942
5.326	10.051	5.145589358
0.773	13.315	6.669935633
-4.209	10.223	4.907226771
-9.192	5.67	4.718755518
-12.714	1.031	6.208292847
-9.879	-4.038	4.625323415
-5.326	-9.45	4.753602136
-0.601	-13.144	6.526522229
4.811	-10.137	5.030119427
10.223	-5.241	5.230817772
13.659	-0.172	6.929201546
10.309	4.896	5.173868887
-6.185	12.113	6.881320861
-7.817	13.573	8.583105715
-12.198	9.621	8.475790781
-10.996	7.903	6.833580279
-18.813	7.645	12.63570176
-23.194	1.374	15.29524683
-19.672	-5.069	12.64248981
-13.487	-7.904	8.557273102
-11.941	-6.271	6.790262714
-7.731	-19.673	13.38365433
6.1	-20.961	14.01194538
-9.192	-12.371	8.372112154
-7.645	-11.254	6.884861296
6.959	-12.199	7.240744821
8.677	-13.745	9.084427002
13.488	-9.45	9.267294673
12.027	-7.56	7.372458922
17.01	-8.419	11.45273085
20.618	-7.474	14.10316577
12.543	-3.179	6.353375493
10.567	-1.547	4.630608258
20.274	6.271	13.45976379
24.569	-0.516	16.53115182
13.659	8.59	8.983055102
12.285	6.958	7.301300211
7.56	7.302	4.507680862
8.934	8.504	5.878739623
7.56	11.941	7.313032115
9.364	13.057	8.925373048
3.694	12.113	6.13599718
2.062	10.394	4.570074811
-0.859	10.394	4.448983251
-2.319	12.198	5.942677473
-6.529	7.474	4.088595281
-7.731	8.934	5.478524381
-11.425	3.951	5.688882242
-9.535	2.147	3.983055246
-9.621	-0.516	3.886320499
-12.027	-1.976	5.765573412
2.749	-12.371	6.143067924
-3.35	-11.683	5.738964038
10.739	1.374	4.738181604
12.714	3.092	6.468341143
-8.762	-7.732	5.380392323
-7.302	-6.357	3.918715925
7.216	-7.474	4.419824271
8.591	-8.849	5.877974745
