 	Area	Mean	Min	Max	X	Y
1	0.000	31	31	31	30.840	24.741
2	0.000	36	36	36	31.012	23.195
3	0.000	40	40	40	29.552	25.085
4	0.000	30	30	30	37.885	22.421
5	0.000	30	30	30	38.400	24.054
6	0.000	33	33	33	39.517	24.140
7	0.000	44	44	44	40.204	31.356
8	0.000	24	24	24	38.486	31.270
9	0.000	36	36	36	38.314	32.730
10	0.000	35	35	35	31.613	32.988
11	0.000	28	28	28	31.528	31.356
12	0.000	43	43	43	29.981	31.442
13	0.000	25	25	25	28.521	30.411
14	0.000	33	33	33	27.318	28.435
15	0.000	34	34	34	28.349	26.287
16	0.000	31	31	31	32.301	21.477
17	0.000	25	25	25	34.362	20.446
18	0.000	30	30	30	36.596	21.133
19	0.000	32	32	32	41.664	25.514
20	0.000	32	32	32	42.438	27.748
21	0.000	37	37	37	41.664	30.239
22	0.000	31	31	31	37.111	34.448
23	0.000	28	28	28	35.136	35.136
24	0.000	30	30	30	32.902	34.620
25	0.000	29	29	29	29.552	33.761
26	0.000	30	30	30	28.779	22.593
27	0.000	28	28	28	40.204	21.820
28	0.000	28	28	28	40.719	33.503
29	0.000	39	39	39	39.860	37.713
30	0.000	40	40	40	35.307	40.977
31	0.000	35	35	35	30.325	37.885
32	0.000	37	37	37	25.342	33.332
33	0.000	45	45	45	21.820	28.693
34	0.000	38	38	38	24.655	23.624
35	0.000	36	36	36	29.208	18.212
36	0.000	48	48	48	33.933	14.518
37	0.000	31	31	31	39.345	17.525
38	0.000	33	33	33	44.757	22.421
39	0.000	50	50	50	48.193	27.490
40	0.000	41	41	41	44.843	32.558
41	0.000	76	76	76	28.349	39.775
42	0.000	87	87	87	26.717	41.235
43	0.000	85	85	85	22.336	37.283
44	0.000	114	114	114	23.538	35.565
45	0.000	91	91	91	15.721	35.307
46	0.000	106	106	106	11.340	29.036
47	0.000	115	115	115	14.862	22.593
48	0.000	93	93	93	21.047	19.758
49	0.000	87	87	87	22.593	21.391
50	0.000	114	114	114	26.803	7.989
51	0.000	125	125	125	40.634	6.701
52	0.000	108	108	108	25.342	15.291
53	0.000	107	107	107	26.889	16.408
54	0.000	88	88	88	41.493	15.463
55	0.000	78	78	78	43.211	13.917
56	0.000	75	75	75	48.022	18.212
57	0.000	107	107	107	46.561	20.102
58	0.000	113	113	113	51.544	19.243
59	0.000	75	75	75	55.152	20.188
60	0.000	126	126	126	47.077	24.483
61	0.000	81	81	81	45.101	26.115
62	0.000	119	119	119	54.808	33.933
63	0.000	143	143	143	59.103	27.146
64	0.000	141	141	141	48.193	36.252
65	0.000	166	166	166	46.819	34.620
66	0.000	133	133	133	42.094	34.964
67	0.000	166	166	166	43.468	36.166
68	0.000	191	191	191	42.094	39.603
69	0.000	133	133	133	43.898	40.719
70	0.000	143	143	143	38.228	39.775
71	0.000	115	115	115	36.596	38.056
72	0.000	93	93	93	33.675	38.056
73	0.000	101	101	101	32.215	39.860
74	0.000	85	85	85	28.005	35.136
75	0.000	115	115	115	26.803	36.596
76	0.000	132	132	132	23.109	31.613
77	0.000	122	122	122	24.999	29.809
78	0.000	134	134	134	24.913	27.146
79	0.000	128	128	128	22.507	25.686
80	0.000	102	102	102	37.283	15.291
81	0.000	106	106	106	31.184	15.979
82	0.000	125	125	125	45.273	29.036
83	0.000	140	140	140	47.248	30.754
84	0.000	106	106	106	25.772	19.930
85	0.000	78	78	78	27.232	21.305
86	0.000	76	76	76	41.750	20.188
87	0.000	102	102	102	43.125	18.813
88	0.000	19	19	19	34.534	27.662
