t	yraw	my	y	dy
2.00E-03	8.50E+00	0.215	8.29E+00	0.219462
3.70E-03	7.50E+00	0.215	7.29E+00	0.219462
5.75E-03	6.69E+00	0.215	6.48E+00	0.219462
7.60E-03	5.94E+00	0.215	5.73E+00	0.219462
0.00975	5.31E+00	0.215	5.10E+00	0.219462
0.0118	4.94E+00	0.215	4.73E+00	0.219462
0.01405	4.38E+00	0.215	4.17E+00	0.219462
0.0158	3.94E+00	0.215	3.73E+00	0.219462
0.01775	3.56E+00	0.215	3.35E+00	0.219462
0.01965	3.25E+00	0.215	3.04E+00	0.219462
0.02155	3.00E+00	0.215	2.79E+00	0.219462
0.02375	2.81E+00	0.215	2.60E+00	0.219462
0.02535	2.50E+00	0.215	2.29E+00	0.219462
0.02815	2.44E+00	0.215	2.23E+00	0.219462
0.02945	2.13E+00	0.215	1.92E+00	0.219462
0.0319	2.06E+00	0.215	1.85E+00	0.219462
0.0336	1.88E+00	0.215	1.67E+00	0.219462
0.03545	1.75E+00	0.215	1.54E+00	0.219462
0.0377	1.56E+00	0.215	1.35E+00	0.219462
0.0398	1.50E+00	0.215	1.29E+00	0.219462
