t	yraw	my	y	dy
0.0019	8.57E+00	2.17E-01	8.35E+00	0.221745
0.00375	7.57E+00	2.17E-01	7.35E+00	0.221745
0.0058	6.76E+00	2.17E-01	6.54E+00	0.221745
0.0079	6.14E+00	2.17E-01	5.92E+00	0.221745
0.01	5.51E+00	2.17E-01	5.29E+00	0.221745
0.01195	5.01E+00	2.17E-01	4.79E+00	0.221745
0.014	4.64E+00	2.17E-01	4.42E+00	0.221745
0.01605	4.26E+00	2.17E-01	4.04E+00	0.221745
0.0181	3.89E+00	2.17E-01	3.67E+00	0.221745
0.01985	3.57E+00	2.17E-01	3.35E+00	0.221745
0.0219	3.39E+00	2.17E-01	3.17E+00	0.221745
0.02395	3.14E+00	2.17E-01	2.92E+00	0.221745
0.02605	3.01E+00	2.17E-01	2.79E+00	0.221745
0.02785	2.70E+00	2.17E-01	2.48E+00	0.221745
0.03	2.57E+00	2.17E-01	2.35E+00	0.221745
0.0318	2.45E+00	2.17E-01	2.23E+00	0.221745
0.0339	2.32E+00	2.17E-01	2.10E+00	0.221745
0.0359	2.14E+00	2.17E-01	1.92E+00	0.221745
0.038	2.07E+00	2.17E-01	1.85E+00	0.221745
0.04	1.89E+00	2.17E-01	1.67E+00	0.221745
