num	tau	y	dy
106	10	-3.68625	0.230609
107	20	-0.63	0.224249
108	30	1.38	0.223894
109	40	2.8275	0.215456
110	50	3.895	0.210162
111	60	3.94375	0.223883
112	70	5.31375	0.227807
113	80	5.8225	0.218808
114	90	6.26	0.22026
115	100	6.50875	0.219909
116	110	6.74875	0.231299
117	120	6.93625	0.229916
118	130	7.13	0.224605
120	140	7.18875	0.228157
121	150	7.3125	0.230945
122	160	7.37125	0.231662
125	170	8.56563	0.211298
126	180	8.55625	0.212303
127	190	0.265625	0.224672
128	200	0.29375	0.203046
129	250	0.3	0.187863
130	300	0.259375	0.224554
131	350	0.290625	0.199275
132	400	0.25625	0.244672
133	450	0.296875	0.194325
134	500	0.28125	0.212417
135	550	0.28125	0.207673
136	600	0.28125	0.210059
137	450	7.94375	0.210171
138	500	8.08437	0.208693
139	550	8.0875	0.214637
140	600	8.0875	0.22373
