A_len/mus    Ampl/V   In-Phase/V
0.500000   2.981250   0.456250
1.000000   5.575000   0.862500
1.500000   7.462500   1.143750
2.000000   8.525000   1.300000
2.500000   8.775000   1.362500
3.000000   8.150000   1.237500
3.500000   6.837500   1.018750
4.000000   4.900000   0.737500
4.500000   2.587500   0.425000
5.000000   0.404375   -0.012500
5.500000   2.981250   -0.356250
6.000000   5.262500   -0.731250
6.500000   7.075000   -1.012500
7.000000   7.168750   -1.137500
7.500000   7.168750   -1.200000
8.000000   8.212500   -1.200000
8.500000   6.962500   -0.981250
9.000000   5.150000   -0.668750
9.500000   2.400000   -0.293750
10.000000   1.337500   0.175000
10.500000   4.087500   0.612500
11.000000   6.337500   0.956250
11.500000   7.900000   1.206250
12.000000   8.587500   1.331250
