num	tau	y	dy	ymax	my
76	10	3.1725	0.245114	3.4125	0.24
77	10	3.12375	0.229222	3.35	0.22625
78	20	4.635	0.218808	4.85	0.215
79	40	6.56625	0.22497	6.7875	0.22125
80	50	7.18625	0.229916	7.4125	0.22625
81	60	7.50625	0.222812	7.725	0.21875
82	70	7.81	0.231309	8.0375	0.2275
83	80	8.12375	0.230954	8.35	0.22625
86	90	8.11875	0.235096	8.35	0.23125
87	100	8.375	0.229907	8.6	0.225
88	110	8.4425	0.224959	8.6625	0.22
89	120	8.56375	0.227807	8.7875	0.22375
90	120	8.56875	0.225303	8.7875	0.21875
91	140	8.7475	0.231653	8.975	0.2275
92	150	8.6825	0.234408	8.9125	0.23
93	160	8.7525	0.228496	8.975	0.2225
94	170	8.4975	0.23234	8.725	0.2275
95	180	8.51	0.220622	8.725	0.215
96	190	8.56	0.233709	8.7875	0.2275
97	200	8.575	0.219149	8.7875	0.2125
98	250	8.67875	0.238814	8.9125	0.23375
99	300	8.68375	0.232006	8.9125	0.22875
100	350	8.63625	0.21916	8.85	0.21375
101	400	8.81125	0.229916	9.0375	0.22625
102	450	8.07125	0.221714	8.2875	0.21625
103	500	8.12375	0.231299	8.35	0.22625
104	550	8.13125	0.224239	8.35	0.21875
105	600	8.07875	0.213586	8.2875	0.20875
