Schwelle	D12	ODER	Z25	Koinzidenzen	Koinzidenzen/Z25
-50	4384	14259	14639	122	0.008333903
-60	3631	14225	14526	128	0.008811786
-70	3181	14401	14642	121	0.008263898
-80	2773	14517	14848	92	0.006196121
-90	2322	14701	15644	108	0.006903605
-100	2024	14425	15026	82	0.005457208
-110	1649	14488	15122	67	0.004430631
-120	1551	14479	15370	65	0.004229018
-130	1339	14618	15239	61	0.004002887
-140	1286	14424	15481	66	0.00426329
-150	1129	14291	14912	45	0.003017704
-160	1028	14641	14964	50	0.003341353
-170	922	14583	14668	45	0.003067903
-180	823	14595	14834	36	0.002426857
-190	725	14567	15234	36	0.002363135
-200	679	14571	14761	26	0.001761398
-210	605	14527	14916	37	0.002480558
-220	545	14649	15183	21	0.001383126
-230	483	14591	14850	20	0.001346801
-240	450	14652	14996	24	0.001600427
-250	366	14678	14807	15	0.001013034
