n	t	angle	dangle	count	dcount	cos^2	dcos^2
0	1126731	0	7.5	6694	1239	1	0
1	1126731	15	7.5	8357	1239	0.933012702	0.065449847
2	1126731	30	7.5	7928	1239	0.75	0.11336246
3	1126731	45	7.5	4444	1239	0.5	0.130899694
4	1126731	60	7.5	1588	1239	0.25	0.11336246
5	1126731	75	7.5	345	1239	0.066987298	0.065449847
6	1126731	90	7.5	6	1239	3.75247E-33	1.60372E-17
7	1126731	-75	7.5	582	1239	0.066987298	-0.065449847
8	1126731	-60	7.5	2379	1239	0.25	-0.11336246
10	1126731	-30	7.5	7302	1239	0.75	-0.11336246
11	1126731	-15	7.5	5491	1239	0.933012702	-0.065449847
