schwelle*10/V   k_mess  k_mon   z2_mess z2_mon
0.499           1011    493     2257    870
0.550           875     399     2006    799
0.606           835     487     1757    868
0.649           623     407     1318    745
0.699           594     417     1150    767
0.749           475     410     939     795
0.798           384     417     675     770
0.850           272     397     471     759
0.901           170     412     272     776
0.951           101     414     170     811
0.999           75      434     107     765
1.048           27      449     58      833
1.102           14      465     25      874
