n	elem	energy	a	da	b	db	hwhm	dhwhm	s	ds
1	cs	661.66	32170.2	795.601	3316.94	0.0701472	4.21253	0.063701	3.57752017	0.054098514
2	co	1173.2	1595.51	0	5899.82	0	5.18011	0	4.399244161	0
3	co	1332.5	1427	62.767	6704	0.150789	4.5	0.142761	3.821656051	0.121240764
4	eu	121.78	56415.2	11931.5	591.791	0.570587	3.93037	0.567304	3.337893843	0.481786837
5	eu	244.6989	10943.6	5376.39	1212.87	1.45555	4.05715	1.48771	3.445562633	1.263447983
6	eu	344.281	25548.5	7566.83	1715.21	0.897127	4.34835	0.873962	3.692866242	0.742218259
7	eu	778.903	4691.49	3071.81	3908	2.43005	5	2.43884	4.246284501	2.071201699
8	eu	964.131	4056	2667.21	4843	2.64449	5.5	2.63381	4.670912951	2.236781316
9	eu	1085.914	2527	2132.85	5458	3.49824	5.5	3.57079	4.670912951	3.032518047
10	eu	1112.116	3121	2389.41	5590	3.15942	5.5	3.15472	4.670912951	2.679167728
11	eu	1408.011	3655	2360.92	7084	2.82082	6	2.72541	5.095541401	2.314573248
