bin	untergrund	erde	dunter	derde	cerde	dcerde	cerdem
0	0	0	1	1	0	1.414213562	0
1	0	0	1	1	0	1.414213562	0
2	0	0	1	1	0	1.414213562	0
3	0	0	1	1	0	1.414213562	0
4	0	0	1	1	0	1.414213562	0
5	0	0	1	1	0	1.414213562	0
6	0	0	1	1	0	1.414213562	0
7	0	0	1	1	0	1.414213562	0
8	0	0	1	1	0	1.414213562	0
9	0	0	1	1	0	1.414213562	0
10	0	0	1	1	0	1.414213562	0
11	0	0	1	1	0	1.414213562	0
12	0	0	1	1	0	1.414213562	0
13	0	0	1	1	0	1.414213562	0
14	0	0	1	1	0	1.414213562	0
15	0	0	1	1	0	1.414213562	0
16	0	0	1	1	0	1.414213562	0
17	0	0	1	1	0	1.414213562	0
18	0	0	1	1	0	1.414213562	0
19	0	0	1	1	0	1.414213562	0
20	0	0	1	1	0	1.414213562	0
21	0	0	1	1	0	1.414213562	0
22	0	0	1	1	0	1.414213562	0
23	0	0	1	1	0	1.414213562	0
24	0	0	1	1	0	1.414213562	0
25	0	0	1	1	0	1.414213562	0
26	0	0	1	1	0	1.414213562	0
27	0	0	1	1	0	1.414213562	0
28	0	0	1	1	0	1.414213562	0
29	0	0	1	1	0	1.414213562	0
30	0	0	1	1	0	1.414213562	0
31	0	0	1	1	0	1.414213562	0
32	0	0	1	1	0	1.414213562	0
33	0	0	1	1	0	1.414213562	0
34	0	0	1	1	0	1.414213562	0
35	0	0	1	1	0	1.414213562	0
36	0	0	1	1	0	1.414213562	0
37	0	0	1	1	0	1.414213562	0
38	0	0	1	1	0	1.414213562	0
39	0	0	1	1	0	1.414213562	0
40	0	0	1	1	0	1.414213562	0
41	0	0	1	1	0	1.414213562	0
42	0	0	1	1	0	1.414213562	0
43	0	0	1	1	0	1.414213562	0
44	0	0	1	1	0	1.414213562	0
45	0	0	1	1	0	1.414213562	0
46	0	0	1	1	0	1.414213562	0
47	0	0	1	1	0	1.414213562	0
48	0	0	1	1	0	1.414213562	0
49	3	4	1.732050808	2	1	2.645751311	1
