bin	untergrund	cs	co	eu	dunter	dcs	dco	deu	ccs	cco	ceu	dccs	dcco	dceu
0	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
1	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
2	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
3	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
4	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
5	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
6	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
7	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
8	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
9	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
10	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
11	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
12	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
13	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
14	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
15	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
16	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
17	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
18	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
19	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
20	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
21	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
22	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
23	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
24	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
25	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
26	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
27	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
28	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
29	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
30	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
31	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
32	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
33	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
34	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
35	0	0	0	0	1	1	1	1	0	0	0	1.414213562	1.414213562	1.414213562
