bin	untergrund	cs	co	eu	dunter	dcs	dco	deu	ccs	cco	ceu	dccs	dcco	dceu
0	0	98	7	464	1	9.899494937	2.645751311	21.54065923	98	7	464	9.949874371	2.828427125	21.56385865
1	0	5	0	30	1	2.236067977	1	5.477225575	5	0	30	2.449489743	1.414213562	5.567764363
2	0	5	0	34	1	2.236067977	1	5.830951895	5	0	34	2.449489743	1.414213562	5.916079783
3	0	5	0	39	1	2.236067977	1	6.244997998	5	0	39	2.449489743	1.414213562	6.32455532
4	0	8	0	49	1	2.828427125	1	7	8	0	49	3	1.414213562	7.071067812
5	0	18	1	52	1	4.242640687	1	7.211102551	18	1	52	4.358898944	1.414213562	7.280109889
6	0	12	0	39	1	3.464101615	1	6.244997998	12	0	39	3.605551275	1.414213562	6.32455532
7	0	3	0	54	1	1.732050808	1	7.348469228	3	0	54	2	1.414213562	7.416198487
8	0	13	1	57	1	3.605551275	1	7.549834435	13	1	57	3.741657387	1.414213562	7.615773106
9	0	14	0	63	1	3.741657387	1	7.937253933	14	0	63	3.872983346	1.414213562	8
10	0	15	1	76	1	3.872983346	1	8.717797887	15	1	76	4	1.414213562	8.774964387
11	0	4	0	65	1	2	1	8.062257748	4	0	65	2.236067977	1.414213562	8.124038405
12	0	15	2	74	1	3.872983346	1.414213562	8.602325267	15	2	74	4	1.732050808	8.660254038
13	0	11	1	97	1	3.31662479	1	9.848857802	11	1	97	3.464101615	1.414213562	9.899494937
14	0	13	1	100	1	3.605551275	1	10	13	1	100	3.741657387	1.414213562	10.04987562
15	0	17	2	114	1	4.123105626	1.414213562	10.67707825	17	2	114	4.242640687	1.732050808	10.72380529
16	0	19	1	120	1	4.358898944	1	10.95445115	19	1	120	4.472135955	1.414213562	11
17	0	13	0	117	1	3.605551275	1	10.81665383	13	0	117	3.741657387	1.414213562	10.86278049
18	0	22	0	115	1	4.69041576	1	10.72380529	22	0	115	4.795831523	1.414213562	10.77032961
19	0	17	1	135	1	4.123105626	1	11.61895004	17	1	135	4.242640687	1.414213562	11.66190379
20	0	22	1	151	1	4.69041576	1	12.28820573	22	1	151	4.795831523	1.414213562	12.32882801
21	0	13	0	171	1	3.605551275	1	13.07669683	13	0	171	3.741657387	1.414213562	13.11487705
22	0	18	0	189	1	4.242640687	1	13.74772708	18	0	189	4.358898944	1.414213562	13.78404875
23	0	19	1	150	1	4.358898944	1	12.24744871	19	1	150	4.472135955	1.414213562	12.28820573
24	0	16	1	194	1	4	1	13.92838828	16	1	194	4.123105626	1.414213562	13.96424004
25	0	26	0	185	1	5.099019514	1	13.60147051	26	0	185	5.196152423	1.414213562	13.6381817
26	0	21	0	169	1	4.582575695	1	13	21	0	169	4.69041576	1.414213562	13.03840481
27	0	30	0	206	1	5.477225575	1	14.35270009	30	0	206	5.567764363	1.414213562	14.38749457
28	0	15	0	244	1	3.872983346	1	15.62049935	15	0	244	4	1.414213562	15.65247584
29	0	26	0	275	1	5.099019514	1	16.58312395	26	0	275	5.196152423	1.414213562	16.61324773
30	0	28	4	356	1	5.291502622	2	18.86796226	28	4	356	5.385164807	2.236067977	18.89444363
31	0	31	0	454	1	5.567764363	1	21.30727575	31	0	454	5.656854249	1.414213562	21.33072901
32	0	22	1	469	1	4.69041576	1	21.65640783	22	1	469	4.795831523	1.414213562	21.67948339
33	0	26	0	517	1	5.099019514	1	22.737634	26	0	517	5.196152423	1.414213562	22.75961335
34	0	30	1	494	1	5.477225575	1	22.22611077	30	1	494	5.567764363	1.414213562	22.24859546
35	0	35	0	457	1	5.916079783	1	21.37755833	35	0	457	6	1.414213562	21.40093456
36	0	22	3	440	1	4.69041576	1.732050808	20.97617696	22	3	440	4.795831523	2	21
37	0	23	1	499	1	4.795831523	1	22.3383079	23	1	499	4.898979486	1.414213562	22.36067977
38	0	24	1	520	1	4.898979486	1	22.8035085	24	1	520	5	1.414213562	22.82542442
39	0	26	2	543	1	5.099019514	1.414213562	23.3023604	26	2	543	5.196152423	1.732050808	23.32380758
40	0	31	2	587	1	5.567764363	1.414213562	24.22808288	31	2	587	5.656854249	1.732050808	24.24871131
41	0	31	1	710	1	5.567764363	1	26.64582519	31	1	710	5.656854249	1.414213562	26.66458325
42	0	25	1	854	1	5	1	29.22327839	25	1	854	5.099019514	1.414213562	29.24038303
43	0	33	0	1125	1	5.744562647	1	33.54101966	33	0	1125	5.830951895	1.414213562	33.55592347
44	0	37	1	1152	1	6.08276253	1	33.9411255	37	1	1152	6.164414003	1.414213562	33.95585369
45	0	40	1	1238	1	6.32455532	1	35.18522417	40	1	1238	6.403124237	1.414213562	35.19943181
46	0	35	0	1312	1	5.916079783	1	36.22154055	35	0	1312	6	1.414213562	36.23534186
47	0	33	1	1358	1	5.744562647	1	36.85105155	33	1	1358	5.830951895	1.414213562	36.86461718
48	0	35	2	1383	1	5.916079783	1.414213562	37.18870796	35	2	1383	6	1.732050808	37.20215048
49	0	54	1	1547	1	7.348469228	1	39.33192088	54	1	1547	7.416198487	1.414213562	39.34463115
