n	t	UB	dUB	Uboffset	dUBoffset	N	dN	Nunten	dNunten	Nreal	dNreal	Breal	dBreal	eta	deta	eps	deps	ys	dys	beta	dbeta	etaz	detaz	fermi	dfermi	y	dy	y2	dy2
1	40	4.9	0.1	7.03	0.09	41	6.403124237	51.8	3.218695388	0	7.166589147	2.13	0.13453624	0.028116	0.001775878	1.000395177	4.99109E-05	0	0	0.028104894	0.001775177	-2.597152715	0.16404285	1.33564E-06	6.03968E-07	0	0	0	0
2	40	-4	0.1	7.03	0.09	46	6.782329983	51.8	3.218695388	0	7.507329752	11.03	0.13453624	0.145596	0.001775878	1.010543515	0.000255863	0	0	0.144076923	0.001757728	-0.506623124	0.006180766	0.137658179	0.001109144	0	0	0	0
3	40	-12.1	0.1	7.03	0.09	42	6.480740698	51.8	3.218695388	0	7.236021006	19.13	0.13453624	0.252516	0.001775878	1.031389514	0.00043479	0	0	0.244830878	0.001724921	-0.298135192	0.00210047	0.340011209	0.00025542	0	0	0	0
4	40	-20.2	0.1	7.03	0.09	73	8.544003745	51.8	3.218695388	21.2	9.130169768	27.23	0.13453624	0.359436	0.001775878	1.062635515	0.00060069	7.450149382	1.604378852	0.338249564	0.001682104	-0.215795402	0.001073144	0.470762506	0.00020292	10.85835529	2.338332216	2.080847376	0.448137169
5	40	-28.1	0.1	7.03	0.09	88	9.38083152	51.8	3.218695388	36.2	9.917661015	35.13	0.13453624	0.463716	0.001775878	1.102285139	0.000747087	8.415526047	1.152910826	0.420686067	0.001636124	-0.173508719	0.000674807	0.552040706	0.000384066	11.32649969	1.551713598	1.910982203	0.261827289
6	40	-36.2	0.1	7.03	0.09	90	9.486832981	51.8	3.218695388	38.2	10.01798383	43.23	0.13453624	0.570636	0.001775878	1.151358087	0.000880161	7.625123642	0.99992236	0.495619917	0.001588273	-0.14727556	0.000471962	0.607679669	0.000454675	9.781591841	1.282716538	1.487705331	0.195105112
7	40	-44	0.1	7.03	0.09	171	13.07669683	51.8	3.218695388	119.2	13.4669967	51.03	0.13453624	0.673596	0.001775878	1.205707913	0.000992135	12.11482995	0.684560054	0.558672621	0.001542967	-0.1306538	0.000360846	0.645077576	0.000475689	15.0838203	0.852343838	2.111536367	0.119349384
8	40	-52.1	0.1	7.03	0.09	199	14.10673598	51.8	3.218695388	147.2	14.4692778	59.13	0.13453624	0.780516	0.001775878	1.268544531	0.001092671	12.19298786	0.599448899	0.615284668	0.001496895	-0.118632406	0.000288615	0.673182597	0.000476117	14.86085173	0.730629093	1.93259015	0.095040619
9	40	-60.2	0.1	7.03	0.09	232	15.23154621	51.8	3.218695388	180.2	15.56791572	67.23	0.13453624	0.887436	0.001775878	1.336990147	0.001178751	12.3238036	0.532512168	0.663756574	0.001451464	-0.109969081	0.000240474	0.693993958	0.000466695	14.79336334	0.63924132	1.804202866	0.077982953
10	40	-68	0.1	7.03	0.09	246	15.68438714	51.8	3.218695388	194.2	16.01124605	75.03	0.13453624	0.990396	0.001775878	1.407438893	0.001249662	11.80335312	0.486719971	0.703686679	0.001408001	-0.103728979	0.00020755	0.709275704	0.000453412	14.01515349	0.577942552	1.618006959	0.066737482
