n	t	UB	dUB	Uboffset	dUBoffset	N	dN	Nunten	dNunten	Nreal	dNreal	Breal	dBreal	eta	deta	eps	deps	ys	dys	beta	dbeta	etaz	detaz	fermi	dfermi	y	dy	y2	dy2
	40	10	0.1	7.03	0.09	60	7.745966692	51.8	3.218695388	8.2	8.38808679	2.97	0.13453624	0.03861	0.001748971	1.000745088	6.74775E-05	348.4702489	178.4062944	0.038581254	0.001747671	38.59519735	1.748302527	242.5007769	10.98490875	22.37737492	0.506836229	12.98466991	0.415912132
	40	18	0.1	7.03	0.09	45	6.708203932	51.8	3.218695388	0	7.440430095	10.97	0.13453624	0.14261	0.001748971	1.010117623	0.000246923	0	0	0.141181578	0.001731797	10.54706369	0.129375036	66.26915559	0.812887323	0	0	0	0
		26	0.1	7.03	0.09	50	7.071067812	51.8	3.218695388	0	7.76916984	18.97	0.13453624	0.24661	0.001748971	1.029959461	0.000418768	0	0	0.239436608	0.001700885	6.218978402	0.044177744	39.07499372	0.277576953	0	0	0	0
		32.1	0.1	7.03	0.09	44	6.633249581	51.8	3.218695388	0	7.372923436	25.07	0.13453624	0.32591	0.001748971	1.051768667	0.000541951	0	0	0.30986852	0.001670534	4.805428752	0.02590657	30.19339933	0.162775783	0	0	0	0
		40.1	0.1	7.03	0.09	36	6	51.8	3.218695388	0	6.808817812	33.07	0.13453624	0.42991	0.001748971	1.088495571	0.00069077	0	0	0.394957969	0.00162621	3.77015078	0.015523316	23.68855599	0.097535869	0	0	0	0
		48.1	0.1	7.03	0.09	47	6.8556546	51.8	3.218695388	0	7.573638492	41.07	0.13453624	0.53391	0.001748971	1.13360482	0.000823738	0	0	0.470984236	0.001580344	3.161573109	0.010608363	19.86474975	0.066654309	0	0	0	0
		56.2	0.1	7.03	0.09	54	7.348469228	51.8	3.218695388	2.2	8.022468448	49.17	0.13453624	0.63921	0.001748971	1.1868401	0.000941963	44.36068464	80.88234125	0.538581398	0.001534381	2.764765181	0.007876624	17.37153246	0.049490279	10.64337035	0.130107123	1.517850752	0.018670409
		64.3	0.1	7.03	0.09	84	9.16515139	51.8	3.218695388	32.2	9.713907556	57.27	0.13453624	0.74451	0.001748971	1.246713736	0.001044447	157.2538722	23.72052455	0.597177988	0.001489403	2.493479542	0.006218911	15.66699648	0.039074529	39.72907698	0.158799101	5.24982569	0.02187108
		72.4	0.1	7.03	0.09	133	11.53256259	51.8	3.218695388	81.2	11.97330364	65.37	0.13453624	0.84981	0.001748971	1.31231743	0.001132571	233.7360907	17.23469024	0.647564363	0.00144517	2.29946424	0.005131716	14.4479676	0.032243417	61.49253494	0.183663572	7.605594277	0.024026533
		80	0.1	7.03	0.09	200	14.14213562	51.8	3.218695388	148.2	14.50379261	72.97	0.13453624	0.94861	0.001748971	1.378354429	0.001203676	298.8745482	14.62805728	0.688219213	0.001404018	2.16362907	0.004413964	13.59449934	0.027733555	81.06013519	0.204150843	9.489321276	0.025449651
		88.1	0.1	7.03	0.09	221	14.86606875	51.8	3.218695388	169.2	15.21052267	81.07	0.13453624	1.05391	0.001748971	1.452833882	0.001268733	302.9752112	13.62119939	0.725416727	0.001360342	2.052683704	0.003849307	12.89742439	0.024185579	84.36369667	0.216928585	9.369696315	0.0253161
		96.3	0.1	7.03	0.09	217	14.73091986	51.8	3.218695388	165.2	15.07846146	89.27	0.13453624	1.16051	0.001748971	1.531921493	0.001324936	285.2917796	13.02221717	0.757551876	0.00131633	1.96560941	0.003415463	12.35034162	0.021459509	81.18013566	0.226806744	8.592054148	0.024862865
		104	0.1	7.03	0.09	260	16.1245155	51.8	3.218695388	208.2	16.44262753	96.97	0.13453624	1.26061	0.001748971	1.609079728	0.001370206	307.2972464	12.13700159	0.783435387	0.001275343	1.900668669	0.003094071	11.9423312	0.019439994	88.92300144	0.237976416	9.030159375	0.024965259
		112	0.1	7.03	0.09	202	14.2126704	51.8	3.218695388	150.2	14.57257699	104.97	0.13453624	1.36461	0.001748971	1.691792083	0.001410731	250.8645944	12.17109716	0.80660621	0.001233342	1.846069466	0.002822735	11.59930295	0.017734984	73.65859421	0.243437186	7.189369873	0.024202979
		120	0.1	7.03	0.09	198	14.07124728	51.8	3.218695388	146.2	14.43468046	112.97	0.13453624	1.46861	0.001748971	1.7767429	0.001445655	238.5773036	11.77891444	0.826574289	0.001192183	1.801472794	0.002598297	11.31912481	0.016324658	70.91248449	0.250948389	6.671771091	0.023942267
		128	0.1	7.03	0.09	156	12.489996	51.8	3.218695388	104.2	12.89806187	120.97	0.13453624	1.57261	0.001748971	1.863626092	0.001475859	194.6399674	12.04717392	0.843844163	0.001152093	1.764604367	0.002409198	11.08750592	0.015136385	58.45411514	0.256544383	5.314669352	0.023511587
