n	ch1	ch2
0	0.0108	73.6
0.01	0.01024	73.6
0.02	0.01056	73.6
0.03	0.0108	73.6
0.04	0.01072	73.6
0.05	0.01072	73.6
0.06	0.01048	73.6
0.07	0.01016	73.6
0.08	0.01056	73.2
0.09	0.01056	73.6
0.1	0.01072	73.6
0.11	0.00992	73.6
0.12	0.01112	73.6
0.13	0.01024	73.2
0.14	0.01048	73.6
0.15	0.01024	73.6
0.16	0.01056	73.6
0.17	0.01032	73.6
0.18	0.01064	73.6
0.19	0.01056	73.6
0.2	0.01048	73.6
0.21	0.01016	73.6
0.22	0.01096	74
0.23	0.01072	73.6
0.24	0.01096	74
0.25	0.01064	74
0.26	0.01072	74
0.27	0.01016	74
0.28	0.01088	74
0.29	0.01048	74
0.3	0.01048	74
0.31	0.01072	74
0.32	0.01104	74
0.33	0.01032	74
0.34	0.0108	74
0.35	0.01048	74
0.36	0.0108	74
0.37	0.01056	74
0.38	0.01048	74
0.39	0.00992	73.6
0.4	0.01048	74
0.41	0.01024	74
0.42	0.01032	74
0.43	0.01032	74
0.44	0.01072	74
0.45	0.01104	74
0.46	0.01096	74
0.47	0.01016	74
0.48	0.0108	74
0.49	0.01056	74
0.5	0.01096	74
0.51	0.01024	74
0.52	0.01088	74
0.53	0.01024	74
0.54	0.0108	74
0.55	0.01048	73.6
0.56	0.01056	74
0.57	0.01032	74
0.58	0.01088	74.4
0.59	0.01056	74.4
0.6	0.01024	74.4
0.61	0.01016	74.4
0.62	0.01104	74
0.63	0.01	74.4
0.64	0.01088	74.8
0.65	0.00992	74
0.66	0.01072	74.4
0.67	0.01032	74
0.68	0.01096	74.4
0.69	0.01064	74.4
0.7	0.0108	74.4
0.71	0.00992	74
0.72	0.01056	74.4
0.73	0.01056	74.4
0.74	0.01064	74
0.75	0.01072	74.4
0.76	0.01024	74.4
0.77	0.01016	74.8
0.78	0.01016	74
0.79	0.01072	74.4
0.8	0.01048	74.4
0.81	0.01024	74.4
0.82	0.0108	74.4
0.83	0.0104	74.8
0.84	0.01048	74.4
0.85	0.01024	74.4
0.86	0.01024	74.4
0.87	0.01032	74.8
0.88	0.01048	74.4
0.89	0.00968	74.8
0.9	0.01104	74.4
0.91	0.01024	74.4
0.92	0.01032	75.2
0.93	0.01048	74.8
0.94	0.01008	74.8
0.95	0.00944	74.8
0.96	0.0108	75.2
0.97	0.00992	75.2
0.98	0.01072	74.8
0.99	0.00992	74.8
1	0.01048	74.8
1.01	0.00992	75.2
1.02	0.01064	74.8
1.03	0.01024	75.2
1.04	0.00984	74.8
1.05	0.00968	75.2
1.06	0.01024	74.8
1.07	0.01024	74.8
1.08	0.01024	74.8
1.09	0.01048	75.2
1.1	0.01	74.8
1.11	0.01008	74.8
1.12	0.01024	74.8
1.13	0.01024	75.2
1.14	0.01048	74.8
1.15	0.01032	75.2
1.16	0.01056	75.2
1.17	0.00992	75.2
1.18	0.01128	74.8
1.19	0.01032	75.2
1.2	0.01064	74.8
1.21	0.01024	75.2
1.22	0.01024	75.2
1.23	0.00984	75.2
1.24	0.01008	74.8
1.25	0.01008	75.2
1.26	0.01024	75.2
1.27	0.00992	75.2
1.28	0.01048	74.8
1.29	0.01032	75.2
1.3	0.01048	74.8
1.31	0.01048	75.2
1.32	0.01016	75.2
1.33	0.00992	75.2
1.34	0.01048	75.2
1.35	0.01032	75.6
1.36	0.01072	75.2
1.37	0.00992	75.6
1.38	0.01024	75.2
1.39	0.00992	75.2
1.4	0.01	75.2
1.41	0.01	75.6
1.42	0.01048	75.2
1.43	0.01016	75.2
1.44	0.01024	75.2
1.45	0.01024	75.2
1.46	0.00992	75.2
1.47	0.01016	75.2
1.48	0.01048	75.6
1.49	0.00952	75.2
1.5	0.00992	75.2
1.51	0.00976	75.2
1.52	0.01016	75.2
1.53	0.00992	75.2
1.54	0.01056	75.2
1.55	0.00992	75.6
1.56	0.0104	75.2
1.57	0.00984	75.6
1.58	0.01016	75.2
1.59	0.01032	75.2
1.6	0.0104	75.6
1.61	0.01048	75.2
1.62	0.01024	75.6
1.63	0.01048	75.2
1.64	0.01024	75.2
1.65	0.00992	75.6
1.66	0.00984	75.2
1.67	0.01	75.2
1.68	0.01056	75.2
1.69	0.01072	75.2
1.7	0.01008	75.6
1.71	0.01016	75.2
1.72	0.0108	75.2
1.73	0.01024	75.2
1.74	0.0104	75.6
1.75	0.00968	75.2
1.76	0.01024	75.2
1.77	0.01016	75.6
1.78	0.01032	75.6
1.79	0.01016	75.2
1.8	0.01072	75.6
1.81	0.01008	75.6
1.82	0.01032	75.6
1.83	0.01048	75.2
1.84	0.01056	75.6
1.85	0.00976	75.2
1.86	0.0108	75.6
1.87	0.01056	75.2
1.88	0.01024	75.6
1.89	0.00992	75.2
1.9	0.0104	75.6
1.91	0.00984	75.6
1.92	0.01	75.6
1.93	0.00984	75.6
1.94	0.01008	75.6
1.95	0.01024	75.2
1.96	0.01032	75.6
1.97	0.01	76
1.98	0.01032	75.6
1.99	0.01032	75.2
2	0.0104	76
2.01	0.01	75.6
2.02	0.01032	76
2.03	0.00976	75.6
2.04	0.01056	75.6
2.05	0.01016	75.2
2.06	0.0104	75.6
2.07	0.01048	75.6
2.08	0.0104	75.6
2.09	0.0096	75.6
2.1	0.01056	76
2.11	0.01024	75.6
2.12	0.00992	75.6
2.13	0.01048	75.6
2.14	0.01064	76
2.15	0.00968	75.2
2.16	0.01064	76
2.17	0.01008	75.6
2.18	0.01048	76
2.19	0.00984	75.2
2.2	0.01104	75.6
2.21	0.00992	75.6
2.22	0.01032	76
2.23	0.00992	75.6
2.24	0.01016	76
2.25	0.00992	75.6
2.26	0.01032	76.4
2.27	0.01024	75.6
2.28	0.01064	76.4
2.29	0.01	76
2.3	0.01112	76.4
2.31	0.00992	76
2.32	0.00968	76
2.33	0.0104	76
2.34	0.01032	76
2.35	0.01008	76
2.36	0.01024	76
2.37	0.00968	75.6
2.38	0.01056	76
2.39	0.01032	75.6
2.4	0.00992	76
2.41	0.00984	75.6
2.42	0.01024	76
2.43	0.00992	75.6
2.44	0.01024	76
2.45	0.01016	75.6
2.46	0.01064	76.4
2.47	0.01016	76
2.48	0.01072	75.6
2.49	0.01	75.6
2.5	0.01048	76
2.51	0.00976	75.2
2.52	0.01048	76
2.53	0.01016	75.6
2.54	0.01056	76.4
2.55	0.01024	75.6
2.56	0.0108	76.4
2.57	0.01016	76
2.58	0.01016	76
2.59	0.01048	76
2.6	0.01048	76
2.61	0.00992	75.6
2.62	0.01008	76
2.63	0.00976	76
2.64	0.01072	76
2.65	0.01032	75.6
2.66	0.00992	76
2.67	0.01024	75.6
2.68	0.01032	76
2.69	0.01008	76
2.7	0.01096	76.4
2.71	0.01024	75.6
2.72	0.01016	75.6
2.73	0.01	76
