n	m	dm	h	dh	x	dx	y	dy	1/dy^2	mx	my	mxy	mx^2
1	75	0	40.16	0.06	75	0	40.16	0.06	277.7777778	20833.33333	11155.55556	836666.6667	1562500
2	78	0	41.76	0.07	78	0	41.76	0.07	204.0816327	15918.36735	8522.44898	664751.0204	1241632.653
3	79	0	42.23	0.06	79	0	42.23	0.06	277.7777778	21944.44444	11730.55556	926713.8889	1733611.111
4	80	0	42.84	0.07	80	0	42.84	0.07	204.0816327	16326.53061	8742.857143	699428.5714	1306122.449
5	81	0	43.45	0.07	81	0	43.45	0.07	204.0816327	16530.61224	8867.346939	718255.102	1338979.592
6	82	0	43.77	0.07	82	0	43.77	0.07	204.0816327	16734.69388	8932.653061	732477.551	1372244.898
7	85	0	45.47	0.11	85	0	45.47	0.11	82.6446281	7024.793388	3757.85124	319417.3554	597107.438
													
													
													
													
													
													
													
													
													
													
													
													
													
