T	B	IR-	IR+	UR-	UR+	UH-	UH+	R-	R+	R	rho	drho	UH	RH	UH2	tau	dtau	lambda	dlambda
1.00E+01	0.00E+00	-1.00E-01	1.00E-01	-1.11E-06	-4.45E-07	-2.05E-07	-2.07E-07	1.11E-05	-4.45E-06	3.31622E-06	6.52305E-11	3.19415E-12	-2.06E-07	2.05919E-06	9.56E-10	6.65807E-12	3.81057E-13	9.21794E-06	5.94061E-07
1.10E+01	0.00E+00	-1.00E-01	1.00E-01	-1.09E-06	-4.44E-07	-2.34E-07	-2.43E-07	1.09E-05	-4.44E-06	3.23701E-06	6.36725E-11	3.11786E-12	-2.38E-07	2.38397E-06	4.77E-09	6.82099E-12	3.90382E-13	9.4435E-06	6.08597E-07
1.20E+01	0.00E+00	-1.00E-01	1.00E-01	-1.08E-06	-5.01E-07	-2.40E-07	-2.38E-07	1.08E-05	-5.01E-06	2.88102E-06	5.66701E-11	2.77497E-12	-2.39E-07	2.388E-06	-1.26E-09	7.66382E-12	4.38618E-13	1.06104E-05	6.83798E-07
1.30E+01	0.00E+00	-1.00E-01	1.00E-01	-1.16E-06	-4.76E-07	-2.37E-07	-2.37E-07	1.16E-05	-4.76E-06	3.39711E-06	6.68218E-11	3.27207E-12	-2.37E-07	2.36989E-06	3.07E-10	6.49952E-12	3.71983E-13	8.99843E-06	5.79914E-07
1.40E+01	0.00E+00	-1.00E-01	1.00E-01	-1.19E-06	-4.67E-07	-2.24E-07	-2.30E-07	1.19E-05	-4.67E-06	3.63118E-06	7.14258E-11	3.49752E-12	-2.27E-07	2.27094E-06	3.37E-09	6.08057E-12	3.48005E-13	8.4184E-06	5.42533E-07
1.50E+01	0.00E+00	-1.00E-01	1.00E-01	-1.15E-06	-4.62E-07	-2.31E-07	-2.35E-07	1.15E-05	-4.62E-06	3.43911E-06	6.76479E-11	3.31252E-12	-2.33E-07	2.32851E-06	1.73E-09	6.42015E-12	3.6744E-13	8.88854E-06	5.72832E-07
1.60E+01	0.00E+00	-1.00E-01	1.00E-01	-1.15E-06	-4.21E-07	-2.50E-07	-2.54E-07	1.15E-05	-4.21E-06	3.65126E-06	7.18209E-11	3.51686E-12	-2.52E-07	2.51942E-06	2.35E-09	6.04712E-12	3.46091E-13	8.37209E-06	5.39549E-07
1.70E+01	0.00E+00	-1.00E-01	1.00E-01	-1.15E-06	-3.96E-07	-2.48E-07	-2.62E-07	1.15E-05	-3.96E-06	3.76619E-06	7.40816E-11	3.62756E-12	-2.55E-07	2.5483E-06	7.16E-09	5.86258E-12	3.35529E-13	8.1166E-06	5.23084E-07
1.80E+01	0.00E+00	-1.00E-01	1.00E-01	-1.17E-06	-3.85E-07	-2.59E-07	-2.66E-07	1.17E-05	-3.85E-06	3.91672E-06	7.70426E-11	3.77255E-12	-2.62E-07	2.62331E-06	3.40E-09	5.63726E-12	3.22634E-13	7.80466E-06	5.0298E-07
1.90E+01	0.00E+00	-1.00E-01	1.00E-01	-1.20E-06	-4.34E-07	-2.74E-07	-2.71E-07	1.20E-05	-4.34E-06	3.80687E-06	7.48817E-11	3.66674E-12	-2.73E-07	2.72697E-06	-1.30E-09	5.79994E-12	3.31944E-13	8.02988E-06	5.17495E-07
