T	B	ISH0	ISH+	USH0	USH+	UTC0	UTC+	STC	ISH	USH	UTC	kappa	dkappa
1.00E+01	0.00E+00	0.00E+00	2.00E-03	-2.01E-06	4.24E+00	3.02E-08	6.28E-07	4.78E-06	2.00E-03	4.24E+00	5.98E-07	4.58E+03	187.2428496
1.10E+01	0.00E+00	0.00E+00	2.50E-03	-1.92E-06	5.25E+00	2.19E-08	9.85E-07	5.22E-06	2.50E-03	5.25E+00	9.63E-07	4.80E+03	196.2556675
1.20E+01	0.00E+00	0.00E+00	2.47E-03	-1.78E-06	5.18E+00	1.98E-08	9.95E-07	5.61E-06	2.47E-03	5.18E+00	9.75E-07	4.97E+03	203.2038097
1.30E+01	0.00E+00	0.00E+00	2.62E-03	-1.75E-06	5.47E+00	1.57E-08	1.14E-06	6.01E-06	2.62E-03	5.47E+00	1.13E-06	5.15E+03	210.5508038
1.40E+01	0.00E+00	0.00E+00	2.77E-03	-1.88E-06	5.77E+00	1.77E-08	1.34E-06	6.41E-06	2.77E-03	5.77E+00	1.32E-06	5.24E+03	214.2665889
1.50E+01	0.00E+00	0.00E+00	2.90E-03	-1.96E-06	6.02E+00	1.82E-08	1.54E-06	6.81E-06	2.90E-03	6.02E+00	1.52E-06	5.26E+03	214.855033
1.60E+01	0.00E+00	0.00E+00	3.00E-03	-1.93E-06	6.22E+00	7.51E-09	1.74E-06	7.20E-06	3.00E-03	6.22E+00	1.73E-06	5.23E+03	213.9633477
1.70E+01	0.00E+00	0.00E+00	3.09E-03	-1.84E-06	6.40E+00	2.08E-09	1.95E-06	7.59E-06	3.09E-03	6.40E+00	1.95E-06	5.18E+03	211.9118213
1.80E+01	0.00E+00	0.00E+00	3.16E-03	-1.91E-06	6.54E+00	4.46E-09	2.19E-06	7.98E-06	3.16E-03	6.54E+00	2.18E-06	5.11E+03	208.7686105
1.90E+01	0.00E+00	0.00E+00	3.23E-03	-1.95E-06	6.67E+00	-4.81E-09	2.44E-06	8.36E-06	3.23E-03	6.67E+00	2.45E-06	4.97E+03	203.0774387
2.00E+01	0.00E+00	0.00E+00	3.27E-03	-1.98E-06	6.75E+00	-3.35E-09	2.69E-06	8.74E-06	3.27E-03	6.75E+00	2.70E-06	4.83E+03	197.3326548
2.10E+01	0.00E+00	0.00E+00	3.30E-03	-2.16E-06	6.81E+00	-4.84E-10	2.98E-06	9.12E-06	3.30E-03	6.81E+00	2.98E-06	4.65E+03	189.9065352
2.20E+01	0.00E+00	0.00E+00	3.32E-03	-2.01E-06	6.84E+00	-9.25E-10	3.26E-06	9.49E-06	3.32E-03	6.84E+00	3.26E-06	4.46E+03	182.4147387
2.30E+01	0.00E+00	0.00E+00	3.33E-03	-2.20E-06	6.85E+00	3.62E-09	3.56E-06	9.86E-06	3.33E-03	6.85E+00	3.55E-06	4.27E+03	174.5900375
2.40E+01	0.00E+00	0.00E+00	3.33E-03	-2.19E-06	6.84E+00	-1.36E-08	3.85E-06	1.02E-05	3.33E-03	6.84E+00	3.87E-06	4.07E+03	166.224742
2.50E+01	0.00E+00	0.00E+00	3.31E-03	-2.04E-06	6.81E+00	-1.32E-09	4.18E-06	1.06E-05	3.31E-03	6.81E+00	4.19E-06	3.86E+03	157.8573125
2.60E+01	0.00E+00	0.00E+00	3.29E-03	-2.03E-06	6.77E+00	-1.10E-08	4.50E-06	1.10E-05	3.29E-03	6.77E+00	4.51E-06	3.66E+03	149.6908796
2.70E+01	0.00E+00	0.00E+00	3.27E-03	-2.21E-06	6.72E+00	-3.51E-08	4.83E-06	1.13E-05	3.27E-03	6.72E+00	4.86E-06	3.45E+03	141.1902236
2.80E+01	0.00E+00	0.00E+00	3.23E-03	-2.14E-06	6.64E+00	-4.29E-08	5.14E-06	1.17E-05	3.23E-03	6.64E+00	5.18E-06	3.27E+03	133.7825445
2.90E+01	0.00E+00	0.00E+00	3.20E-03	-2.10E-06	6.58E+00	-7.42E-08	5.48E-06	1.20E-05	3.20E-03	6.58E+00	5.56E-06	3.09E+03	126.1619519
3.00E+01	0.00E+00	0.00E+00	3.17E-03	-2.21E-06	6.50E+00	-8.67E-08	5.82E-06	1.24E-05	3.17E-03	6.50E+00	5.91E-06	2.91E+03	119.0869417
3.20E+01	0.00E+00	0.00E+00	3.18E-03	-2.09E-06	6.51E+00	-1.21E-07	6.97E-06	1.31E-05	3.18E-03	6.51E+00	7.09E-06	2.58E+03	105.6477582
3.40E+01	0.00E+00	0.00E+00	3.09E-03	-2.09E-06	6.32E+00	-1.29E-07	7.80E-06	1.38E-05	3.09E-03	6.32E+00	7.92E-06	2.30E+03	93.87367844
3.60E+01	0.00E+00	0.00E+00	3.00E-03	-1.98E-06	6.13E+00	-1.46E-07	8.66E-06	1.45E-05	3.00E-03	6.13E+00	8.80E-06	2.04E+03	83.45239494
