# Mess-Beginn: 08.11.2018 11:12:11
# Zeit	Zeit
1.26000000E-1	-1.99373705E-7
7.57000000E-1	-1.99373705E-7
1.38800000E+0	-1.48371213E-7
2.01900000E+0	-5.10025850E-8
2.65000000E+0	-1.15915003E-7
3.28100000E+0	-2.04010218E-7
3.88600000E+0	-1.85463906E-7
4.54300000E+0	-9.27344002E-9
5.17400000E+0	-9.73687113E-8
5.80500000E+0	-2.41102928E-7
6.43600000E+0	-1.25188230E-7
7.06700000E+0	-1.11278435E-7
7.69800000E+0	-5.56392550E-8
8.32900000E+0	-1.57644418E-7
8.96000000E+0	-5.10023126E-8
9.59100000E+0	-7.41853759E-8
1.02220000E+1	-1.48371179E-7
1.08530000E+1	-2.13283587E-7
1.14840000E+1	-2.64286084E-7
1.21150000E+1	-1.29824752E-7
1.27460000E+1	-1.53007798E-7
1.33770000E+1	-1.11278314E-7
1.40080000E+1	-1.39097970E-7
1.46390000E+1	-1.39097991E-7
1.52700000E+1	-1.43734596E-7
1.59010000E+1	-1.66917606E-7
1.65320000E+1	-2.13283503E-7
1.71630000E+1	-2.78193817E-8
1.77940000E+1	-2.36466501E-7
1.84250000E+1	-1.62281017E-7
1.90560000E+1	-2.50376279E-7
1.96870000E+1	-2.45739687E-7
2.03180000E+1	-2.13283517E-7
2.09490000E+1	-2.22556699E-7
2.15800000E+1	-1.43734592E-7
2.22100000E+1	-2.50376244E-7
2.28400000E+1	-2.73559193E-7
2.34710000E+1	-4.72932592E-7
2.41020000E+1	-3.80200778E-7
2.47330000E+1	-2.68922602E-7
2.53650000E+1	-1.90100561E-7
2.59960000E+1	-1.94737213E-7
2.66270000E+1	-2.04010412E-7
2.72580000E+1	-1.48371172E-7
2.78900000E+1	-1.94737213E-7
2.85210000E+1	-1.57644405E-7
2.91520000E+1	-3.70924995E-8
2.97830000E+1	-2.04010384E-7
3.04150000E+1	-2.22556770E-7
3.10470000E+1	-1.48371181E-7
3.16790000E+1	-1.99373761E-7
3.23110000E+1	-1.43734583E-7
3.29430000E+1	-2.45739691E-7
3.35750000E+1	-2.22556726E-7
3.42070000E+1	-2.17920199E-7
3.48390000E+1	-2.45739791E-7
3.54710000E+1	-4.12657339E-7
3.61030000E+1	-2.82832579E-7
3.67350000E+1	-2.92105777E-7
3.73670000E+1	-1.11278325E-7
3.79990000E+1	-2.68922656E-7
3.86310000E+1	-2.27193319E-7
3.92630000E+1	-3.29198365E-7
3.98950000E+1	-2.50376169E-7
4.05270000E+1	-1.20551596E-7
4.11590000E+1	-1.99373712E-7
4.17910000E+1	-2.04010299E-7
4.24230000E+1	-1.39098005E-7
4.30560000E+1	-2.31829839E-7
4.36890000E+1	-2.92105485E-7
4.43210000E+1	-3.24561603E-7
4.49530000E+1	-3.38471367E-7
4.55860000E+1	-3.24561708E-7
4.62180000E+1	-2.17920111E-7
4.68500000E+1	-1.90100564E-7
4.74820000E+1	-2.22556702E-7
4.81140000E+1	-2.59649432E-7
4.87460000E+1	-1.20551569E-7
4.93780000E+1	-2.36466456E-7
5.00100000E+1	-3.24561664E-7
5.06420000E+1	-1.80827376E-7
5.12740000E+1	-1.99373720E-7
5.19060000E+1	-2.92105480E-7
5.25380000E+1	-3.19925008E-7
5.31700000E+1	-3.52381123E-7
5.38020000E+1	-3.01378656E-7
