# Mess-Beginn: 08.11.2018 10:09:03
# Zeit	Zeit
1.26000000E-1	-1.85388528E-7
7.58000000E-1	-1.99298138E-7
1.38900000E+0	-3.24484626E-7
2.02000000E+0	-2.17854145E-7
2.65100000E+0	-2.68855983E-7
3.28200000E+0	-2.13217615E-7
3.91300000E+0	-3.05948229E-7
4.54400000E+0	-2.54956822E-7
5.17600000E+0	-3.47687311E-7
5.80600000E+0	-3.19868164E-7
6.43700000E+0	-4.03325605E-7
7.06800000E+0	-2.54956822E-7
7.69900000E+0	-2.87410883E-7
8.33000000E+0	-1.90043849E-7
8.96100000E+0	-3.47685714E-7
9.59200000E+0	-2.68864781E-7
1.02230000E+1	-1.90034785E-7
1.08540000E+1	-1.15850292E-7
1.14850000E+1	-4.16657984E-8
1.21160000E+1	-2.08580908E-7
1.27470000E+1	-1.29759884E-7
1.33780000E+1	-1.80779978E-7
1.40090000E+1	-1.99326058E-7
1.46410000E+1	-2.22508658E-7
1.52720000E+1	-1.76143458E-7
1.59030000E+1	-2.50324677E-7
1.65340000E+1	-1.52957718E-7
1.71650000E+1	-1.43684674E-7
1.77960000E+1	-2.59597720E-7
1.84270000E+1	-1.01955977E-7
1.90580000E+1	-2.08578574E-7
1.96890000E+1	-8.33922037E-8
2.03200000E+1	-6.94826070E-8
2.09510000E+1	-1.43667123E-7
2.15820000E+1	-2.73484446E-7
2.22130000E+1	-2.54938303E-7
2.28440000E+1	-2.82757517E-7
2.34750000E+1	-1.94663341E-7
2.41060000E+1	-2.92030588E-7
2.47370000E+1	-2.64208260E-7
2.53680000E+1	-6.94736873E-8
2.59990000E+1	-1.20475599E-7
2.66300000E+1	-1.06565987E-7
2.72610000E+1	-1.39025073E-7
2.78920000E+1	-8.80231825E-8
2.85230000E+1	-7.41135761E-8
2.91550000E+1	-1.85390428E-7
2.97870000E+1	-2.17846176E-7
3.04180000E+1	-1.71485896E-7
3.10490000E+1	-1.71485896E-7
3.16800000E+1	-9.73013765E-8
3.23120000E+1	-2.03941623E-7
3.29440000E+1	-2.87390121E-7
3.35760000E+1	-2.50297818E-7
3.42090000E+1	-1.06565142E-7
3.48400000E+1	-1.94659363E-7
3.54720000E+1	-6.48363005E-8
3.61040000E+1	-1.48290297E-7
3.67360000E+1	-1.62199917E-7
3.73680000E+1	-2.08565318E-7
3.80000000E+1	-2.03928778E-7
3.86320000E+1	-1.15834342E-7
3.92640000E+1	-2.03928606E-7
3.98960000E+1	-1.52926664E-7
4.05280000E+1	-2.82749790E-7
4.11600000E+1	-3.10569031E-7
4.17920000E+1	-2.17842442E-7
4.24240000E+1	-8.33828486E-8
4.30560000E+1	-1.06565537E-7
4.36880000E+1	-1.76113603E-7
4.43200000E+1	-1.20476636E-7
4.49520000E+1	-1.71478541E-7
