T	B	T	B	rho	drho	kappa	dkappa	L	dL	rhokappa	drhokappa
1.00E+01	0.00E+00	1.00E+01	0.00E+00	6.52305E-11	3.19415E-12	4.58E+03	187.2428496	2.99E-08	1.90586E-09	2.99E-07	1.90599E-08
1.10E+01	0.00E+00	1.10E+01	0.00E+00	6.36725E-11	3.11786E-12	4.80E+03	196.2556675	2.78E-08	1.77291E-09	3.06E-07	1.95002E-08
1.20E+01	0.00E+00	1.20E+01	0.00E+00	5.66701E-11	2.77497E-12	4.97E+03	203.2038097	2.35E-08	1.49775E-09	2.82E-07	1.79701E-08
1.30E+01	0.00E+00	1.30E+01	0.00E+00	6.68218E-11	3.27207E-12	5.15E+03	210.5508038	2.65E-08	1.689E-09	3.44E-07	2.19553E-08
1.40E+01	0.00E+00	1.40E+01	0.00E+00	7.14258E-11	3.49752E-12	5.24E+03	214.2665889	2.67E-08	1.70592E-09	3.74E-07	2.38822E-08
1.50E+01	0.00E+00	1.50E+01	0.00E+00	6.76479E-11	3.31252E-12	5.26E+03	214.855033	2.37E-08	1.51232E-09	3.56E-07	2.26811E-08
1.60E+01	0.00E+00	1.60E+01	0.00E+00	7.18209E-11	3.51686E-12	5.23E+03	213.9633477	2.35E-08	1.49901E-09	3.76E-07	2.39803E-08
1.70E+01	0.00E+00	1.70E+01	0.00E+00	7.40816E-11	3.62756E-12	5.18E+03	211.9118213	2.26E-08	1.44123E-09	3.84E-07	2.4498E-08
1.80E+01	0.00E+00	1.80E+01	0.00E+00	7.70426E-11	3.77255E-12	5.11E+03	208.7686105	2.19E-08	1.39443E-09	3.93E-07	2.50993E-08
1.90E+01	0.00E+00	1.90E+01	0.00E+00	7.48817E-11	3.66674E-12	4.97E+03	203.0774387	1.96E-08	1.24896E-09	3.72E-07	2.37303E-08
2.00E+01	0.00E+00	2.00E+01	0.00E+00	7.5033E-11	3.67415E-12	4.83E+03	197.3326548	1.81E-08	1.15676E-09	3.62E-07	2.31056E-08
2.10E+01	0.00E+00	2.10E+01	0.00E+00	7.69495E-11	3.768E-12	4.65E+03	189.9065352	1.70E-08	1.08729E-09	3.58E-07	2.2804E-08
2.20E+01	0.00E+00	2.20E+01	0.00E+00	8.291E-11	4.05987E-12	4.46E+03	182.4147387	1.68E-08	1.07393E-09	3.70E-07	2.36011E-08
2.30E+01	0.00E+00	2.30E+01	0.00E+00	9.08457E-11	4.44845E-12	4.27E+03	174.5900375	1.69E-08	1.07777E-09	3.88E-07	2.47508E-08
2.40E+01	0.00E+00	2.40E+01	0.00E+00	8.57694E-11	4.19988E-12	4.07E+03	166.224742	1.45E-08	9.27636E-10	3.49E-07	2.22481E-08
2.50E+01	0.00E+00	2.50E+01	0.00E+00	9.53125E-11	4.66718E-12	3.86E+03	157.8573125	1.47E-08	9.39586E-10	3.68E-07	2.3479E-08
2.60E+01	0.00E+00	2.60E+01	0.00E+00	1.09483E-10	5.36108E-12	3.66E+03	149.6908796	1.54E-08	9.84181E-10	4.01E-07	2.55745E-08
2.70E+01	0.00E+00	2.70E+01	0.00E+00	1.13918E-10	5.57825E-12	3.45E+03	141.1902236	1.46E-08	9.30165E-10	3.94E-07	2.50994E-08
2.80E+01	0.00E+00	2.80E+01	0.00E+00	1.2326E-10	6.03568E-12	3.27E+03	133.7825445	1.44E-08	9.19463E-10	4.03E-07	2.57328E-08
2.90E+01	0.00E+00	2.90E+01	0.00E+00	1.16665E-10	5.71277E-12	3.09E+03	126.1619519	1.24E-08	7.92187E-10	3.60E-07	2.29687E-08
3.00E+01	0.00E+00	3.00E+01	0.00E+00	1.44601E-10	7.08067E-12	2.91E+03	119.0869417	1.40E-08	8.95951E-10	4.21E-07	2.6872E-08
3.20E+01	0.00E+00	3.20E+01	0.00E+00	1.63031E-10	7.98316E-12	2.58E+03	105.6477582	1.32E-08	8.40134E-10	4.21E-07	2.68779E-08
3.40E+01	0.00E+00	3.40E+01	0.00E+00	2.00088E-10	9.79774E-12	2.30E+03	93.87367844	1.35E-08	8.62089E-10	4.60E-07	2.9311E-08
3.60E+01	0.00E+00	3.60E+01	0.00E+00	2.35445E-10	1.15291E-11	2.04E+03	83.45239494	1.34E-08	8.51607E-10	4.81E-07	3.06615E-08
3.80E+01	0.00E+00	3.80E+01	0.00E+00	2.76495E-10	1.35392E-11	1.84E+03	75.00750558	1.33E-08	8.51506E-10	5.07E-07	3.23636E-08
4.00E+01	0.00E+00	4.00E+01	0.00E+00	3.25825E-10	1.59547E-11	1.65E+03	67.32978534	1.34E-08	8.55664E-10	5.37E-07	3.42339E-08
1.00E+01	-2.00E+00	1.00E+01	-2.00E+00	1.54358E-10	7.55849E-12	1.80E+03	73.40957377	2.77E-08	1.7684E-09	2.77E-07	1.76827E-08
2.00E+01	-2.00E+00	2.00E+01	-2.00E+00	1.63255E-10	7.99415E-12	2.58E+03	105.3504458	2.11E-08	1.34377E-09	4.21E-07	2.68392E-08
3.00E+01	-2.00E+00	3.00E+01	-2.00E+00	2.24413E-10	1.09889E-11	2.16E+03	88.42789458	1.62E-08	1.0333E-09	4.85E-07	3.09673E-08
4.01E+01	-2.00E+00	4.00E+01	-2.00E+00	3.92483E-10	1.92188E-11	1.46E+03	59.84452196	1.43E-08	9.15173E-10	5.75E-07	3.66531E-08
1.00E+01	-4.00E+00	1.00E+01	-4.00E+00	2.42952E-10	1.18967E-11	1.11E+03	45.28502785	2.69E-08	1.71698E-09	2.69E-07	1.71688E-08
2.00E+01	-4.00E+00	2.00E+01	-4.00E+00	2.54325E-10	1.24536E-11	1.70E+03	69.30867907	2.16E-08	1.37729E-09	4.31E-07	2.75069E-08
3.00E+01	-4.00E+00	3.00E+01	-4.00E+00	3.23245E-10	1.58284E-11	1.64E+03	67.03576343	1.77E-08	1.12806E-09	5.30E-07	3.38145E-08
4.01E+01	-4.00E+00	4.00E+01	-4.00E+00	4.90669E-10	2.40267E-11	1.26E+03	51.42731006	1.54E-08	9.83159E-10	6.17E-07	3.93775E-08
1.00E+01	-6.00E+00	1.00E+01	-6.00E+00	3.26079E-10	1.59672E-11	8.25E+02	33.72501058	2.69E-08	1.71617E-09	2.69E-07	1.71609E-08
2.00E+01	-6.00E+00	2.00E+01	-6.00E+00	3.39193E-10	1.66093E-11	1.26E+03	51.6829887	2.15E-08	1.36989E-09	4.29E-07	2.73564E-08
3.00E+01	-6.00E+00	3.00E+01	-6.00E+00	4.1136E-10	2.01431E-11	1.32E+03	53.87517359	1.81E-08	1.15316E-09	5.42E-07	3.4584E-08
4.00E+01	-6.00E+00	4.00E+01	-6.00E+00	5.87671E-10	2.87765E-11	1.10E+03	44.77445313	1.61E-08	1.0254E-09	6.44E-07	4.1061E-08
1.00E+01	6.00E+00	1.00E+01	6.00E+00	3.71351E-10	1.8184E-11	8.43E+02	34.43922642	3.13E-08	1.99576E-09	3.13E-07	1.99573E-08
2.00E+01	6.00E+00	2.00E+01	6.00E+00	3.82795E-10	1.87444E-11	1.29E+03	52.56342587	2.46E-08	1.571E-09	4.92E-07	3.13989E-08
3.00E+01	6.00E+00	3.00E+01	6.00E+00	4.47322E-10	2.19041E-11	1.33E+03	54.40693528	1.99E-08	1.2666E-09	5.95E-07	3.79787E-08
4.00E+01	6.00E+00	4.00E+01	6.00E+00	6.34522E-10	3.10707E-11	1.10E+03	45.00899919	1.75E-08	1.11343E-09	6.99E-07	4.45668E-08
1.00E+01	4.00E+00	1.00E+01	4.00E+00	2.76967E-10	1.35623E-11	1.13E+03	46.24421175	3.13E-08	1.99879E-09	3.13E-07	1.99871E-08
2.00E+01	4.00E+00	2.00E+01	4.00E+00	2.81244E-10	1.37717E-11	1.72E+03	70.22818625	2.42E-08	1.54311E-09	4.83E-07	3.08219E-08
3.00E+01	4.00E+00	7.14E+00	4.00E+00	3.43603E-10	1.68253E-11	9.23E+02	37.70761674	1.06E-08	6.74404E-10	3.17E-07	2.02186E-08
4.00E+01	4.00E+00	6.69E+00	4.00E+00	5.15947E-10	2.52644E-11	8.43E+02	34.45474081	1.09E-08	6.93768E-10	4.35E-07	2.77408E-08
1.00E+01	2.00E+00	1.00E+01	2.00E+00	1.76879E-10	8.66126E-12	1.82E+03	74.26464501	3.21E-08	2.04988E-09	3.21E-07	2.04986E-08
2.00E+01	2.00E+00	2.00E+01	2.00E+00	1.87321E-10	9.17258E-12	2.61E+03	106.7142467	2.45E-08	1.56176E-09	4.89E-07	3.11942E-08
3.00E+01	2.00E+00	3.00E+01	2.00E+00	2.35058E-10	1.15101E-11	2.17E+03	88.58886257	1.70E-08	1.08371E-09	5.09E-07	3.24952E-08
4.00E+01	2.00E+00	4.00E+01	2.00E+00	4.03843E-10	1.9775E-11	1.46E+03	59.8548666	1.48E-08	9.41957E-10	5.91E-07	3.77205E-08
4.20E+01	0.00E+00	4.20E+01	0.00E+00	3.82784E-10	1.87439E-11	1.49E+03	60.77217755	1.36E-08	8.6432E-10	5.69E-07	3.63015E-08
4.40E+01	0.00E+00	4.40E+01	0.00E+00	4.3955E-10	2.15235E-11	1.35E+03	55.03201806	1.34E-08	8.57567E-10	5.92E-07	3.77475E-08
4.80E+01	0.00E+00	4.80E+01	0.00E+00	5.79807E-10	2.83915E-11	1.13E+03	46.12022715	1.36E-08	8.68971E-10	6.54E-07	4.17292E-08
5.20E+01	0.00E+00	5.20E+01	0.00E+00	7.60257E-10	3.72276E-11	9.62E+02	39.33402777	1.41E-08	8.96582E-10	7.32E-07	4.66653E-08
5.60E+01	0.00E+00	5.60E+01	0.00E+00	9.50482E-10	4.65423E-11	8.41E+02	34.37157054	1.43E-08	9.09882E-10	7.99E-07	5.0981E-08
